run	arm	rep	tick	abs_tick	subject	metric	value
20260917-130751	size	1	16800	823200	clock	year	2
20260917-130751	size	1	16800	823200	clock	tick	16800
20260917-130751	size	1	16800	823200	clock	season	0
20260917-130751	size	1	16800	823200	clock	paused	1
20260917-130751	size	1	16800	823200	clock	fps_cap	1000.0
20260917-130751	size	1	16800	823200	clock	fps_achieved	152
20260917-130751	size	1	16800	823200	clock	gfps_cap	10.0
20260917-130751	size	1	16800	823200	clock	units_active	31
20260917-130751	size	1	16800	823200	clock	popups	0
20260917-130751	size	1	16800	823200	clock	map	1
20260917-130751	size	1	17338	823738	clock	fps_achieved	482
20260917-130751	size	1	17338	823738	clock	units_active	40
20260917-130751	size	1	17338	823738	clock	popups	0
20260917-130751	size	1	17338	823738	clock	paused	1
20260917-130751	size	1	17338	823738	clock	ticks_per_wall_s	50.7
20260917-130751	size	1	17338	823738	139	arrival_species	WOMBAT
20260917-130751	size	1	17338	823738	139	arrival_countdown	26682
20260917-130751	size	1	17338	823738	140	arrival_species	TROLL
20260917-130751	size	1	17338	823738	140	arrival_countdown	27765
20260917-130751	size	1	17338	823738	141	arrival_species	BLIND_CAVE_OGRE
20260917-130751	size	1	17338	823738	141	arrival_countdown	21761
20260917-130751	size	1	17338	823738	142	arrival_species	BLIND_CAVE_OGRE
20260917-130751	size	1	17338	823738	142	arrival_countdown	24857
20260917-130751	size	1	17338	823738	143	arrival_species	DEMON_2
20260917-130751	size	1	17338	823738	143	arrival_countdown	26146
20260917-130751	size	1	17338	823738	144	arrival_species	DEMON_2
20260917-130751	size	1	17338	823738	144	arrival_countdown	28456
20260917-130751	size	1	17338	823738	145	arrival_species	DEMON_2
20260917-130751	size	1	17338	823738	145	arrival_countdown	26146
20260917-130751	size	1	17338	823738	146	arrival_species	WOMBAT
20260917-130751	size	1	17338	823738	146	arrival_countdown	27579
20260917-130751	size	1	17338	823738	147	arrival_species	OLM_GIANT
20260917-130751	size	1	17338	823738	147	arrival_countdown	29222
20260917-130751	size	1	17338	823738	126	countdown	26369
20260917-130751	size	1	17338	823738	126	flag_src	1
20260917-130751	size	1	17338	823738	127	countdown	24118
20260917-130751	size	1	17338	823738	127	flag_src	1
20260917-130751	size	1	17338	823738	128	countdown	22259
20260917-130751	size	1	17338	823738	128	flag_src	1
20260917-130751	size	1	17338	823738	129	countdown	22914
20260917-130751	size	1	17338	823738	129	flag_src	1
20260917-130751	size	1	17338	823738	130	countdown	27768
20260917-130751	size	1	17338	823738	130	flag_src	1
20260917-130751	size	1	17338	823738	131	countdown	23793
20260917-130751	size	1	17338	823738	131	flag_src	1
20260917-130751	size	1	17338	823738	132	countdown	25614
20260917-130751	size	1	17338	823738	132	flag_src	1
20260917-130751	size	1	17338	823738	133	countdown	25997
20260917-130751	size	1	17338	823738	133	flag_src	1
20260917-130751	size	1	17338	823738	134	countdown	27006
20260917-130751	size	1	17338	823738	134	flag_src	1
20260917-130751	size	1	17338	823738	135	countdown	25747
20260917-130751	size	1	17338	823738	135	flag_src	1
20260917-130751	size	1	17338	823738	136	countdown	24769
20260917-130751	size	1	17338	823738	136	flag_src	1
20260917-130751	size	1	17338	823738	137	countdown	24456
20260917-130751	size	1	17338	823738	137	flag_src	1
20260917-130751	size	1	17338	823738	138	countdown	21019
20260917-130751	size	1	17338	823738	138	flag_src	1
20260917-130751	size	1	17338	823738	139	countdown	26682
20260917-130751	size	1	17338	823738	139	flag_src	1
20260917-130751	size	1	17338	823738	140	countdown	27765
20260917-130751	size	1	17338	823738	140	flag_src	1
20260917-130751	size	1	17338	823738	141	countdown	21761
20260917-130751	size	1	17338	823738	141	flag_src	1
20260917-130751	size	1	17338	823738	142	countdown	24857
20260917-130751	size	1	17338	823738	142	flag_src	1
20260917-130751	size	1	17338	823738	143	countdown	26146
20260917-130751	size	1	17338	823738	143	flag_src	1
20260917-130751	size	1	17338	823738	144	countdown	28456
20260917-130751	size	1	17338	823738	144	flag_src	1
20260917-130751	size	1	17338	823738	145	countdown	26146
20260917-130751	size	1	17338	823738	145	flag_src	1
20260917-130751	size	1	17338	823738	146	countdown	27579
20260917-130751	size	1	17338	823738	146	flag_src	1
20260917-130751	size	1	17338	823738	147	countdown	29222
20260917-130751	size	1	17338	823738	147	flag_src	1
20260917-130751	size	1	17633	824033	clock	fps_achieved	677
20260917-130751	size	1	17633	824033	clock	units_active	52
20260917-130751	size	1	17633	824033	clock	popups	0
20260917-130751	size	1	17633	824033	clock	paused	1
20260917-130751	size	1	17633	824033	clock	ticks_per_wall_s	192.9
20260917-130751	size	1	17633	824033	126	countdown	26074
