run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-130751	size	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	cavern	27544	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	26285	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	cavern	25307	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	24994	0	1	0	0	0	-1	0	1
20260917-130751	size	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	cavern	21557	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	126	ELK_BIRD	MALE	33	52	24	29,20,-1,25,-1,21	cavern	26369	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	127	ELK_BIRD	FEMALE	34	54	24	29,20,-1,25,-1,21	cavern	24118	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	128	ELK_BIRD	MALE	36	57	24	29,20,-1,25,-1,21	cavern	22259	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	129	ELK_BIRD	MALE	35	58	24	29,20,-1,25,-1,21	cavern	22914	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	130	ELK_BIRD	MALE	28	49	24	29,20,-1,25,-1,21	cavern	27768	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	131	ELK_BIRD	FEMALE	30	50	24	29,20,-1,25,-1,21	cavern	23793	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	132	ELK_BIRD	FEMALE	29	52	24	29,20,-1,25,-1,21	cavern	25614	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	25997	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	134	MAGMA_CRAB	FEMALE	6	173	22	29,20,-1,34,-1,0	cavern	27006	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	135	MAGMA_CRAB	MALE	10	167	22	29,20,-1,34,-1,0	cavern	25747	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	136	MAGMA_CRAB	FEMALE	11	164	22	29,20,-1,34,-1,0	cavern	24769	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	137	MAGMA_CRAB	MALE	8	161	22	29,20,-1,34,-1,0	cavern	24456	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	138	MAGMA_CRAB	MALE	11	163	22	29,20,-1,34,-1,0	cavern	21019	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	139	WOMBAT	MALE	66	3	104	29,20,-1,-1,-1,96	surface	26682	0	1	1	0	0	-1	0	1
20260917-130751	size	1	17338	823738	140	TROLL	MALE	101	191	43	29,20,-1,8,-1,27	cavern	27765	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	141	BLIND_CAVE_OGRE	MALE	6	64	31	29,20,-1,13,-1,29	cavern	21761	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17338	823738	142	BLIND_CAVE_OGRE	FEMALE	2	57	31	29,20,-1,13,-1,29	cavern	24857	0	1	0	0	0	-1	0	1
