run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-081847	aquatic	1	16883	2032883	162	FISH_STINGRAY	MALE	140	116	94	13,28,0,-1,-1,6	feature	29034	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	163	ALLIGATOR	FEMALE	152	89	94	13,28,0,-1,-1,4	feature	22536	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	164	ALLIGATOR	MALE	154	88	94	13,28,0,-1,-1,4	feature	25426	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	165	HIPPO	FEMALE	147	114	94	13,28,0,-1,-1,5	feature	26786	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	166	HIPPO	FEMALE	149	116	94	13,28,0,-1,-1,5	feature	21196	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	167	HIPPO	MALE	145	115	94	13,28,0,-1,-1,5	feature	26547	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	168	HIPPO	FEMALE	148	114	94	13,28,0,-1,-1,5	feature	27011	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	178	WEASEL	FEMALE	190	119	95	13,28,-1,-1,-1,170	surface	26718	0	1	1	0	0	-1	0	1
20260917-081847	aquatic	1	16883	2032883	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	78	191	82	12,28,-1,2,-1,18	cavern	24060	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	162	FISH_STINGRAY	MALE	149	111	94	13,28,0,-1,-1,6	feature	28754	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	163	ALLIGATOR	FEMALE	149	92	95	13,28,0,-1,-1,4	feature	22256	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	164	ALLIGATOR	MALE	154	88	94	13,28,0,-1,-1,4	feature	25146	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	165	HIPPO	FEMALE	147	114	94	13,28,0,-1,-1,5	feature	26506	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	166	HIPPO	FEMALE	149	114	94	13,28,0,-1,-1,5	feature	20916	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	167	HIPPO	MALE	149	115	94	13,28,0,-1,-1,5	feature	26267	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	168	HIPPO	FEMALE	149	113	94	13,28,0,-1,-1,5	feature	26731	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	178	WEASEL	FEMALE	180	142	95	13,28,-1,-1,-1,170	surface	26438	0	0	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	71	185	83	12,28,-1,2,-1,18	cavern	23780	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	180	CRUNDLE	FEMALE	60	191	52	12,28,-1,23,-1,12	cavern	28069	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	181	CRUNDLE	FEMALE	69	189	52	12,28,-1,23,-1,12	cavern	23686	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	182	CRUNDLE	MALE	66	191	52	12,28,-1,23,-1,12	cavern	29466	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	183	CRUNDLE	MALE	61	191	52	12,28,-1,23,-1,12	cavern	26271	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	184	CRUNDLE	MALE	69	191	52	12,28,-1,23,-1,12	cavern	24657	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	185	CRUNDLE	FEMALE	60	191	52	12,28,-1,23,-1,12	cavern	22740	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	186	CRUNDLE	MALE	63	191	52	12,28,-1,23,-1,12	cavern	24606	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	187	CRUNDLE	FEMALE	61	191	52	12,28,-1,23,-1,12	cavern	24050	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	188	CRUNDLE	MALE	66	191	52	12,28,-1,23,-1,12	cavern	22811	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	189	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	25440	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	190	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	22755	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	191	CRUNDLE	FEMALE	68	191	52	12,28,-1,23,-1,12	cavern	27689	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	192	CRUNDLE	MALE	60	191	52	12,28,-1,23,-1,12	cavern	28391	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	193	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	26161	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	194	CRUNDLE	MALE	65	191	52	12,28,-1,23,-1,12	cavern	21339	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	195	REACHER	MALE	64	191	78	12,28,-1,14,-1,14	cavern	26753	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	196	FLESH_BALL	DEFAULT	191	60	55	13,27,-1,22,-1,14	cavern	29464	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	197	FLESH_BALL	DEFAULT	191	57	55	13,27,-1,22,-1,14	cavern	20888	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	198	FLESH_BALL	DEFAULT	191	60	55	13,27,-1,22,-1,14	cavern	24273	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17163	2033163	199	DEMON_14	DEFAULT	61	6	4	12,28,-1,41,-1,1	cavern	24491	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	200	DEMON_14	DEFAULT	64	0	4	12,28,-1,41,-1,1	cavern	23069	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	201	DEMON_14	DEFAULT	63	1	4	12,28,-1,41,-1,1	cavern	28301	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	202	DEMON_14	DEFAULT	62	0	4	12,28,-1,41,-1,1	cavern	29752	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17163	2033163	203	SPIDER_CAVE_GIANT	MALE	21	0	77	12,27,-1,14,-1,10	cavern	29344	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	162	FISH_STINGRAY	MALE	156	100	94	13,28,0,-1,-1,6	feature	28409	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	163	ALLIGATOR	FEMALE	144	91	95	13,28,0,-1,-1,4	feature	21911	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	164	ALLIGATOR	MALE	149	89	95	13,28,0,-1,-1,4	feature	24801	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	165	HIPPO	FEMALE	156	105	95	13,28,0,-1,-1,5	feature	26161	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	166	HIPPO	FEMALE	154	109	94	13,28,0,-1,-1,5	feature	20571	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	167	HIPPO	MALE	158	111	95	13,28,0,-1,-1,5	feature	25922	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	168	HIPPO	FEMALE	158	108	95	13,28,0,-1,-1,5	feature	26386	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	178	WEASEL	FEMALE	149	154	95	13,28,-1,-1,-1,170	surface	26093	0	0	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	55	169	84	12,28,-1,2,-1,18	cavern	23435	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	180	CRUNDLE	FEMALE	69	189	52	12,28,-1,23,-1,12	cavern	27724	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	181	CRUNDLE	FEMALE	67	182	52	12,28,-1,23,-1,12	cavern	23341	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	182	CRUNDLE	MALE	66	182	52	12,28,-1,23,-1,12	cavern	29121	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	183	CRUNDLE	MALE	59	184	52	12,28,-1,23,-1,12	cavern	26032	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	184	CRUNDLE	MALE	60	191	52	12,28,-1,23,-1,12	cavern	24418	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	185	CRUNDLE	FEMALE	59	180	51	12,28,-1,23,-1,12	cavern	22501	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	186	CRUNDLE	MALE	61	185	52	12,28,-1,23,-1,12	cavern	24367	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	187	CRUNDLE	FEMALE	61	191	52	12,28,-1,23,-1,12	cavern	24050	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	188	CRUNDLE	MALE	66	191	52	12,28,-1,23,-1,12	cavern	22811	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	189	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	25440	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	190	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	22755	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	191	CRUNDLE	FEMALE	68	191	52	12,28,-1,23,-1,12	cavern	27689	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	192	CRUNDLE	MALE	60	191	52	12,28,-1,23,-1,12	cavern	28391	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	193	CRUNDLE	MALE	64	191	52	12,28,-1,23,-1,12	cavern	26161	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	194	CRUNDLE	MALE	65	191	52	12,28,-1,23,-1,12	cavern	21339	0	1	0	0	1	-1	0	1
20260917-081847	aquatic	1	17508	2033508	195	REACHER	MALE	64	181	78	12,28,-1,14,-1,14	cavern	26408	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	196	FLESH_BALL	DEFAULT	189	65	55	13,27,-1,22,-1,14	cavern	29119	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	197	FLESH_BALL	DEFAULT	191	59	55	13,27,-1,22,-1,14	cavern	20543	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	198	FLESH_BALL	DEFAULT	191	60	55	13,27,-1,22,-1,14	cavern	24034	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	199	DEMON_14	DEFAULT	68	0	4	12,28,-1,41,-1,1	cavern	24146	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	200	DEMON_14	DEFAULT	65	2	4	12,28,-1,41,-1,1	cavern	22724	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	201	DEMON_14	DEFAULT	63	1	4	12,28,-1,41,-1,1	cavern	27956	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	202	DEMON_14	DEFAULT	62	0	4	12,28,-1,41,-1,1	cavern	29407	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17508	2033508	203	SPIDER_CAVE_GIANT	MALE	15	17	77	12,27,-1,14,-1,10	cavern	29005	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17785	2033785	162	FISH_STINGRAY	MALE	151	106	94	13,28,0,-1,-1,6	feature	28132	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17785	2033785	163	ALLIGATOR	FEMALE	137	84	94	13,28,0,-1,-1,4	feature	21634	0	1	0	0	0	-1	0	1
20260917-081847	aquatic	1	17785	2033785	164	ALLIGATOR	MALE	143	85	94	13,28,0,-1,-1,4	feature	24524	0	1	0	0	0	-1	0	1
