arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
aquatic	1	280	280	CRUNDLE	12,28,-1,23,-1,12	cavern	15	21054	29466	0	0	15			True
aquatic	1	280	280	REACHER	12,28,-1,14,-1,14	cavern	1	26753	26753	0	0	1			True
aquatic	1	280	280	FLESH_BALL	13,27,-1,22,-1,14	cavern	3	20888	29464	0	0	3			True
aquatic	1	280	280	DEMON_14	12,28,-1,41,-1,1	cavern	4	23069	29752	0	0	4			True
aquatic	1	280	625	SPIDER_CAVE_GIANT	12,27,-1,14,-1,10	cavern	1	29005	29005	0	0	1			True
aquatic	1	902	902	BIRD_SWALLOW_CAVE_GIANT	13,28,-1,2,-1,18	cavern	1	21125	21125	0	0	1			True
aquatic	1	8590	8590	MAGMA_CRAB	13,27,-1,32,-1,0	cavern	5	20262	29471	0	0	5			True
aquatic	1	15310	15310	RIVER	12,28,-1,-1,-1,7	surface	1	29319	29319	0	0	1			True
aquatic	2	316	316	RUTHERER	13,28,-1,14,-1,6	cavern	7	23749	28078	0	0	7			True
aquatic	2	316	316	DEMON_1	12,28,-1,41,-1,3	cavern	1	24014	24014	0	0	1			True
aquatic	2	316	316	CROCODILE_CAVE	12,28,-1,2,-1,9	cavern	1	22108	22108	0	0	1			True
aquatic	2	316	316	DEMON_15	12,27,-1,41,-1,4	cavern	1	26025	26025	0	0	1			True
aquatic	2	705	705	FLESH_BALL	12,28,-1,23,-1,13	cavern	2	23377	24886	0	0	2			True
aquatic	2	2136	2136	MAGMA_CRAB	13,28,-1,32,-1,0	cavern	3	26022	26494	0	0	3			True
aquatic	2	7335	7335	HIPPO	12,28,-1,-1,-1,4	surface	6	20925	29519	0	0	6			True
aquatic	2	11871	11871	FISH_MILKFISH	12,28,-1,-1,-1,5	surface	5	20623	29061	0	0	5			True
natural	1	311	311	BIRD_OSPREY	12,27,-1,-1,-1,6	surface	2	19809	26005	0	0	2			True
natural	1	311	311	DEMON_14	12,28,-1,41,-1,1	cavern	5	23819	27843	0	0	5			True
natural	1	625	625	CAVE_BLOB	13,27,-1,22,-1,11	cavern	2	20031	22717	0	0	2			True
natural	1	625	625	GORLAK	12,28,-1,2,-1,27	cavern	1	26367	26367	0	0	1			True
natural	1	625	625	MANERA	12,27,-1,14,-1,12	cavern	1	26201	26201	0	0	1			True
natural	1	880	880	REACHER	12,28,-1,14,-1,14	cavern	1	19855	19855	0	0	1			True
natural	1	2063	2063	RHINOCEROS	13,28,-1,-1,-1,241	surface	7	20164	27545	0	0	7			True
natural	1	2330	2330	MAGMA_CRAB	13,27,-1,32,-1,0	cavern	3	25146	27289	0	0	3			True
natural	1	3521	3521	MONITOR_LIZARD	13,28,-1,-1,-1,177	surface	1	27268	27268	0	1	0			True
natural	1	3521	3521	AARDVARK	13,28,-1,-1,-1,181	surface	1	26539	26539	0	1	0			True
natural	1	3521	3521	BIRD_OSPREY	12,28,-1,-1,-1,6	surface	1	22128	22128	0	0	1			True
natural	1	5189	5189	RHINOCEROS	13,28,-1,-1,-1,241	surface	4	26418	28508	0	0	4			True
natural	1	6687	6687	MONITOR_LIZARD	13,28,-1,-1,-1,177	surface	2	23715	26559	0	1	1			True
natural	1	8230	8230	WEASEL	13,28,-1,-1,-1,170	surface	1	22636	22636	0	1	0			True
natural	1	8486	8486	RHINOCEROS	13,28,-1,-1,-1,241	surface	6	20345	27679	0	0	6			True
natural	1	9918	9918	BIRD_OSPREY	12,27,-1,-1,-1,6	surface	1	21582	21582	0	0	1			True
natural	1	9918	9918	BIRD_EAGLE	11,27,-1,-1,-1,103	surface	1	27093	27093	0	0	1			True
natural	1	11632	11632	CRETACEOUS_CARNOTAURUS	13,28,-1,-1,-1,198	surface	1	22457	22457	0	0	1			True
natural	1	11632	11632	GIANT	13,28,-1,-1,-1,146	surface	10	21142	29899	0	0	10			True
natural	1	13155	13155	CRETACEOUS_CARNOTAURUS	13,28,-1,-1,-1,198	surface	1	21756	21756	0	1	0			True
natural	1	13155	13155	GIANT	13,28,-1,-1,-1,146	surface	8	20579	29282	0	0	8			True
natural	1	14686	14686	AARDVARK	13,28,-1,-1,-1,181	surface	1	27574	27574	0	1	0			True
natural	1	14686	14686	BIRD_EAGLE	11,27,-1,-1,-1,103	surface	1	25819	25819	0	0	1			True
natural	1	15600	15600	BIRD_EAGLE	11,27,-1,-1,-1,103	surface	1	28780	28780	0	0	1			True
natural	1	16233	16233	MONGOOSE	13,28,-1,-1,-1,176	surface	1	23533	23533	0	0	1			True
natural	1	16233	16233	WILD_BOAR	13,28,-1,-1,-1,159	surface	9	20290	28317	0	4	5			True
natural	1	17726	17726	MONGOOSE	13,28,-1,-1,-1,176	surface	1	21701	21701	0	1	0			True
natural	1	17980	17980	BIRD_EAGLE	13,28,-1,-1,-1,103	surface	1	20516	20516	0	0	1			True
natural	1	19518	19518	BIRD_OSPREY	12,27,-1,-1,-1,6	surface	1	26096	26096	0	0	1			True
natural	1	19518	19518	WARTHOG	13,28,-1,-1,-1,232	surface	4	21182	29059	0	0	4			True
