run	arm	rep	tick	abs_tick	subject	metric	value
20260917-080028	aquatic	1	16948	2032948	clock	year	5
20260917-080028	aquatic	1	16948	2032948	clock	tick	16948
20260917-080028	aquatic	1	16948	2032948	clock	season	0
20260917-080028	aquatic	1	16948	2032948	clock	paused	1
20260917-080028	aquatic	1	16948	2032948	clock	fps_cap	1000.0
20260917-080028	aquatic	1	16948	2032948	clock	fps_achieved	277
20260917-080028	aquatic	1	16948	2032948	clock	gfps_cap	10.0
20260917-080028	aquatic	1	16948	2032948	clock	units_active	51
20260917-080028	aquatic	1	16948	2032948	clock	popups	0
20260917-080028	aquatic	1	16948	2032948	clock	map	1
20260917-080028	aquatic	1	17250	2033250	clock	fps_achieved	274
20260917-080028	aquatic	1	17250	2033250	clock	units_active	51
20260917-080028	aquatic	1	17250	2033250	clock	popups	0
20260917-080028	aquatic	1	17250	2033250	clock	paused	1
20260917-080028	aquatic	1	17250	2033250	clock	ticks_per_wall_s	38.8
20260917-080028	aquatic	1	17250	2033250	193	arrival_species	WEASEL
20260917-080028	aquatic	1	17250	2033250	193	arrival_countdown	27736
20260917-080028	aquatic	1	17250	2033250	194	arrival_species	OLM_GIANT
20260917-080028	aquatic	1	17250	2033250	194	arrival_countdown	27393
20260917-080028	aquatic	1	17250	2033250	162	countdown	19874
20260917-080028	aquatic	1	17250	2033250	162	flag_src	0
20260917-080028	aquatic	1	17250	2033250	163	countdown	23136
20260917-080028	aquatic	1	17250	2033250	163	flag_src	0
20260917-080028	aquatic	1	17250	2033250	164	countdown	25931
20260917-080028	aquatic	1	17250	2033250	164	flag_src	0
20260917-080028	aquatic	1	17250	2033250	165	countdown	20435
20260917-080028	aquatic	1	17250	2033250	165	flag_src	0
20260917-080028	aquatic	1	17250	2033250	166	countdown	23215
20260917-080028	aquatic	1	17250	2033250	166	flag_src	0
20260917-080028	aquatic	1	17250	2033250	167	countdown	21709
20260917-080028	aquatic	1	17250	2033250	167	flag_src	0
20260917-080028	aquatic	1	17250	2033250	168	countdown	24255
20260917-080028	aquatic	1	17250	2033250	168	flag_src	0
20260917-080028	aquatic	1	17250	2033250	169	countdown	28809
20260917-080028	aquatic	1	17250	2033250	169	flag_src	0
20260917-080028	aquatic	1	17250	2033250	170	countdown	22863
20260917-080028	aquatic	1	17250	2033250	170	flag_src	0
20260917-080028	aquatic	1	17250	2033250	181	countdown	28805
20260917-080028	aquatic	1	17250	2033250	181	flag_src	0
20260917-080028	aquatic	1	17250	2033250	191	countdown	28910
20260917-080028	aquatic	1	17250	2033250	191	flag_src	0
20260917-080028	aquatic	1	17250	2033250	192	countdown	23310
20260917-080028	aquatic	1	17250	2033250	192	flag_src	0
20260917-080028	aquatic	1	17250	2033250	193	countdown	27736
20260917-080028	aquatic	1	17250	2033250	193	flag_src	0
20260917-080028	aquatic	1	17250	2033250	194	countdown	27393
20260917-080028	aquatic	1	17250	2033250	194	flag_src	0
20260917-080028	aquatic	1	17543	2033543	clock	fps_achieved	324
20260917-080028	aquatic	1	17543	2033543	clock	units_active	57
20260917-080028	aquatic	1	17543	2033543	clock	popups	0
20260917-080028	aquatic	1	17543	2033543	clock	paused	1
20260917-080028	aquatic	1	17543	2033543	clock	ticks_per_wall_s	213.6
20260917-080028	aquatic	1	17543	2033543	195	arrival_species	OLM_GIANT
20260917-080028	aquatic	1	17543	2033543	195	arrival_countdown	26621
20260917-080028	aquatic	1	17543	2033543	162	countdown	19581
20260917-080028	aquatic	1	17543	2033543	162	flag_src	0
20260917-080028	aquatic	1	17543	2033543	163	countdown	22843
20260917-080028	aquatic	1	17543	2033543	163	flag_src	0
20260917-080028	aquatic	1	17543	2033543	164	countdown	25638
20260917-080028	aquatic	1	17543	2033543	164	flag_src	0
20260917-080028	aquatic	1	17543	2033543	165	countdown	20142
20260917-080028	aquatic	1	17543	2033543	165	flag_src	0
20260917-080028	aquatic	1	17543	2033543	166	countdown	22922
20260917-080028	aquatic	1	17543	2033543	166	flag_src	0
20260917-080028	aquatic	1	17543	2033543	167	countdown	21416
20260917-080028	aquatic	1	17543	2033543	167	flag_src	0
20260917-080028	aquatic	1	17543	2033543	168	countdown	23962
20260917-080028	aquatic	1	17543	2033543	168	flag_src	0
20260917-080028	aquatic	1	17543	2033543	169	countdown	28516
20260917-080028	aquatic	1	17543	2033543	169	flag_src	0
20260917-080028	aquatic	1	17543	2033543	170	countdown	22570
20260917-080028	aquatic	1	17543	2033543	170	flag_src	0
20260917-080028	aquatic	1	17543	2033543	181	countdown	28512
20260917-080028	aquatic	1	17543	2033543	181	flag_src	0
20260917-080028	aquatic	1	17543	2033543	191	countdown	28617
20260917-080028	aquatic	1	17543	2033543	191	flag_src	0
20260917-080028	aquatic	1	17543	2033543	192	countdown	23017
20260917-080028	aquatic	1	17543	2033543	192	flag_src	0
20260917-080028	aquatic	1	17543	2033543	193	countdown	27443
20260917-080028	aquatic	1	17543	2033543	193	flag_src	0
20260917-080028	aquatic	1	17543	2033543	194	countdown	27100
20260917-080028	aquatic	1	17543	2033543	194	flag_src	0
20260917-080028	aquatic	1	17543	2033543	195	countdown	26621
20260917-080028	aquatic	1	17543	2033543	195	flag_src	1
20260917-080028	aquatic	1	17948	2033948	clock	fps_achieved	762
20260917-080028	aquatic	1	17948	2033948	clock	units_active	61
20260917-080028	aquatic	1	17948	2033948	clock	popups	0
20260917-080028	aquatic	1	17948	2033948	clock	paused	1
20260917-080028	aquatic	1	17948	2033948	clock	ticks_per_wall_s	215.2
20260917-080028	aquatic	1	17948	2033948	196	arrival_species	PLUMP_HELMET_MAN
20260917-080028	aquatic	1	17948	2033948	196	arrival_countdown	28535
20260917-080028	aquatic	1	17948	2033948	197	arrival_species	PLUMP_HELMET_MAN
20260917-080028	aquatic	1	17948	2033948	197	arrival_countdown	22610
20260917-080028	aquatic	1	17948	2033948	198	arrival_species	PLUMP_HELMET_MAN
20260917-080028	aquatic	1	17948	2033948	198	arrival_countdown	21979
20260917-080028	aquatic	1	17948	2033948	199	arrival_species	PLUMP_HELMET_MAN
20260917-080028	aquatic	1	17948	2033948	199	arrival_countdown	25428
20260917-080028	aquatic	1	17948	2033948	200	arrival_species	PLUMP_HELMET_MAN
20260917-080028	aquatic	1	17948	2033948	200	arrival_countdown	22371
20260917-080028	aquatic	1	17948	2033948	201	arrival_species	BIRD_SWALLOW_CAVE_GIANT
20260917-080028	aquatic	1	17948	2033948	201	arrival_countdown	23479
20260917-080028	aquatic	1	17948	2033948	202	arrival_species	DEMON_14
20260917-080028	aquatic	1	17948	2033948	202	arrival_countdown	22264
20260917-080028	aquatic	1	17948	2033948	203	arrival_species	DEMON_14
20260917-080028	aquatic	1	17948	2033948	203	arrival_countdown	23870
20260917-080028	aquatic	1	17948	2033948	204	arrival_species	DEMON_14
20260917-080028	aquatic	1	17948	2033948	204	arrival_countdown	23407
20260917-080028	aquatic	1	17948	2033948	162	countdown	19176
20260917-080028	aquatic	1	17948	2033948	162	flag_src	0
20260917-080028	aquatic	1	17948	2033948	163	countdown	22438
20260917-080028	aquatic	1	17948	2033948	163	flag_src	0
20260917-080028	aquatic	1	17948	2033948	164	countdown	25233
20260917-080028	aquatic	1	17948	2033948	164	flag_src	0
20260917-080028	aquatic	1	17948	2033948	165	countdown	19737
20260917-080028	aquatic	1	17948	2033948	165	flag_src	0
20260917-080028	aquatic	1	17948	2033948	166	countdown	22517
20260917-080028	aquatic	1	17948	2033948	166	flag_src	0
20260917-080028	aquatic	1	17948	2033948	167	countdown	21011
20260917-080028	aquatic	1	17948	2033948	167	flag_src	0
20260917-080028	aquatic	1	17948	2033948	168	countdown	23557
20260917-080028	aquatic	1	17948	2033948	168	flag_src	0
20260917-080028	aquatic	1	17948	2033948	169	countdown	28111
20260917-080028	aquatic	1	17948	2033948	169	flag_src	0
20260917-080028	aquatic	1	17948	2033948	170	countdown	22165
20260917-080028	aquatic	1	17948	2033948	170	flag_src	0
20260917-080028	aquatic	1	17948	2033948	181	countdown	28107
20260917-080028	aquatic	1	17948	2033948	181	flag_src	0
20260917-080028	aquatic	1	17948	2033948	191	countdown	28212
20260917-080028	aquatic	1	17948	2033948	191	flag_src	0
20260917-080028	aquatic	1	17948	2033948	192	countdown	22612
20260917-080028	aquatic	1	17948	2033948	192	flag_src	0
20260917-080028	aquatic	1	17948	2033948	193	countdown	27038
20260917-080028	aquatic	1	17948	2033948	193	flag_src	0
20260917-080028	aquatic	1	17948	2033948	194	countdown	26695
20260917-080028	aquatic	1	17948	2033948	194	flag_src	0
20260917-080028	aquatic	1	17948	2033948	195	countdown	26216
20260917-080028	aquatic	1	17948	2033948	195	flag_src	1
20260917-080028	aquatic	1	17948	2033948	196	countdown	28535
20260917-080028	aquatic	1	17948	2033948	196	flag_src	1
20260917-080028	aquatic	1	17948	2033948	197	countdown	22610
20260917-080028	aquatic	1	17948	2033948	197	flag_src	1
20260917-080028	aquatic	1	17948	2033948	198	countdown	21979
20260917-080028	aquatic	1	17948	2033948	198	flag_src	1
20260917-080028	aquatic	1	17948	2033948	199	countdown	25428
20260917-080028	aquatic	1	17948	2033948	199	flag_src	1
20260917-080028	aquatic	1	17948	2033948	200	countdown	22371
20260917-080028	aquatic	1	17948	2033948	200	flag_src	1
20260917-080028	aquatic	1	17948	2033948	201	countdown	23479
20260917-080028	aquatic	1	17948	2033948	201	flag_src	1
20260917-080028	aquatic	1	17948	2033948	202	countdown	22264
20260917-080028	aquatic	1	17948	2033948	202	flag_src	1
20260917-080028	aquatic	1	17948	2033948	203	countdown	23870
20260917-080028	aquatic	1	17948	2033948	203	flag_src	1
20260917-080028	aquatic	1	17948	2033948	204	countdown	23407
20260917-080028	aquatic	1	17948	2033948	204	flag_src	1
20260917-080028	aquatic	1	18247	2034247	clock	fps_achieved	746
20260917-080028	aquatic	1	18247	2034247	clock	units_active	79
20260917-080028	aquatic	1	18247	2034247	clock	popups	0
20260917-080028	aquatic	1	18247	2034247	clock	paused	1
20260917-080028	aquatic	1	18247	2034247	clock	ticks_per_wall_s	172.7
20260917-080028	aquatic	1	18247	2034247	205	arrival_species	CRUNDLE
20260917-080028	aquatic	1	18247	2034247	205	arrival_countdown	27057
20260917-080028	aquatic	1	18247	2034247	206	arrival_species	CRUNDLE
20260917-080028	aquatic	1	18247	2034247	206	arrival_countdown	29218
20260917-080028	aquatic	1	18247	2034247	207	arrival_species	CRUNDLE
20260917-080028	aquatic	1	18247	2034247	207	arrival_countdown	22666
20260917-080028	aquatic	1	18247	2034247	162	countdown	18877
20260917-080028	aquatic	1	18247	2034247	162	flag_src	0
20260917-080028	aquatic	1	18247	2034247	163	countdown	22139
20260917-080028	aquatic	1	18247	2034247	163	flag_src	0
20260917-080028	aquatic	1	18247	2034247	164	countdown	24934
20260917-080028	aquatic	1	18247	2034247	164	flag_src	0
20260917-080028	aquatic	1	18247	2034247	165	countdown	19438
20260917-080028	aquatic	1	18247	2034247	165	flag_src	0
20260917-080028	aquatic	1	18247	2034247	166	countdown	22217
20260917-080028	aquatic	1	18247	2034247	166	flag_src	0
20260917-080028	aquatic	1	18247	2034247	167	countdown	20712
20260917-080028	aquatic	1	18247	2034247	167	flag_src	0
20260917-080028	aquatic	1	18247	2034247	168	countdown	23258
20260917-080028	aquatic	1	18247	2034247	168	flag_src	0
20260917-080028	aquatic	1	18247	2034247	169	countdown	27812
20260917-080028	aquatic	1	18247	2034247	169	flag_src	0
20260917-080028	aquatic	1	18247	2034247	170	countdown	21866
20260917-080028	aquatic	1	18247	2034247	170	flag_src	0
20260917-080028	aquatic	1	18247	2034247	181	countdown	27808
20260917-080028	aquatic	1	18247	2034247	181	flag_src	0
20260917-080028	aquatic	1	18247	2034247	191	countdown	27913
20260917-080028	aquatic	1	18247	2034247	191	flag_src	0
20260917-080028	aquatic	1	18247	2034247	192	countdown	22313
20260917-080028	aquatic	1	18247	2034247	192	flag_src	0
20260917-080028	aquatic	1	18247	2034247	193	countdown	26739
20260917-080028	aquatic	1	18247	2034247	193	flag_src	0
20260917-080028	aquatic	1	18247	2034247	194	countdown	26396
20260917-080028	aquatic	1	18247	2034247	194	flag_src	0
20260917-080028	aquatic	1	18247	2034247	195	countdown	25917
20260917-080028	aquatic	1	18247	2034247	195	flag_src	1
20260917-080028	aquatic	1	18247	2034247	196	countdown	28236
20260917-080028	aquatic	1	18247	2034247	196	flag_src	1
20260917-080028	aquatic	1	18247	2034247	197	countdown	22311
20260917-080028	aquatic	1	18247	2034247	197	flag_src	1
20260917-080028	aquatic	1	18247	2034247	198	countdown	21680
20260917-080028	aquatic	1	18247	2034247	198	flag_src	1
20260917-080028	aquatic	1	18247	2034247	199	countdown	25129
20260917-080028	aquatic	1	18247	2034247	199	flag_src	1
20260917-080028	aquatic	1	18247	2034247	200	countdown	22072
20260917-080028	aquatic	1	18247	2034247	200	flag_src	1
20260917-080028	aquatic	1	18247	2034247	201	countdown	23180
20260917-080028	aquatic	1	18247	2034247	201	flag_src	1
20260917-080028	aquatic	1	18247	2034247	202	countdown	21965
20260917-080028	aquatic	1	18247	2034247	202	flag_src	1
20260917-080028	aquatic	1	18247	2034247	203	countdown	23571
20260917-080028	aquatic	1	18247	2034247	203	flag_src	1
20260917-080028	aquatic	1	18247	2034247	204	countdown	23108
20260917-080028	aquatic	1	18247	2034247	204	flag_src	1
20260917-080028	aquatic	1	18247	2034247	205	countdown	27057
20260917-080028	aquatic	1	18247	2034247	205	flag_src	1
20260917-080028	aquatic	1	18247	2034247	206	countdown	29218
20260917-080028	aquatic	1	18247	2034247	206	flag_src	1
20260917-080028	aquatic	1	18247	2034247	207	countdown	22666
20260917-080028	aquatic	1	18247	2034247	207	flag_src	1
20260917-080028	aquatic	1	18480	2034480	clock	fps_achieved	767
20260917-080028	aquatic	1	18480	2034480	clock	units_active	79
20260917-080028	aquatic	1	18480	2034480	clock	popups	0
20260917-080028	aquatic	1	18480	2034480	clock	paused	1
20260917-080028	aquatic	1	18480	2034480	clock	ticks_per_wall_s	160.1
20260917-080028	aquatic	1	18480	2034480	162	countdown	18644
20260917-080028	aquatic	1	18480	2034480	162	flag_src	0
20260917-080028	aquatic	1	18480	2034480	163	countdown	21906
20260917-080028	aquatic	1	18480	2034480	163	flag_src	0
20260917-080028	aquatic	1	18480	2034480	164	countdown	24701
20260917-080028	aquatic	1	18480	2034480	164	flag_src	0
20260917-080028	aquatic	1	18480	2034480	165	countdown	19205
20260917-080028	aquatic	1	18480	2034480	165	flag_src	0
20260917-080028	aquatic	1	18480	2034480	166	countdown	21984
20260917-080028	aquatic	1	18480	2034480	166	flag_src	0
20260917-080028	aquatic	1	18480	2034480	167	countdown	20479
20260917-080028	aquatic	1	18480	2034480	167	flag_src	0
20260917-080028	aquatic	1	18480	2034480	168	countdown	23025
20260917-080028	aquatic	1	18480	2034480	168	flag_src	0
20260917-080028	aquatic	1	18480	2034480	169	countdown	27579
20260917-080028	aquatic	1	18480	2034480	169	flag_src	0
20260917-080028	aquatic	1	18480	2034480	170	countdown	21633
20260917-080028	aquatic	1	18480	2034480	170	flag_src	0
20260917-080028	aquatic	1	18480	2034480	181	countdown	27575
20260917-080028	aquatic	1	18480	2034480	181	flag_src	0
20260917-080028	aquatic	1	18480	2034480	191	countdown	27680
20260917-080028	aquatic	1	18480	2034480	191	flag_src	0
20260917-080028	aquatic	1	18480	2034480	192	countdown	22080
20260917-080028	aquatic	1	18480	2034480	192	flag_src	0
20260917-080028	aquatic	1	18480	2034480	193	countdown	26506
20260917-080028	aquatic	1	18480	2034480	193	flag_src	0
20260917-080028	aquatic	1	18480	2034480	194	countdown	26163
20260917-080028	aquatic	1	18480	2034480	194	flag_src	0
20260917-080028	aquatic	1	18480	2034480	195	countdown	25684
20260917-080028	aquatic	1	18480	2034480	195	flag_src	1
20260917-080028	aquatic	1	18480	2034480	196	countdown	28003
20260917-080028	aquatic	1	18480	2034480	196	flag_src	1
20260917-080028	aquatic	1	18480	2034480	197	countdown	22078
20260917-080028	aquatic	1	18480	2034480	197	flag_src	1
20260917-080028	aquatic	1	18480	2034480	198	countdown	21447
20260917-080028	aquatic	1	18480	2034480	198	flag_src	1
20260917-080028	aquatic	1	18480	2034480	199	countdown	24896
20260917-080028	aquatic	1	18480	2034480	199	flag_src	1
20260917-080028	aquatic	1	18480	2034480	200	countdown	21839
20260917-080028	aquatic	1	18480	2034480	200	flag_src	1
20260917-080028	aquatic	1	18480	2034480	201	countdown	22947
20260917-080028	aquatic	1	18480	2034480	201	flag_src	1
20260917-080028	aquatic	1	18480	2034480	202	countdown	21732
20260917-080028	aquatic	1	18480	2034480	202	flag_src	1
20260917-080028	aquatic	1	18480	2034480	203	countdown	23338
20260917-080028	aquatic	1	18480	2034480	203	flag_src	1
20260917-080028	aquatic	1	18480	2034480	204	countdown	22875
20260917-080028	aquatic	1	18480	2034480	204	flag_src	1
20260917-080028	aquatic	1	18480	2034480	205	countdown	26824
20260917-080028	aquatic	1	18480	2034480	205	flag_src	1
20260917-080028	aquatic	1	18480	2034480	206	countdown	28985
20260917-080028	aquatic	1	18480	2034480	206	flag_src	1
20260917-080028	aquatic	1	18480	2034480	207	countdown	22433
