run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	16948	2032948	162	TROLL	FEMALE	14	14	45	3,31,-1,2,-1,26	cavern	20176	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	163	MAGMA_CRAB	MALE	37	13	15	4,31,-1,29,-1,0	cavern	23438	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	164	MAGMA_CRAB	MALE	37	14	15	4,31,-1,29,-1,0	cavern	26233	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	165	MAGMA_CRAB	MALE	40	13	15	4,31,-1,29,-1,0	cavern	20737	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	166	DEMON_15	FEMALE	164	9	3	4,30,-1,38,-1,0	cavern	23517	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	167	DEMON_15	MALE	164	6	3	4,30,-1,38,-1,0	cavern	22011	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	168	DEMON_15	FEMALE	163	7	3	4,30,-1,38,-1,0	cavern	24557	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	169	DEMON_15	FEMALE	162	8	3	4,30,-1,38,-1,0	cavern	29111	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	170	JABBERER	MALE	32	178	32	4,31,-1,20,-1,21	cavern	23165	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	181	CROCODILE_CAVE	FEMALE	137	170	58	4,30,-1,2,-1,9	cavern	29107	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	191	BIRD_OSPREY	FEMALE	186	49	97	4,31,-1,-1,-1,52	surface	29212	0	1	1	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	192	REACHER	MALE	15	191	33	3,31,-1,20,-1,27	cavern	23612	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	16948	2032948	193	WEASEL	MALE	191	90	91	4,31,-1,-1,-1,51	surface	28017	0	1	1	0	1	-1	0	1
20260917-080028	aquatic	1	16948	2032948	194	OLM_GIANT	FEMALE	191	148	38	4,30,-1,11,-1,12	cavern	27674	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17250	2033250	162	TROLL	FEMALE	16	11	47	3,31,-1,2,-1,26	cavern	19874	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	163	MAGMA_CRAB	MALE	33	9	15	4,31,-1,29,-1,0	cavern	23136	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	164	MAGMA_CRAB	MALE	37	14	15	4,31,-1,29,-1,0	cavern	25931	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	165	MAGMA_CRAB	MALE	40	13	15	4,31,-1,29,-1,0	cavern	20435	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	166	DEMON_15	FEMALE	167	0	3	4,30,-1,38,-1,0	cavern	23215	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	167	DEMON_15	MALE	166	4	3	4,30,-1,38,-1,0	cavern	21709	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	168	DEMON_15	FEMALE	164	9	3	4,30,-1,38,-1,0	cavern	24255	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	169	DEMON_15	FEMALE	162	8	3	4,30,-1,38,-1,0	cavern	28809	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	170	JABBERER	MALE	40	170	31	4,31,-1,20,-1,21	cavern	22863	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	181	CROCODILE_CAVE	FEMALE	136	177	59	4,30,-1,2,-1,9	cavern	28805	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	191	BIRD_OSPREY	FEMALE	162	48	98	4,31,-1,-1,-1,52	surface	28910	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17250	2033250	192	REACHER	MALE	16	182	31	3,31,-1,20,-1,27	cavern	23310	0	0	0	0	0	-1	0	1
