arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
aquatic	1	0	302	WEASEL	4,31,-1,-1,-1,51	surface	1	27736	27736	0	0	1			True
aquatic	1	0	302	OLM_GIANT	4,30,-1,11,-1,12	cavern	1	27393	27393	0	0	1			True
aquatic	1	595	595	OLM_GIANT	3,31,-1,2,-1,10	cavern	1	26621	26621	0	0	1			True
aquatic	1	595	1000	PLUMP_HELMET_MAN	4,30,-1,20,-1,14	cavern	5	21979	28535	0	0	5			True
aquatic	1	1000	1000	BIRD_SWALLOW_CAVE_GIANT	3,31,-1,2,-1,18	cavern	1	23479	23479	0	0	1			True
aquatic	1	1000	1000	DEMON_14	4,29,-1,38,-1,5	cavern	3	22264	23870	0	0	3			True
aquatic	1	1299	1299	CRUNDLE	4,30,-1,11,-1,15	cavern	17	20863	29768	0	11	6			True
aquatic	1	1885	1885	POND_GRABBER	4,30,-1,2,-1,8	cavern	3	21936	27041	0	0	3			True
aquatic	1	1885	1885	OLM_GIANT	4,30,-1,11,-1,12	cavern	1	20381	20381	0	0	1			True
aquatic	1	2525	2525	TROGLODYTE	4,30,-1,11,-1,26	cavern	8	20252	28798	0	0	8			True
aquatic	1	2525	2525	JABBERER	4,30,-1,20,-1,21	cavern	1	25751	25751	0	0	1			True
aquatic	1	2829	2829	DEMON_15	5,30,-1,38,-1,0	cavern	3	19815	24998	0	0	3			True
aquatic	1	3471	3471	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	2	24624	24809	0	0	2			True
aquatic	1	3471	3471	HUNGRY_HEAD	4,30,-1,20,-1,20	cavern	9	22239	28678	0	0	9			True
aquatic	1	3471	3471	DEMON_2	4,30,-1,38,-1,6	cavern	2	26340	27179	0	0	2			True
aquatic	1	3800	3800	TROLL	4,30,-1,11,-1,31	cavern	1	24575	24575	0	0	1			True
aquatic	1	3800	4176	TROGLODYTE	4,30,-1,11,-1,26	cavern	9	20631	27390	0	7	2			True
aquatic	1	4176	4176	MAGMA_CRAB	4,31,-1,29,-1,0	cavern	5	24734	29791	0	0	5			True
aquatic	1	5065	5065	DEMON_4	4,29,-1,38,-1,2	cavern	4	19934	27040	0	0	4			True
aquatic	1	5065	5065	TROLL	4,30,-1,11,-1,31	cavern	1	27716	27716	0	0	1			True
aquatic	1	5433	5433	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	28774	28774	0	0	1			True
aquatic	1	5433	5433	BUGBAT	4,30,-1,20,-1,19	cavern	15	21084	29484	0	1	14			True
aquatic	1	5759	5759	TROLL	4,30,-1,2,-1,26	cavern	1	24145	24145	0	0	1			True
aquatic	1	5759	5759	CRUNDLE	4,30,-1,11,-1,15	cavern	12	20155	28157	0	9	3			True
aquatic	1	6651	6651	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	22602	22602	0	0	1			True
aquatic	1	6651	6651	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	25118	25118	0	0	1			True
aquatic	1	6948	6948	DEMON_15	4,30,-1,38,-1,0	cavern	3	25741	28937	0	0	3			True
aquatic	1	7304	7304	CRUNDLE	4,30,-1,20,-1,12	cavern	15	21412	29412	0	0	15			True
aquatic	1	8319	8319	DEMON_2	4,30,-1,38,-1,6	cavern	2	19959	23483	0	0	2			True
aquatic	1	8636	8636	BLIND_CAVE_OGRE	3,31,-1,20,-1,28	cavern	3	21195	28772	0	0	3			True
aquatic	1	9554	9554	CRAB	3,29,-1,-1,-1,23	surface	1	23282	23282	0	0	1			True
aquatic	1	9833	9833	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	25514	25514	0	0	1			True
aquatic	1	9833	9833	DEMON_19	4,30,-1,38,-1,4	cavern	5	20724	27518	0	0	5			True
aquatic	1	9833	10117	DEMON_13	4,30,-1,38,-1,3	cavern	2	21911	22508	0	0	2			True
aquatic	1	10117	10426	HELMET_SNAKE	4,30,-1,11,-1,21	cavern	1	23822	23822	0	0	1			True
aquatic	1	10426	10426	TOAD_GIANT_CAVE	4,30,-1,2,-1,11	cavern	1	20002	20002	0	1	0			True
aquatic	1	10426	10426	BLIND_CAVE_OGRE	4,30,-1,20,-1,28	cavern	3	22397	29489	0	0	3			True
aquatic	1	11010	11010	TROLL	4,30,-1,11,-1,31	cavern	1	25537	25537	0	0	1			True
aquatic	1	11636	11636	DEMON_2	4,31,-1,38,-1,6	cavern	4	20583	24567	0	0	4			True
aquatic	1	11636	11636	CRUNDLE	4,30,-1,20,-1,12	cavern	18	19980	29492	0	7	11			True
aquatic	1	11982	11982	TROLL	4,30,-1,2,-1,26	cavern	1	20341	20341	0	0	1			True
aquatic	1	12916	12916	TROLL	4,30,-1,2,-1,26	cavern	1	25952	25952	0	0	1			True
aquatic	1	13223	13223	BLIND_CAVE_OGRE	4,30,-1,11,-1,33	cavern	2	19954	25854	0	0	2			True
aquatic	1	13223	13223	CRUNDLE	3,31,-1,20,-1,12	cavern	19	21132	29663	0	3	16			True
aquatic	1	13223	13223	BLIND_CAVE_BEAR	3,31,-1,2,-1,21	cavern	1	29793	29793	0	0	1			True
aquatic	1	13223	13223	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	25026	25026	0	0	1			True
aquatic	1	13897	13897	DEMON_14	4,29,-1,38,-1,5	cavern	4	19730	27855	0	0	4			True
aquatic	1	14822	14822	BUGBAT	4,30,-1,20,-1,19	cavern	14	20507	29701	0	6	8			True
aquatic	1	14822	14822	DEMON_1	4,30,-1,38,-1,1	cavern	5	22933	29819	0	0	5			True
aquatic	1	15086	15326	TROLL	4,30,-1,2,-1,26	cavern	1	21771	21771	0	0	1			True
aquatic	1	15326	15326	CROCODILE_CAVE	4,30,-1,11,-1,14	cavern	1	22591	22591	0	0	1			True
aquatic	1	15562	15562	OLM_GIANT	4,30,-1,2,-1,10	cavern	1	23617	23617	0	1	0			True
aquatic	1	15812	15812	VORACIOUS_CAVE_CRAWLER	4,30,-1,11,-1,24	cavern	1	22016	22016	0	1	0			True
aquatic	1	16413	16413	BLIND_CAVE_OGRE	4,30,-1,11,-1,33	cavern	2	26024	26931	0	0	2			True
aquatic	1	16673	16673	OLM_GIANT	4,30,-1,2,-1,10	cavern	1	22514	22514	0	0	1			True
aquatic	1	16673	16673	BLIND_CAVE_OGRE	3,31,-1,20,-1,28	cavern	3	22632	29240	0	0	3			True
aquatic	1	16917	16917	TOAD_GIANT_CAVE	4,30,-1,2,-1,11	cavern	1	25004	25004	0	1	0			True
aquatic	1	16917	16917	DEMON_1	4,31,-1,38,-1,1	cavern	1	26194	26194	0	0	1			True
aquatic	1	17161	17161	DEMON_1	4,29,-1,38,-1,1	cavern	1	24816	24816	0	0	1			True
aquatic	1	17713	18044	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	21729	21729	0	0	1			True
aquatic	1	18044	18044	OLM_GIANT	4,30,-1,2,-1,10	cavern	1	23358	23358	0	0	1			True
aquatic	1	18044	18044	DEMON_2	4,30,-1,38,-1,6	cavern	5	20084	26795	0	0	5			True
aquatic	1	18044	18044	JABBERER	4,30,-1,20,-1,21	cavern	1	24994	24994	0	0	1			True
aquatic	1	18342	18342	TOAD_GIANT_CAVE	3,31,-1,2,-1,11	cavern	1	28493	28493	0	0	1			True
aquatic	1	18987	18987	OLM_GIANT	4,30,-1,11,-1,12	cavern	1	28678	28678	0	0	1			True
aquatic	1	19330	19330	PLUMP_HELMET_MAN	4,30,-1,20,-1,14	cavern	3	21813	26849	0	0	3			True
aquatic	1	19612	19612	REACHER	4,30,-1,11,-1,34	cavern	1	26998	26998	0	1	0			True
aquatic	1	19612	19612	TOAD_GIANT_CAVE	3,31,-1,2,-1,11	cavern	1	26395	26395	0	0	1			True
aquatic	1	19886	19886	ELK_BIRD	4,30,-1,20,-1,22	cavern	8	21829	29472	0	0	8			True
aquatic	1	19886	20164	OLM_GIANT	3,31,-1,2,-1,10	cavern	1	24851	24851	0	0	1			True
aquatic	2	0	331	WEASEL	4,31,-1,-1,-1,51	surface	1	27707	27707	0	0	1			False
aquatic	2	0	331	OLM_GIANT	4,30,-1,11,-1,12	cavern	1	27364	27364	0	0	1			False
aquatic	2	331	331	DEMON_1	4,30,-1,38,-1,1	cavern	5	20492	28917	0	0	5			False
aquatic	2	653	653	CROCODILE_CAVE	4,30,-1,11,-1,14	cavern	1	20189	20189	0	0	1			False
aquatic	2	653	653	CRUNDLE	4,30,-1,11,-1,15	cavern	17	21184	29016	0	2	15			False
aquatic	2	933	933	BUGBAT	4,30,-1,20,-1,19	cavern	5	20862	29374	0	0	5			False
aquatic	2	933	933	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	27942	27942	0	0	1			False
aquatic	2	1288	1288	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	24821	24821	0	0	1			False
aquatic	2	1883	1883	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	24597	24597	0	0	1			False
aquatic	2	1883	1883	DEMON_14	4,31,-1,38,-1,5	cavern	2	20521	27611	0	0	2			False
aquatic	2	1883	1883	VORACIOUS_CAVE_CRAWLER	4,30,-1,20,-1,18	cavern	1	24723	24723	0	0	1			False
aquatic	2	1883	2152	TROLL	4,30,-1,11,-1,31	cavern	1	21665	21665	0	0	1			False
aquatic	2	1883	2152	CRUNDLE	4,30,-1,20,-1,12	cavern	20	19851	28015	0	0	20			False
aquatic	2	2152	2152	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	28800	28800	0	0	1			False
aquatic	2	2497	2747	MAGMA_CRAB	4,31,-1,29,-1,0	cavern	1	21056	21056	0	0	1			False
aquatic	2	3532	3532	CROCODILE_CAVE	4,30,-1,11,-1,14	cavern	1	22831	22831	0	0	1			False
aquatic	2	3787	3787	GORLAK	4,30,-1,11,-1,35	cavern	1	23583	23583	0	1	0			False
aquatic	2	3787	3787	DEMON_1	4,30,-1,38,-1,1	cavern	5	24070	28460	0	0	5			False
aquatic	2	3787	4086	BUGBAT	4,30,-1,20,-1,19	cavern	10	19928	29491	0	0	10			False
aquatic	2	4086	4086	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	28309	28309	0	0	1			False
aquatic	2	5212	5212	HELMET_SNAKE	4,30,-1,11,-1,21	cavern	1	23073	23073	0	0	1			False
aquatic	2	5212	5212	DEMON_14	4,30,-1,38,-1,5	cavern	2	21209	22864	0	0	2			False
aquatic	2	5212	5212	DEMON_15	4,30,-1,38,-1,0	cavern	4	21727	29427	0	0	4			False
aquatic	2	5493	5493	VORACIOUS_CAVE_CRAWLER	4,30,-1,11,-1,24	cavern	1	23465	23465	0	1	0			False
aquatic	2	5493	5824	TROLL	4,30,-1,2,-1,26	cavern	1	20891	20891	0	0	1			False
aquatic	2	5493	5824	TROLL	3,31,-1,20,-1,26	cavern	1	27523	27523	0	0	1			False
aquatic	2	5824	5824	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	26313	26313	0	0	1			False
aquatic	2	6061	6061	VORACIOUS_CAVE_CRAWLER	4,30,-1,20,-1,18	cavern	1	20625	20625	0	0	1			False
aquatic	2	6867	6867	CROCODILE_CAVE	4,30,-1,2,-1,9	cavern	1	27887	27887	0	0	1			False
aquatic	2	7141	7141	HUNGRY_HEAD	3,31,-1,20,-1,20	cavern	6	20315	29736	0	0	6			False
aquatic	2	7141	7141	DEMON_19	4,29,-1,38,-1,4	cavern	2	22243	28589	0	0	2			False
aquatic	2	7372	7372	TROLL	4,30,-1,2,-1,26	cavern	1	24051	24051	0	1	0			False
aquatic	2	7372	7372	BLIND_CAVE_OGRE	4,30,-1,11,-1,33	cavern	3	20253	28004	0	0	3			False
aquatic	2	8731	8731	BIRD_SWALLOW_CAVE_GIANT	4,30,-1,2,-1,18	cavern	1	23815	23815	0	0	1			False
aquatic	2	8731	8731	CRUNDLE	4,30,-1,20,-1,12	cavern	12	19810	29121	0	0	12			False
aquatic	2	8731	8731	DEMON_4	4,29,-1,38,-1,2	cavern	4	20203	28841	0	0	4			False
aquatic	2	9027	9027	PLUMP_HELMET_MAN	4,30,-1,11,-1,16	cavern	5	20603	27668	0	0	5			False
aquatic	2	9027	9027	GORLAK	4,30,-1,2,-1,27	cavern	1	25074	25074	0	0	1			False
aquatic	2	10012	10012	JABBERER	4,30,-1,20,-1,21	cavern	1	29037	29037	0	0	1			False
aquatic	2	10012	10012	DEMON_2	4,30,-1,38,-1,6	cavern	2	21114	24419	0	0	2			False
aquatic	2	10012	10012	CROCODILE_CAVE	4,30,-1,11,-1,14	cavern	1	21548	21548	0	0	1			False
