run	arm	rep	tick	abs_tick	event	subject	detail
20260917-080634	aquatic	1	16948	2032948	baseline	wild_present	12
20260917-080634	aquatic	1	16948	2032948	present_at_start	162	TROLL ref6=3,31,-1,2,-1,26 countdown=20176 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	163	MAGMA_CRAB ref6=4,31,-1,29,-1,0 countdown=23438 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	164	MAGMA_CRAB ref6=4,31,-1,29,-1,0 countdown=26233 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	165	MAGMA_CRAB ref6=4,31,-1,29,-1,0 countdown=20737 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	166	DEMON_15 ref6=4,30,-1,38,-1,0 countdown=23517 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	167	DEMON_15 ref6=4,30,-1,38,-1,0 countdown=22011 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	168	DEMON_15 ref6=4,30,-1,38,-1,0 countdown=24557 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	169	DEMON_15 ref6=4,30,-1,38,-1,0 countdown=29111 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	170	JABBERER ref6=4,31,-1,20,-1,21 countdown=23165 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	181	CROCODILE_CAVE ref6=4,30,-1,2,-1,9 countdown=29107 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	191	BIRD_OSPREY ref6=4,31,-1,-1,-1,52 countdown=29212 flag_src=1
20260917-080634	aquatic	1	16948	2032948	present_at_start	192	REACHER ref6=3,31,-1,20,-1,27 countdown=23612 flag_src=1
