
# E14-OCEAN2 -- Aquatic surface entries on OCEAN2, an ocean embark that is actually WET: 58% surface water, water on all four map edges, and the ocean tile 3,28 present in plotinfo.border. Same design as E14-OCEAN — open every aquatic surface entry on the site and neighbour tiles at 50, close every land entry, release surface holds every 1,500 ticks, 20,000 ticks — plus a natural arm. Does a wet ocean map produce shark and fish waves?
run 20260917-123933 fort OCEAN2 backup OCEAN2.preverify
DF v0.53.16 win64 STEAM DFHack 53.16-r1.1 world The Domain of Winds site 48 tiles 4..4,28..28 seed 424242
commits: DwarfCron db12865 seasonal-wildlife 1c43117 fps cap 1000

## Predictions (written before the run)
- edge water is the gate: arm aquatic: shark/fish/ray waves from the ocean tiles, entries debited by exactly the arrivals, as milkfish did on LAKE
- ocean entries never wave, whatever the map: arm aquatic: no shark or fish arrival and no debit in 2 x 20,000 ticks while the natural arm produces waves
- only amphibious walkers ever arrive: arm aquatic: crabs and saltwater crocodiles only, no AQUATIC+IMMOBILE_LAND species

## Replicates
arm | rep | valid | control | ticks | t/s | arrivals | departures | deaths | stop | breaches
aquatic | 1 | True | None | 20082 | 193.3 | 51 | 0 | 7 |  | 
aquatic | 2 | True | None | 20331 | 189.2 | 63 | 0 | 6 |  | 
natural | 1 | True | None | 20124 | 127.7 | 98 | 0 | 4 |  | 

## Arrivals (new unit ids, attributed by the six-tuple they carry)
arm | rep | tick | species | ref6 | n | countdown at first sighting | departed at (rel ticks) | outcome
aquatic | 1 | +369 | CROCODILE_CAVE | 4,28,-1,2,-1,9 | 1 | 26388 | 9940 | death
aquatic | 1 | +369 | BLIND_CAVE_OGRE | 4,28,-1,10,-1,12 | 3 | 21898,23229,28267 | - | present
aquatic | 1 | +369 | ELK_BIRD | 4,28,-1,22,-1,18 | 6 | 22406,22489,23382,25062,27380,29085 | - | present
aquatic | 1 | +369 | DEMON_14 | 4,28,-1,38,-1,5 | 4 | 24667,26752,27309,28457 | - | present
aquatic | 1 | +369 | CROCODILE_SALTWATER | 4,29,-1,-1,-1,44 | 2 | 20587,23504 | - | present
aquatic | 1 | +369 | TROLL | 4,28,-1,2,-1,26 | 1 | 25980 | - | present
aquatic | 1 | +369 | MANERA | 4,28,-1,10,-1,14 | 1 | 26726 | - | present
aquatic | 1 | +369 | MAGMA_CRAB | 3,28,-1,29,-1,0 | 4 | 20609,24119,25292,29905 | - | present
aquatic | 1 | +966 | ELK_BIRD | 4,28,-1,22,-1,18 | 2 | 26359,27449 | - | present
aquatic | 1 | +2013 | CRAB | 3,28,-1,-1,-1,23 | 2 | 27678,28106 | 15423,11836 | death
aquatic | 1 | +3807 | CRAB | 3,28,-1,-1,-1,23 | 1 | 23454 | 10042 | death
aquatic | 1 | +5721 | CRAB | 3,28,-1,-1,-1,23 | 1 | 29817 | - | present
aquatic | 1 | +6000 | CRAB | 3,28,-1,-1,-1,23 | 1 | 29299 | - | present
aquatic | 1 | +7144 | CROCODILE_SALTWATER | 4,29,-1,-1,-1,44 | 1 | 22165 | - | present
aquatic | 1 | +7144 | CRAB | 3,28,-1,-1,-1,23 | 1 | 25509 | - | present
