run	arm	rep	tick	abs_tick	subject	metric	value
20260917-123933	aquatic	1	16801	2032801	clock	year	5
20260917-123933	aquatic	1	16801	2032801	clock	tick	16801
20260917-123933	aquatic	1	16801	2032801	clock	season	0
20260917-123933	aquatic	1	16801	2032801	clock	paused	1
20260917-123933	aquatic	1	16801	2032801	clock	fps_cap	1000.0
20260917-123933	aquatic	1	16801	2032801	clock	fps_achieved	94
20260917-123933	aquatic	1	16801	2032801	clock	gfps_cap	10.0
20260917-123933	aquatic	1	16801	2032801	clock	units_active	27
20260917-123933	aquatic	1	16801	2032801	clock	popups	0
20260917-123933	aquatic	1	16801	2032801	clock	map	1
20260917-123933	aquatic	1	17170	2033170	clock	fps_achieved	180
20260917-123933	aquatic	1	17170	2033170	clock	units_active	51
20260917-123933	aquatic	1	17170	2033170	clock	popups	0
20260917-123933	aquatic	1	17170	2033170	clock	paused	1
20260917-123933	aquatic	1	17170	2033170	clock	ticks_per_wall_s	44.3
20260917-123933	aquatic	1	17170	2033170	171	arrival_species	CROCODILE_CAVE
20260917-123933	aquatic	1	17170	2033170	171	arrival_countdown	26388
20260917-123933	aquatic	1	17170	2033170	172	arrival_species	BLIND_CAVE_OGRE
20260917-123933	aquatic	1	17170	2033170	172	arrival_countdown	28267
20260917-123933	aquatic	1	17170	2033170	173	arrival_species	BLIND_CAVE_OGRE
20260917-123933	aquatic	1	17170	2033170	173	arrival_countdown	23229
20260917-123933	aquatic	1	17170	2033170	174	arrival_species	BLIND_CAVE_OGRE
20260917-123933	aquatic	1	17170	2033170	174	arrival_countdown	21898
20260917-123933	aquatic	1	17170	2033170	175	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	175	arrival_countdown	22489
20260917-123933	aquatic	1	17170	2033170	176	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	176	arrival_countdown	23382
20260917-123933	aquatic	1	17170	2033170	177	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	177	arrival_countdown	22406
20260917-123933	aquatic	1	17170	2033170	178	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	178	arrival_countdown	27380
20260917-123933	aquatic	1	17170	2033170	179	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	179	arrival_countdown	25062
20260917-123933	aquatic	1	17170	2033170	180	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17170	2033170	180	arrival_countdown	29085
20260917-123933	aquatic	1	17170	2033170	183	arrival_species	DEMON_14
20260917-123933	aquatic	1	17170	2033170	183	arrival_countdown	28457
20260917-123933	aquatic	1	17170	2033170	184	arrival_species	DEMON_14
20260917-123933	aquatic	1	17170	2033170	184	arrival_countdown	26752
20260917-123933	aquatic	1	17170	2033170	185	arrival_species	DEMON_14
20260917-123933	aquatic	1	17170	2033170	185	arrival_countdown	24667
20260917-123933	aquatic	1	17170	2033170	186	arrival_species	DEMON_14
20260917-123933	aquatic	1	17170	2033170	186	arrival_countdown	27309
20260917-123933	aquatic	1	17170	2033170	187	arrival_species	CROCODILE_SALTWATER
20260917-123933	aquatic	1	17170	2033170	187	arrival_countdown	23504
20260917-123933	aquatic	1	17170	2033170	188	arrival_species	CROCODILE_SALTWATER
20260917-123933	aquatic	1	17170	2033170	188	arrival_countdown	20587
20260917-123933	aquatic	1	17170	2033170	189	arrival_species	TROLL
20260917-123933	aquatic	1	17170	2033170	189	arrival_countdown	25980
20260917-123933	aquatic	1	17170	2033170	190	arrival_species	MANERA
20260917-123933	aquatic	1	17170	2033170	190	arrival_countdown	26726
20260917-123933	aquatic	1	17170	2033170	191	arrival_species	MAGMA_CRAB
20260917-123933	aquatic	1	17170	2033170	191	arrival_countdown	25292
20260917-123933	aquatic	1	17170	2033170	192	arrival_species	MAGMA_CRAB
20260917-123933	aquatic	1	17170	2033170	192	arrival_countdown	20609
20260917-123933	aquatic	1	17170	2033170	193	arrival_species	MAGMA_CRAB
20260917-123933	aquatic	1	17170	2033170	193	arrival_countdown	24119
20260917-123933	aquatic	1	17170	2033170	194	arrival_species	MAGMA_CRAB
20260917-123933	aquatic	1	17170	2033170	194	arrival_countdown	29905
20260917-123933	aquatic	1	17170	2033170	171	countdown	26388
20260917-123933	aquatic	1	17170	2033170	171	flag_src	1
20260917-123933	aquatic	1	17170	2033170	172	countdown	28267
20260917-123933	aquatic	1	17170	2033170	172	flag_src	1
20260917-123933	aquatic	1	17170	2033170	173	countdown	23229
20260917-123933	aquatic	1	17170	2033170	173	flag_src	1
20260917-123933	aquatic	1	17170	2033170	174	countdown	21898
20260917-123933	aquatic	1	17170	2033170	174	flag_src	1
20260917-123933	aquatic	1	17170	2033170	175	countdown	22489
20260917-123933	aquatic	1	17170	2033170	175	flag_src	1
20260917-123933	aquatic	1	17170	2033170	176	countdown	23382
20260917-123933	aquatic	1	17170	2033170	176	flag_src	1
20260917-123933	aquatic	1	17170	2033170	177	countdown	22406
20260917-123933	aquatic	1	17170	2033170	177	flag_src	1
20260917-123933	aquatic	1	17170	2033170	178	countdown	27380
20260917-123933	aquatic	1	17170	2033170	178	flag_src	1
20260917-123933	aquatic	1	17170	2033170	179	countdown	25062
20260917-123933	aquatic	1	17170	2033170	179	flag_src	1
20260917-123933	aquatic	1	17170	2033170	180	countdown	29085
20260917-123933	aquatic	1	17170	2033170	180	flag_src	1
20260917-123933	aquatic	1	17170	2033170	183	countdown	28457
20260917-123933	aquatic	1	17170	2033170	183	flag_src	1
20260917-123933	aquatic	1	17170	2033170	184	countdown	26752
20260917-123933	aquatic	1	17170	2033170	184	flag_src	1
20260917-123933	aquatic	1	17170	2033170	185	countdown	24667
20260917-123933	aquatic	1	17170	2033170	185	flag_src	1
20260917-123933	aquatic	1	17170	2033170	186	countdown	27309
20260917-123933	aquatic	1	17170	2033170	186	flag_src	1
20260917-123933	aquatic	1	17170	2033170	187	countdown	23504
20260917-123933	aquatic	1	17170	2033170	187	flag_src	1
20260917-123933	aquatic	1	17170	2033170	188	countdown	20587
20260917-123933	aquatic	1	17170	2033170	188	flag_src	1
20260917-123933	aquatic	1	17170	2033170	189	countdown	25980
20260917-123933	aquatic	1	17170	2033170	189	flag_src	1
20260917-123933	aquatic	1	17170	2033170	190	countdown	26726
20260917-123933	aquatic	1	17170	2033170	190	flag_src	1
20260917-123933	aquatic	1	17170	2033170	191	countdown	25292
20260917-123933	aquatic	1	17170	2033170	191	flag_src	1
20260917-123933	aquatic	1	17170	2033170	192	countdown	20609
20260917-123933	aquatic	1	17170	2033170	192	flag_src	1
20260917-123933	aquatic	1	17170	2033170	193	countdown	24119
20260917-123933	aquatic	1	17170	2033170	193	flag_src	1
20260917-123933	aquatic	1	17170	2033170	194	countdown	29905
20260917-123933	aquatic	1	17170	2033170	194	flag_src	1
20260917-123933	aquatic	1	17512	2033512	clock	fps_achieved	260
20260917-123933	aquatic	1	17512	2033512	clock	units_active	51
20260917-123933	aquatic	1	17512	2033512	clock	popups	0
20260917-123933	aquatic	1	17512	2033512	clock	paused	1
20260917-123933	aquatic	1	17512	2033512	clock	ticks_per_wall_s	236.4
20260917-123933	aquatic	1	17512	2033512	171	countdown	26046
20260917-123933	aquatic	1	17512	2033512	171	flag_src	1
20260917-123933	aquatic	1	17512	2033512	172	countdown	27925
20260917-123933	aquatic	1	17512	2033512	172	flag_src	1
20260917-123933	aquatic	1	17512	2033512	173	countdown	22887
20260917-123933	aquatic	1	17512	2033512	173	flag_src	1
20260917-123933	aquatic	1	17512	2033512	174	countdown	21556
20260917-123933	aquatic	1	17512	2033512	174	flag_src	1
20260917-123933	aquatic	1	17512	2033512	175	countdown	22147
20260917-123933	aquatic	1	17512	2033512	175	flag_src	1
20260917-123933	aquatic	1	17512	2033512	176	countdown	23040
20260917-123933	aquatic	1	17512	2033512	176	flag_src	1
20260917-123933	aquatic	1	17512	2033512	177	countdown	22064
20260917-123933	aquatic	1	17512	2033512	177	flag_src	1
20260917-123933	aquatic	1	17512	2033512	178	countdown	27038
20260917-123933	aquatic	1	17512	2033512	178	flag_src	1
20260917-123933	aquatic	1	17512	2033512	179	countdown	24720
20260917-123933	aquatic	1	17512	2033512	179	flag_src	1
20260917-123933	aquatic	1	17512	2033512	180	countdown	28743
20260917-123933	aquatic	1	17512	2033512	180	flag_src	1
20260917-123933	aquatic	1	17512	2033512	183	countdown	28115
20260917-123933	aquatic	1	17512	2033512	183	flag_src	1
20260917-123933	aquatic	1	17512	2033512	184	countdown	26410
20260917-123933	aquatic	1	17512	2033512	184	flag_src	1
20260917-123933	aquatic	1	17512	2033512	185	countdown	24325
20260917-123933	aquatic	1	17512	2033512	185	flag_src	1
20260917-123933	aquatic	1	17512	2033512	186	countdown	26967
20260917-123933	aquatic	1	17512	2033512	186	flag_src	1
20260917-123933	aquatic	1	17512	2033512	187	countdown	23162
20260917-123933	aquatic	1	17512	2033512	187	flag_src	1
20260917-123933	aquatic	1	17512	2033512	188	countdown	20245
20260917-123933	aquatic	1	17512	2033512	188	flag_src	1
20260917-123933	aquatic	1	17512	2033512	189	countdown	25638
20260917-123933	aquatic	1	17512	2033512	189	flag_src	1
20260917-123933	aquatic	1	17512	2033512	190	countdown	26384
20260917-123933	aquatic	1	17512	2033512	190	flag_src	1
20260917-123933	aquatic	1	17512	2033512	191	countdown	24950
20260917-123933	aquatic	1	17512	2033512	191	flag_src	1
20260917-123933	aquatic	1	17512	2033512	192	countdown	20267
20260917-123933	aquatic	1	17512	2033512	192	flag_src	1
20260917-123933	aquatic	1	17512	2033512	193	countdown	23777
20260917-123933	aquatic	1	17512	2033512	193	flag_src	1
20260917-123933	aquatic	1	17512	2033512	194	countdown	29563
20260917-123933	aquatic	1	17512	2033512	194	flag_src	1
20260917-123933	aquatic	1	17767	2033767	clock	fps_achieved	674
20260917-123933	aquatic	1	17767	2033767	clock	units_active	51
20260917-123933	aquatic	1	17767	2033767	clock	popups	0
20260917-123933	aquatic	1	17767	2033767	clock	paused	1
20260917-123933	aquatic	1	17767	2033767	clock	ticks_per_wall_s	180.9
20260917-123933	aquatic	1	17767	2033767	181	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17767	2033767	181	arrival_countdown	26359
20260917-123933	aquatic	1	17767	2033767	182	arrival_species	ELK_BIRD
20260917-123933	aquatic	1	17767	2033767	182	arrival_countdown	27449
20260917-123933	aquatic	1	17767	2033767	171	countdown	25791
20260917-123933	aquatic	1	17767	2033767	171	flag_src	1
20260917-123933	aquatic	1	17767	2033767	172	countdown	27670
20260917-123933	aquatic	1	17767	2033767	172	flag_src	1
20260917-123933	aquatic	1	17767	2033767	173	countdown	22632
20260917-123933	aquatic	1	17767	2033767	173	flag_src	1
20260917-123933	aquatic	1	17767	2033767	174	countdown	21301
20260917-123933	aquatic	1	17767	2033767	174	flag_src	1
20260917-123933	aquatic	1	17767	2033767	175	countdown	21892
20260917-123933	aquatic	1	17767	2033767	175	flag_src	1
20260917-123933	aquatic	1	17767	2033767	176	countdown	22785
20260917-123933	aquatic	1	17767	2033767	176	flag_src	1
20260917-123933	aquatic	1	17767	2033767	177	countdown	21809
20260917-123933	aquatic	1	17767	2033767	177	flag_src	1
20260917-123933	aquatic	1	17767	2033767	178	countdown	26783
20260917-123933	aquatic	1	17767	2033767	178	flag_src	1
20260917-123933	aquatic	1	17767	2033767	179	countdown	24465
20260917-123933	aquatic	1	17767	2033767	179	flag_src	1
20260917-123933	aquatic	1	17767	2033767	180	countdown	28488
20260917-123933	aquatic	1	17767	2033767	180	flag_src	1
20260917-123933	aquatic	1	17767	2033767	181	countdown	26359
20260917-123933	aquatic	1	17767	2033767	181	flag_src	1
20260917-123933	aquatic	1	17767	2033767	182	countdown	27449
20260917-123933	aquatic	1	17767	2033767	182	flag_src	1
20260917-123933	aquatic	1	17767	2033767	183	countdown	27860
20260917-123933	aquatic	1	17767	2033767	183	flag_src	1
20260917-123933	aquatic	1	17767	2033767	184	countdown	26155
20260917-123933	aquatic	1	17767	2033767	184	flag_src	1
20260917-123933	aquatic	1	17767	2033767	185	countdown	24070
20260917-123933	aquatic	1	17767	2033767	185	flag_src	1
20260917-123933	aquatic	1	17767	2033767	186	countdown	26712
20260917-123933	aquatic	1	17767	2033767	186	flag_src	1
20260917-123933	aquatic	1	17767	2033767	187	countdown	22907
