run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-123933	aquatic	1	17170	2033170	171	CROCODILE_CAVE	FEMALE	9	26	58	4,28,-1,2,-1,9	cavern	26388	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	172	BLIND_CAVE_OGRE	MALE	111	190	37	4,28,-1,10,-1,12	cavern	28267	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	173	BLIND_CAVE_OGRE	MALE	103	191	37	4,28,-1,10,-1,12	cavern	23229	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	174	BLIND_CAVE_OGRE	FEMALE	100	191	37	4,28,-1,10,-1,12	cavern	21898	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	175	ELK_BIRD	MALE	8	151	19	4,28,-1,22,-1,18	cavern	22489	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	176	ELK_BIRD	FEMALE	0	149	18	4,28,-1,22,-1,18	cavern	23382	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	177	ELK_BIRD	MALE	2	148	18	4,28,-1,22,-1,18	cavern	22406	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	178	ELK_BIRD	MALE	0	150	18	4,28,-1,22,-1,18	cavern	27380	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	179	ELK_BIRD	MALE	0	152	18	4,28,-1,22,-1,18	cavern	25062	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	180	ELK_BIRD	MALE	0	154	18	4,28,-1,22,-1,18	cavern	29085	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	181	ELK_BIRD	MALE	0	152	18	4,28,-1,22,-1,18	cavern	26457	0	1	0	0	1	-1	0	1
20260917-123933	aquatic	1	17170	2033170	182	ELK_BIRD	FEMALE	0	151	18	4,28,-1,22,-1,18	cavern	27547	0	1	0	0	1	-1	0	1
20260917-123933	aquatic	1	17170	2033170	183	DEMON_14	DEFAULT	190	105	0	4,28,-1,38,-1,5	cavern	28457	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	184	DEMON_14	DEFAULT	191	105	0	4,28,-1,38,-1,5	cavern	26752	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	185	DEMON_14	DEFAULT	191	102	0	4,28,-1,38,-1,5	cavern	24667	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	186	DEMON_14	DEFAULT	190	103	0	4,28,-1,38,-1,5	cavern	27309	0	1	0	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	187	CROCODILE_SALTWATER	FEMALE	104	190	93	4,29,-1,-1,-1,44	surface	23504	0	1	1	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	188	CROCODILE_SALTWATER	MALE	109	191	93	4,29,-1,-1,-1,44	surface	20587	0	1	1	0	0	-1	0	1
20260917-123933	aquatic	1	17170	2033170	189	TROLL	MALE	182	120	57	4,28,-1,2,-1,26	cavern	25980	0	1	0	0	0	-1	0	1
