arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
aquatic	1	369	369	CROCODILE_CAVE	4,28,-1,2,-1,9	cavern	1	26388	26388	0	1	0			True
aquatic	1	369	369	BLIND_CAVE_OGRE	4,28,-1,10,-1,12	cavern	3	21898	28267	0	0	3			True
aquatic	1	369	369	ELK_BIRD	4,28,-1,22,-1,18	cavern	8	22406	29085	0	0	8			True
aquatic	1	369	369	DEMON_14	4,28,-1,38,-1,5	cavern	4	24667	28457	0	0	4			True
aquatic	1	369	369	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	2	20587	23504	0	0	2			True
aquatic	1	369	369	TROLL	4,28,-1,2,-1,26	cavern	1	25980	25980	0	0	1			True
aquatic	1	369	369	MANERA	4,28,-1,10,-1,14	cavern	1	26726	26726	0	0	1			True
aquatic	1	369	369	MAGMA_CRAB	3,28,-1,29,-1,0	cavern	4	20609	29905	0	0	4			True
aquatic	1	2013	2013	CRAB	3,28,-1,-1,-1,23	surface	2	27678	28106	0	2	0			True
aquatic	1	3807	3807	CRAB	3,28,-1,-1,-1,23	surface	1	23454	23454	0	1	0			True
aquatic	1	5721	5721	CRAB	3,28,-1,-1,-1,23	surface	1	29817	29817	0	0	1			True
aquatic	1	6000	6000	CRAB	3,28,-1,-1,-1,23	surface	1	29299	29299	0	0	1			True
aquatic	1	7144	7144	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	1	22165	22165	0	0	1			True
aquatic	1	7144	7144	CRAB	3,28,-1,-1,-1,23	surface	1	25509	25509	0	0	1			True
aquatic	1	8699	8699	CRAB	3,28,-1,-1,-1,23	surface	1	26391	26391	0	0	1			True
aquatic	1	9161	9161	CRAB	3,28,-1,-1,-1,23	surface	1	25670	25670	0	0	1			True
aquatic	1	10309	10309	CRAB	3,28,-1,-1,-1,23	surface	1	26988	26988	0	1	0			True
aquatic	1	10309	10309	CROCODILE_CAVE	4,28,-1,2,-1,9	cavern	1	22667	22667	0	0	1			True
aquatic	1	10626	10626	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	1	25367	25367	0	0	1			True
aquatic	1	12132	12132	CRAB	3,28,-1,-1,-1,23	surface	1	29553	29553	0	1	0			True
aquatic	1	12388	12388	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	3	21003	29740	0	0	3			True
aquatic	1	13849	13849	CRAB	3,28,-1,-1,-1,23	surface	1	20843	20843	0	0	1			True
aquatic	1	13849	13849	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	3	28939	29783	0	0	3			True
aquatic	1	15669	15669	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	2	20120	27588	0	0	2			True
aquatic	1	17436	17436	CRAB	3,28,-1,-1,-1,23	surface	1	25627	25627	0	1	0			True
aquatic	1	17770	17770	SHARK_BLUE	3,28,-1,-1,-1,10	surface	1	22093	22093	0	0	1			True
aquatic	1	18008	18008	CRAB	3,28,-1,-1,-1,23	surface	1	26040	26040	0	0	1			True
aquatic	1	19209	19209	CRAB	3,28,-1,-1,-1,23	surface	2	20285	22993	0	0	2			True
aquatic	2	344	344	CROCODILE_SALTWATER	4,29,-1,-1,-1,44	surface	3	19858	27241	0	0	3			True
aquatic	2	344	344	TROLL	4,28,-1,2,-1,26	cavern	1	27988	27988	0	0	1			True
aquatic	2	344	344	REACHER	3,28,-1,10,-1,13	cavern	1	27134	27134	0	1	0			True
aquatic	2	344	344	ELK_BIRD	4,28,-1,22,-1,18	cavern	7	20460	29328	0	0	7			True
aquatic	2	344	344	MAGMA_CRAB	3,28,-1,29,-1,0	cavern	5	26060	28468	0	0	5			True
aquatic	2	344	344	DEMON_4	4,28,-1,38,-1,2	cavern	1	22945	22945	0	0	1			True
aquatic	2	344	344	CROCODILE_CAVE	4,28,-1,2,-1,9	cavern	1	29156	29156	0	1	0			True
aquatic	2	344	344	TROLL	3,28,-1,10,-1,11	cavern	1	21459	21459	0	0	1			True
