
# E15 -- F15, the large-stock debit rule. On CTRL, open exactly one species across the site tile and its ring, release the surface every 1,500 ticks for 20,000 ticks, and sample every entry every 200 ticks: does the debit per wave equal the wave size when the entry is large, and does the rule follow the entry's size or the species?
run 20260917-141259 fort CTRL backup CTRL.preverify
DF v0.53.16 win64 STEAM DFHack 53.16-r1.1 world The Legendary Dimension site 32 tiles 29..29,20..20 seed WILDERPOP1
commits: DwarfCron a60f0d1 seasonal-wildlife 55a21fa fps cap 1000

## Predictions (written before the run)
- A: exact debit, hidden by a growth or refund term: per-wave step in the entry equals the wave size on every arm; between waves the entry climbs back on large entries
- B: a different rule above some size: raven-natural and kangaroo-300 both debit less than the wave size; raven-30 and kangaroo-30 debit exactly
- C: a species (flier) rule, not a size rule: raven debits short at both 339 and 30; kangaroo debits exactly at both 300 and 30

## Replicates
arm | rep | valid | control | ticks | t/s | arrivals | departures | deaths | stop | breaches
raven_natural | 1 | True | None | 20110 | 85.9 | 102 | 0 | 0 |  | 
raven_natural | 2 | True | None | 20023 | 78.3 | 120 | 0 | 0 |  | 
raven_30 | 1 | True | None | 20170 | 91.8 | 85 | 0 | 0 |  | 
raven_30 | 2 | True | None | 20204 | 95.9 | 73 | 0 | 0 |  | 
kangaroo_300 | 1 | True | None | 20042 | 180.0 | 50 | 0 | 0 |  | 
kangaroo_300 | 2 | True | None | 20194 | 174.0 | 50 | 0 | 0 |  | 
kangaroo_30 | 1 | True | None | 20232 | 175.3 | 41 | 0 | 0 |  | 
kangaroo_30 | 2 | True | None | 20057 | 166.3 | 40 | 0 | 0 |  | 

## Arrivals (new unit ids, attributed by the six-tuple they carry)
arm | rep | tick | species | ref6 | n | countdown at first sighting | departed at (rel ticks) | outcome
kangaroo_30 | 1 | +374 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 24305,29493 | - | present
kangaroo_30 | 1 | +374 | OLM_GIANT | 30,20,-1,8,-1,9 | 1 | 28474 | - | present
kangaroo_30 | 1 | +374 | TROGLODYTE | 29,20,-1,13,-1,19 | 5 | 20251,20812,23718,24718,29659 | - | present
kangaroo_30 | 1 | +374 | DEMON_3 | 30,20,-1,43,-1,0 | 3 | 21411,22205,27444 | - | present
kangaroo_30 | 1 | +374 | TOAD_GIANT_CAVE | 29,20,-1,8,-1,12 | 1 | 25346 | - | present
kangaroo_30 | 1 | +1034 | DEMON_3 | 30,20,-1,43,-1,0 | 1 | 20690 | - | present
kangaroo_30 | 1 | +2124 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 21975,25581 | - | present
kangaroo_30 | 1 | +3838 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 25126,26820,28484 | - | present
kangaroo_30 | 1 | +5216 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 21059,26165 | - | present
kangaroo_30 | 1 | +6590 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 19998,21220,25541,28083 | - | present
kangaroo_30 | 1 | +8393 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 21215,21939,24426,29509 | - | present
kangaroo_30 | 1 | +9905 | KANGAROO | 29,20,-1,-1,-1,88 | 6 | 20034,20483,21942,22262,24923,26151 | - | present
kangaroo_30 | 1 | +11433 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 20656,23403,28424 | - | present
kangaroo_30 | 1 | +13029 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 21366,24783,24807,26821 | - | present
kangaroo_30 | 2 | +518 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 22187,22526,27400 | - | present
kangaroo_30 | 2 | +518 | CROCODILE_CAVE | 29,21,-1,8,-1,10 | 1 | 28729 | - | present
kangaroo_30 | 2 | +518 | TROLL | 29,20,-1,13,-1,32 | 1 | 24390 | - | present
kangaroo_30 | 2 | +518 | DEMON_18 | 29,20,-1,43,-1,1 | 1 | 25745 | - | present
kangaroo_30 | 2 | +518 | BIRD_SWALLOW_CAVE_GIANT | 29,20,-1,8,-1,18 | 1 | 20030 | - | present
kangaroo_30 | 2 | +518 | REACHER | 29,20,-1,13,-1,30 | 1 | 26328 | - | present
kangaroo_30 | 2 | +518 | DEMON_13 | 29,20,-1,43,-1,4 | 4 | 20152,23436,27930,28286 | - | present
kangaroo_30 | 2 | +2203 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 19769,19777,21289,29584 | - | present
kangaroo_30 | 2 | +4004 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 20067,24389 | - | present
kangaroo_30 | 2 | +5432 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 23404,26150,26803 | - | present
kangaroo_30 | 2 | +7156 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 20678,25798,25953,27083 | - | present
kangaroo_30 | 2 | +8970 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 22123,25362,27888 | - | present
kangaroo_30 | 2 | +10828 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 24008,25773,26642,28950 | - | present
kangaroo_30 | 2 | +12321 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 22848,23921,23960,26321 | - | present
kangaroo_30 | 2 | +13883 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 20740,22957,24992,26046 | - | present
kangaroo_300 | 1 | +287 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 22498,24905 | - | present
kangaroo_300 | 1 | +287 | TROGLODYTE | 29,20,-1,8,-1,19 | 2 | 20513,24230 | - | present
kangaroo_300 | 1 | +287 | PLUMP_HELMET_MAN | 29,20,-1,13,-1,11 | 3 | 20461,23026,26085 | - | present
kangaroo_300 | 1 | +287 | DEMON_4 | 28,20,-1,44,-1,2 | 1 | 22147 | - | present
kangaroo_300 | 1 | +287 | DEMON_12 | 28,20,-1,44,-1,4 | 3 | 20843,24066,26618 | - | present
kangaroo_300 | 1 | +719 | TROGLODYTE | 29,20,-1,8,-1,19 | 5 | 19898,21108,23321,25359,28701 | - | present
kangaroo_300 | 1 | +2123 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 21925,25880 | - | present
kangaroo_300 | 1 | +3548 | KANGAROO | 29,20,-1,-1,-1,88 | 2 | 23422,26728 | - | present
kangaroo_300 | 1 | +5337 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 21129,24152,26433,27970 | - | present
kangaroo_300 | 1 | +6806 | KANGAROO | 29,20,-1,-1,-1,88 | 4 | 19948,21077,23576,27317 | - | present
kangaroo_300 | 1 | +8404 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 21069,26157,28450 | - | present
kangaroo_300 | 1 | +10141 | KANGAROO | 29,20,-1,-1,-1,88 | 3 | 23627,25036,25835 | - | present
