run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-000329	water	1	21880	2037880	171	BIRD_ALBATROSS	FEMALE	165	170	103	3,28,-1,-1,-1,67	surface	24452	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	172	BIRD_ALBATROSS	FEMALE	164	169	98	3,28,-1,-1,-1,67	surface	22260	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	173	BIRD_ALBATROSS	MALE	164	169	97	3,28,-1,-1,-1,67	surface	24472	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	174	BIRD_ALBATROSS	MALE	159	169	94	3,28,-1,-1,-1,67	surface	21656	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	175	BIRD_ALBATROSS	FEMALE	155	169	96	3,28,-1,-1,-1,67	surface	22712	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	176	BIRD_ALBATROSS	FEMALE	150	169	97	3,28,-1,-1,-1,67	surface	16261	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	177	BIRD_ALBATROSS	FEMALE	146	168	96	3,28,-1,-1,-1,67	surface	20553	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	178	BIRD_ALBATROSS	FEMALE	146	174	102	3,28,-1,-1,-1,67	surface	20025	0	1	1	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	179	TROLL	FEMALE	0	82	58	4,28,-1,2,-1,26	cavern	23286	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	180	REACHER	FEMALE	133	153	38	4,28,-1,10,-1,13	cavern	21342	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	181	CREEPING_EYE	DEFAULT	19	31	19	4,28,-1,22,-1,26	cavern	17406	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	182	CREEPING_EYE	DEFAULT	20	28	19	4,28,-1,22,-1,26	cavern	19221	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	183	CREEPING_EYE	DEFAULT	22	22	19	4,28,-1,22,-1,26	cavern	22242	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	184	CREEPING_EYE	DEFAULT	22	15	20	4,28,-1,22,-1,26	cavern	16775	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	185	CREEPING_EYE	DEFAULT	20	7	20	4,28,-1,22,-1,26	cavern	21791	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	186	CREEPING_EYE	DEFAULT	21	9	20	4,28,-1,22,-1,26	cavern	18128	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	187	CREEPING_EYE	DEFAULT	18	6	20	4,28,-1,22,-1,26	cavern	18203	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	188	CREEPING_EYE	DEFAULT	16	3	20	4,28,-1,22,-1,26	cavern	25137	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	189	CREEPING_EYE	DEFAULT	20	1	20	4,28,-1,22,-1,26	cavern	27600	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	190	CREEPING_EYE	DEFAULT	24	1	20	4,28,-1,22,-1,26	cavern	21981	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	191	CREEPING_EYE	DEFAULT	24	0	20	4,28,-1,22,-1,26	cavern	21041	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	192	CREEPING_EYE	DEFAULT	22	1	20	4,28,-1,22,-1,26	cavern	19957	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	193	CREEPING_EYE	DEFAULT	22	0	20	4,28,-1,22,-1,26	cavern	20955	0	1	0	0	0	-1	0	1	-1
20260918-000329	water	1	21880	2037880	194	CREEPING_EYE	DEFAULT	22	0	20	4,28,-1,22,-1,26	cavern	24736	0	1	0	0	1	-1	0	1	-1
20260918-000329	water	1	21880	2037880	195	CREEPING_EYE	DEFAULT	24	0	20	4,28,-1,22,-1,26	cavern	27560	0	1	0	0	1	-1	0	1	-1
20260918-000329	water	1	21880	2037880	196	CREEPING_EYE	DEFAULT	23	0	20	4,28,-1,22,-1,26	cavern	26199	0	1	0	0	1	-1	0	1	-1
