run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-153142	out_of_season	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	cavern	27544	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	26285	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	cavern	25307	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	24994	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	cavern	21557	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	126	ELK_BIRD	MALE	43	58	26	29,20,-1,25,-1,21	cavern	23677	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	127	ELK_BIRD	FEMALE	52	67	26	29,20,-1,25,-1,21	cavern	21426	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	128	ELK_BIRD	MALE	52	68	26	29,20,-1,25,-1,21	cavern	19567	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	129	ELK_BIRD	MALE	54	67	26	29,20,-1,25,-1,21	cavern	20222	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	130	ELK_BIRD	MALE	65	67	26	29,20,-1,25,-1,21	cavern	25076	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	131	ELK_BIRD	FEMALE	66	65	26	29,20,-1,25,-1,21	cavern	21101	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	132	ELK_BIRD	FEMALE	54	68	26	29,20,-1,25,-1,21	cavern	22922	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	133	ELK_BIRD	FEMALE	49	61	26	29,20,-1,25,-1,21	cavern	23305	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	134	MAGMA_CRAB	FEMALE	3	130	20	29,20,-1,34,-1,0	cavern	24314	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	135	MAGMA_CRAB	MALE	6	133	19	29,20,-1,34,-1,0	cavern	23055	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	136	MAGMA_CRAB	FEMALE	11	138	19	29,20,-1,34,-1,0	cavern	22077	0	1	0	0	0	-1	0	1	-1
20260918-153142	out_of_season	1	20030	826430	137	MAGMA_CRAB	MALE	9	143	21	29,20,-1,34,-1,0	cavern	21764	0	1	0	0	0	-1	0	1	-1
