run	arm	rep	tick	abs_tick	subject	metric	value
20260917-194051	caravan_depot_lever	1	16800	823200	clock	year	2
20260917-194051	caravan_depot_lever	1	16800	823200	clock	tick	16800
20260917-194051	caravan_depot_lever	1	16800	823200	clock	season	0
20260917-194051	caravan_depot_lever	1	16800	823200	clock	paused	1
20260917-194051	caravan_depot_lever	1	16800	823200	clock	fps_cap	1000.0
20260917-194051	caravan_depot_lever	1	16800	823200	clock	fps_achieved	119
20260917-194051	caravan_depot_lever	1	16800	823200	clock	gfps_cap	10.0
20260917-194051	caravan_depot_lever	1	16800	823200	clock	units_active	31
20260917-194051	caravan_depot_lever	1	16800	823200	clock	popups	0
20260917-194051	caravan_depot_lever	1	16800	823200	clock	map	1
20260917-194051	caravan_depot_lever	1	18417	824817	clock	fps_achieved	378
20260917-194051	caravan_depot_lever	1	18417	824817	clock	units_active	54
20260917-194051	caravan_depot_lever	1	18417	824817	clock	popups	0
20260917-194051	caravan_depot_lever	1	18417	824817	clock	paused	1
20260917-194051	caravan_depot_lever	1	18417	824817	clock	ticks_per_wall_s	191.6
20260917-194051	caravan_depot_lever	1	18417	824817	139	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	139	arrival_countdown	21491
20260917-194051	caravan_depot_lever	1	18417	824817	140	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	140	arrival_countdown	26929
20260917-194051	caravan_depot_lever	1	18417	824817	141	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	141	arrival_countdown	24454
20260917-194051	caravan_depot_lever	1	18417	824817	142	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	142	arrival_countdown	24594
20260917-194051	caravan_depot_lever	1	18417	824817	143	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	143	arrival_countdown	27539
20260917-194051	caravan_depot_lever	1	18417	824817	144	arrival_species	TROGLODYTE
20260917-194051	caravan_depot_lever	1	18417	824817	144	arrival_countdown	27349
20260917-194051	caravan_depot_lever	1	18417	824817	145	arrival_species	PLUMP_HELMET_MAN
20260917-194051	caravan_depot_lever	1	18417	824817	145	arrival_countdown	18972
20260917-194051	caravan_depot_lever	1	18417	824817	146	arrival_species	PLUMP_HELMET_MAN
20260917-194051	caravan_depot_lever	1	18417	824817	146	arrival_countdown	27158
20260917-194051	caravan_depot_lever	1	18417	824817	147	arrival_species	PLUMP_HELMET_MAN
20260917-194051	caravan_depot_lever	1	18417	824817	147	arrival_countdown	25297
20260917-194051	caravan_depot_lever	1	18417	824817	148	arrival_species	DEMON_13
20260917-194051	caravan_depot_lever	1	18417	824817	148	arrival_countdown	25082
20260917-194051	caravan_depot_lever	1	18417	824817	149	arrival_species	DEMON_13
20260917-194051	caravan_depot_lever	1	18417	824817	149	arrival_countdown	20474
20260917-194051	caravan_depot_lever	1	18417	824817	150	arrival_species	DEMON_13
20260917-194051	caravan_depot_lever	1	18417	824817	150	arrival_countdown	26708
20260917-194051	caravan_depot_lever	1	18417	824817	151	arrival_species	PORCUPINE
20260917-194051	caravan_depot_lever	1	18417	824817	151	arrival_countdown	28220
20260917-194051	caravan_depot_lever	1	18417	824817	152	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	152	arrival_countdown	24299
20260917-194051	caravan_depot_lever	1	18417	824817	153	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	153	arrival_countdown	26791
20260917-194051	caravan_depot_lever	1	18417	824817	154	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	154	arrival_countdown	20041
20260917-194051	caravan_depot_lever	1	18417	824817	155	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	155	arrival_countdown	25104
20260917-194051	caravan_depot_lever	1	18417	824817	156	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	156	arrival_countdown	27821
20260917-194051	caravan_depot_lever	1	18417	824817	157	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	157	arrival_countdown	26239
20260917-194051	caravan_depot_lever	1	18417	824817	158	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	158	arrival_countdown	23151
20260917-194051	caravan_depot_lever	1	18417	824817	159	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	159	arrival_countdown	27701
20260917-194051	caravan_depot_lever	1	18417	824817	160	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	160	arrival_countdown	25216
20260917-194051	caravan_depot_lever	1	18417	824817	161	arrival_species	BIRD_EMU
20260917-194051	caravan_depot_lever	1	18417	824817	161	arrival_countdown	23361
20260917-194051	caravan_depot_lever	1	18417	824817	126	countdown	25290
20260917-194051	caravan_depot_lever	1	18417	824817	126	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	127	countdown	23039
20260917-194051	caravan_depot_lever	1	18417	824817	127	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	128	countdown	21180
20260917-194051	caravan_depot_lever	1	18417	824817	128	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	129	countdown	21835
20260917-194051	caravan_depot_lever	1	18417	824817	129	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	130	countdown	26689
20260917-194051	caravan_depot_lever	1	18417	824817	130	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	131	countdown	22714
20260917-194051	caravan_depot_lever	1	18417	824817	131	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	132	countdown	24535
20260917-194051	caravan_depot_lever	1	18417	824817	132	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	133	countdown	24918
20260917-194051	caravan_depot_lever	1	18417	824817	133	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	134	countdown	25927
20260917-194051	caravan_depot_lever	1	18417	824817	134	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	135	countdown	24668
20260917-194051	caravan_depot_lever	1	18417	824817	135	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	136	countdown	23690
20260917-194051	caravan_depot_lever	1	18417	824817	136	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	137	countdown	23377
20260917-194051	caravan_depot_lever	1	18417	824817	137	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	138	countdown	19940
20260917-194051	caravan_depot_lever	1	18417	824817	138	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	139	countdown	21491
20260917-194051	caravan_depot_lever	1	18417	824817	139	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	140	countdown	26929
20260917-194051	caravan_depot_lever	1	18417	824817	140	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	141	countdown	24454
20260917-194051	caravan_depot_lever	1	18417	824817	141	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	142	countdown	24594
20260917-194051	caravan_depot_lever	1	18417	824817	142	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	143	countdown	27539
20260917-194051	caravan_depot_lever	1	18417	824817	143	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	144	countdown	27349
20260917-194051	caravan_depot_lever	1	18417	824817	144	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	145	countdown	18972
20260917-194051	caravan_depot_lever	1	18417	824817	145	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	146	countdown	27158
20260917-194051	caravan_depot_lever	1	18417	824817	146	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	147	countdown	25297
20260917-194051	caravan_depot_lever	1	18417	824817	147	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	148	countdown	25082
20260917-194051	caravan_depot_lever	1	18417	824817	148	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	149	countdown	20474
20260917-194051	caravan_depot_lever	1	18417	824817	149	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	150	countdown	26708
20260917-194051	caravan_depot_lever	1	18417	824817	150	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	151	countdown	28220
20260917-194051	caravan_depot_lever	1	18417	824817	151	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	152	countdown	24299
20260917-194051	caravan_depot_lever	1	18417	824817	152	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	153	countdown	26791
20260917-194051	caravan_depot_lever	1	18417	824817	153	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	154	countdown	20041
20260917-194051	caravan_depot_lever	1	18417	824817	154	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	155	countdown	25104
20260917-194051	caravan_depot_lever	1	18417	824817	155	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	156	countdown	27821
20260917-194051	caravan_depot_lever	1	18417	824817	156	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	157	countdown	26239
20260917-194051	caravan_depot_lever	1	18417	824817	157	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	158	countdown	23151
20260917-194051	caravan_depot_lever	1	18417	824817	158	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	159	countdown	27701
20260917-194051	caravan_depot_lever	1	18417	824817	159	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	160	countdown	25216
20260917-194051	caravan_depot_lever	1	18417	824817	160	flag_src	1
20260917-194051	caravan_depot_lever	1	18417	824817	161	countdown	23361
20260917-194051	caravan_depot_lever	1	18417	824817	161	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	clock	fps_achieved	705
20260917-194051	caravan_depot_lever	1	19984	826384	clock	units_active	67
20260917-194051	caravan_depot_lever	1	19984	826384	clock	popups	0
20260917-194051	caravan_depot_lever	1	19984	826384	clock	paused	1
20260917-194051	caravan_depot_lever	1	19984	826384	clock	ticks_per_wall_s	108.0
20260917-194051	caravan_depot_lever	1	19984	826384	171	arrival_species	WOLF
20260917-194051	caravan_depot_lever	1	19984	826384	171	arrival_countdown	28279
20260917-194051	caravan_depot_lever	1	19984	826384	172	arrival_species	WOLF
20260917-194051	caravan_depot_lever	1	19984	826384	172	arrival_countdown	25532
20260917-194051	caravan_depot_lever	1	19984	826384	173	arrival_species	WOLF
20260917-194051	caravan_depot_lever	1	19984	826384	173	arrival_countdown	27176
20260917-194051	caravan_depot_lever	1	19984	826384	126	countdown	23723
20260917-194051	caravan_depot_lever	1	19984	826384	126	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	127	countdown	21472
20260917-194051	caravan_depot_lever	1	19984	826384	127	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	128	countdown	19613
20260917-194051	caravan_depot_lever	1	19984	826384	128	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	129	countdown	20268
20260917-194051	caravan_depot_lever	1	19984	826384	129	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	130	countdown	25122
20260917-194051	caravan_depot_lever	1	19984	826384	130	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	131	countdown	21147
20260917-194051	caravan_depot_lever	1	19984	826384	131	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	132	countdown	22968
20260917-194051	caravan_depot_lever	1	19984	826384	132	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	133	countdown	23351
20260917-194051	caravan_depot_lever	1	19984	826384	133	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	134	countdown	24360
20260917-194051	caravan_depot_lever	1	19984	826384	134	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	135	countdown	23101
20260917-194051	caravan_depot_lever	1	19984	826384	135	flag_src	1
20260917-194051	caravan_depot_lever	1	19984	826384	136	countdown	22123
