run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-194051	caravan_depot_lever	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	cavern	27544	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	26285	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	cavern	25307	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	24994	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	cavern	21557	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	126	ELK_BIRD	MALE	50	32	26	29,20,-1,25,-1,21	cavern	25290	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	127	ELK_BIRD	FEMALE	51	32	26	29,20,-1,25,-1,21	cavern	23039	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	128	ELK_BIRD	MALE	49	37	26	29,20,-1,25,-1,21	cavern	21180	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	129	ELK_BIRD	MALE	44	35	26	29,20,-1,25,-1,21	cavern	21835	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	130	ELK_BIRD	MALE	43	44	25	29,20,-1,25,-1,21	cavern	26689	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	131	ELK_BIRD	FEMALE	34	47	24	29,20,-1,25,-1,21	cavern	22714	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	132	ELK_BIRD	FEMALE	32	49	24	29,20,-1,25,-1,21	cavern	24535	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	133	ELK_BIRD	FEMALE	36	60	24	29,20,-1,25,-1,21	cavern	24918	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	134	MAGMA_CRAB	FEMALE	2	181	20	29,20,-1,34,-1,0	cavern	25927	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	135	MAGMA_CRAB	MALE	7	176	21	29,20,-1,34,-1,0	cavern	24668	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	136	MAGMA_CRAB	FEMALE	11	172	21	29,20,-1,34,-1,0	cavern	23690	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	137	MAGMA_CRAB	MALE	11	173	22	29,20,-1,34,-1,0	cavern	23377	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	138	MAGMA_CRAB	MALE	11	168	22	29,20,-1,34,-1,0	cavern	19940	0	1	0	0	0	-1	0	1	-1
20260917-194051	caravan_depot_lever	1	18417	824817	139	TROGLODYTE	MALE	11	4	53	29,20,-1,8,-1,19	cavern	21491	0	1	0	0	0	-1	0	1	-1
