arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
caravan_depot_lever	1	1571	1571	BIRD_EMU	29,20,-1,-1,-1,56	surface	2	20624	26439	0	2	0			True
caravan_depot_lever	1	1571	1571	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	24490	24490	0	0	1			True
caravan_depot_lever	1	1571	1571	CRUNDLE	29,20,-1,13,-1,9	cavern	17	18833	28943	17	0	0	27671	32573	True
caravan_depot_lever	1	1571	1571	DEMON_4	29,20,-1,43,-1,6	cavern	3	19642	26296	3	0	0	29305	29305	True
caravan_depot_lever	1	1571	1571	ELK_BIRD	29,20,-1,8,-1,21	cavern	7	20249	28352	7	0	0	24461	32573	True
caravan_depot_lever	1	1571	1571	DEMON_3	28,20,-1,44,-1,5	cavern	2	25376	27334	2	0	0	29305	32573	True
caravan_depot_lever	1	3292	3292	DINGO	29,20,-1,-1,-1,100	surface	3	18867	25777	1	1	1	25950	25950	True
caravan_depot_lever	1	4873	4873	COUGAR	29,20,-1,-1,-1,79	surface	1	18927	18927	0	1	0			True
caravan_depot_lever	1	6443	6443	COUGAR	29,20,-1,-1,-1,79	surface	1	26510	26510	1	0	0	27701	27701	True
caravan_depot_lever	1	8078	8078	DINGO	29,20,-1,-1,-1,100	surface	4	19429	28582	1	0	3	22798	22798	True
caravan_depot_lever	1	9782	9782	WOLF	29,20,-1,-1,-1,101	surface	3	21181	28557	2	0	1	25964	25964	True
caravan_depot_lever	1	11458	11458	DINGO	29,20,-1,-1,-1,100	surface	5	19387	26774	1	3	1	22686	22686	True
caravan_depot_lever	1	13024	13024	COUGAR	29,20,-1,-1,-1,79	surface	1	26138	26138	0	0	1			True
caravan_depot_lever	1	14722	14722	WOLF	29,20,-1,-1,-1,101	surface	7	19033	27475	1	1	5	21024	21024	True
caravan_depot_lever	1	16388	16388	DINGO	29,20,-1,-1,-1,100	surface	7	19336	25624	0	0	7			True
caravan_depot_lever	1	17987	17987	DINGO	29,20,-1,-1,-1,100	surface	9	20050	26813	0	0	9			True
caravan_depot_lever	1	19543	19543	COUGAR	29,20,-1,-1,-1,79	surface	1	24615	24615	0	0	1			True
caravan_depot_lever	1	21188	21188	COUGAR	29,20,-1,-1,-1,79	surface	1	21950	21950	0	0	1			True
caravan_depot_lever	1	22800	22800	COUGAR	29,20,-1,-1,-1,79	surface	1	27958	27958	0	0	1			True
caravan_depot_lever	1	24458	24458	COUGAR	29,20,-1,-1,-1,79	surface	1	26798	26798	0	0	1			True
caravan_depot_lever	1	26032	26032	COUGAR	29,20,-1,-1,-1,79	surface	1	26860	26860	0	1	0			True
caravan_depot_lever	1	27680	27680	WOLF	29,20,-1,-1,-1,101	surface	7	19829	26244	0	0	7			True
caravan_depot_lever	1	29242	29242	COUGAR	29,20,-1,-1,-1,79	surface	1	27026	27026	0	0	1			True
caravan_depot_lever	1	30876	30876	COUGAR	29,20,-1,-1,-1,79	surface	1	21259	21259	0	0	1			True
caravan_depot_lever	1	30876	30876	ELK_BIRD	29,20,-1,25,-1,21	cavern	5	20010	28386	0	0	5			True
caravan_depot_lever	1	30876	30876	DEMON_10	29,20,-1,43,-1,5	cavern	3	23270	24331	0	0	3			True
caravan_depot_lever	1	32513	32513	DINGO	29,20,-1,-1,-1,100	surface	6	20414	27323	0	0	6			True
caravan_depot_lever	1	34144	34144	DINGO	29,20,-1,-1,-1,100	surface	12	19286	28882	0	0	12			True
caravan_depot_lever	1	34144	34144	CRUNDLE	29,21,-1,13,-1,9	cavern	8	19764	29113	0	0	8			True
caravan_depot_lever	1	34144	34144	TOAD_GIANT_CAVE	30,20,-1,8,-1,12	cavern	1	26941	26941	0	0	1			True
caravan_depot_lever	1	35746	35746	WOLF	29,20,-1,-1,-1,101	surface	1	27959	27959	0	0	1			True
caravan_depot_lever	2	1614	1614	WOMBAT	29,20,-1,-1,-1,96	surface	1	22596	22596	0	1	0			True
caravan_depot_lever	2	1614	1614	ELK_BIRD	29,20,-1,8,-1,21	cavern	6	19282	27324	6	0	0	28969	30546	True
caravan_depot_lever	2	1614	1614	POND_GRABBER	29,21,-1,13,-1,12	cavern	4	19113	25507	4	0	0	24174	32170	True
caravan_depot_lever	2	1614	1614	DEMON_4	29,20,-1,43,-1,6	cavern	1	28397	28397	1	0	0	28969	28969	True
caravan_depot_lever	2	1614	1614	DEMON_10	29,20,-1,43,-1,5	cavern	3	22349	24812	3	0	0	22576	25781	True
caravan_depot_lever	2	1614	1614	PORCUPINE	29,20,-1,-1,-1,90	surface	1	27189	27189	0	1	0			True
caravan_depot_lever	2	3324	3324	DINGO	29,20,-1,-1,-1,100	surface	5	18692	26973	1	3	1	30460	30460	True
caravan_depot_lever	2	4915	4915	COUGAR	29,20,-1,-1,-1,79	surface	1	22718	22718	1	0	0	25668	25668	True
caravan_depot_lever	2	6596	6596	WOLF	29,20,-1,-1,-1,101	surface	5	21900	25182	4	1	0	23987	28844	True
caravan_depot_lever	2	8238	8238	COUGAR	29,20,-1,-1,-1,79	surface	1	22647	22647	1	0	0	23922	23922	True
caravan_depot_lever	2	9864	9864	DINGO	29,20,-1,-1,-1,100	surface	4	25169	26754	0	4	0			True
caravan_depot_lever	2	11480	11480	WOLF	29,20,-1,-1,-1,101	surface	3	19743	26363	0	0	3			True
caravan_depot_lever	2	13055	13055	DINGO	29,20,-1,-1,-1,100	surface	12	18675	28481	1	7	4	22385	22385	True
caravan_depot_lever	2	14687	14687	DINGO	29,20,-1,-1,-1,100	surface	7	21342	27739	0	3	4			True
caravan_depot_lever	2	16329	16329	WOLF	29,20,-1,-1,-1,101	surface	5	19456	28056	0	0	5			True
caravan_depot_lever	2	17881	17881	DINGO	29,20,-1,-1,-1,100	surface	7	20629	27942	0	2	5			True
caravan_depot_lever	2	19476	19476	WOLF	29,20,-1,-1,-1,101	surface	4	20363	29388	0	0	4			True
caravan_depot_lever	2	21050	21050	WOLF	29,20,-1,-1,-1,101	surface	7	19467	28543	0	0	7			True
caravan_depot_lever	2	22617	22617	WOLF	29,20,-1,-1,-1,101	surface	3	24421	27313	0	0	3			True
caravan_depot_lever	2	24190	24190	COUGAR	29,20,-1,-1,-1,79	surface	1	22142	22142	0	0	1			True
caravan_depot_lever	2	25788	25788	COUGAR	29,20,-1,-1,-1,79	surface	1	27451	27451	0	0	1			True
caravan_depot_lever	2	27395	27395	WOLF	29,20,-1,-1,-1,101	surface	6	20201	28369	0	3	3			True
caravan_depot_lever	2	27395	27395	DEMON_12	28,20,-1,44,-1,4	cavern	3	25174	28414	0	0	3			True
caravan_depot_lever	2	28947	28947	COUGAR	29,20,-1,-1,-1,79	surface	1	21675	21675	0	0	1			True
caravan_depot_lever	2	30583	30583	RUTHERER	29,20,-1,25,-1,19	cavern	5	19428	24435	0	0	5			True
caravan_depot_lever	2	30583	30583	COUGAR	29,20,-1,-1,-1,79	surface	1	21378	21378	0	1	0			True
caravan_depot_lever	2	32160	32160	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	18728	27384	0	0	9			True
caravan_depot_lever	2	32160	32160	COUGAR	29,20,-1,-1,-1,79	surface	1	21116	21116	0	0	1			True
caravan_depot_lever	2	33784	33784	DINGO	29,20,-1,-1,-1,100	surface	4	20690	27550	0	0	4			True
caravan_depot_lever	2	33784	33784	OLM_GIANT	29,21,-1,13,-1,13	cavern	1	20857	20857	0	0	1			True
caravan_depot_lever	2	33784	33784	CROCODILE_CAVE	28,20,-1,13,-1,14	cavern	1	21584	21584	0	0	1			True
caravan_depot_lever	2	35440	35440	COUGAR	29,20,-1,-1,-1,79	surface	1	23018	23018	0	0	1			True
