arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
megabeast_lever	1	1587	1587	PORCUPINE	29,20,-1,-1,-1,90	surface	1	21406	21406	0	1	0			True
megabeast_lever	1	1587	1587	CRUNDLE	29,21,-1,13,-1,9	cavern	20	18934	28564	20	0	0	24503	30838	True
megabeast_lever	1	1587	1587	DEMON_16	30,20,-1,43,-1,3	cavern	2	21348	24213	2	0	0	22806	26074	True
megabeast_lever	1	1587	1587	BIRD_EMU	29,20,-1,-1,-1,56	surface	10	19777	27811	0	10	0			True
megabeast_lever	1	1587	1587	TROLL	29,20,-1,8,-1,27	cavern	1	20507	20507	1	0	0	21211	21211	True
megabeast_lever	1	1587	1587	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	25737	25737	1	0	0	27677	27677	True
megabeast_lever	1	3161	3161	DINGO	29,20,-1,-1,-1,100	surface	8	20029	28065	1	1	6	29264	29264	True
megabeast_lever	1	4775	4775	DINGO	29,20,-1,-1,-1,100	surface	7	19286	27967	2	0	5	27650	27650	True
megabeast_lever	1	6415	6415	DINGO	29,20,-1,-1,-1,100	surface	6	19875	28536	1	0	5	29257	29257	True
megabeast_lever	1	8009	8009	COUGAR	29,20,-1,-1,-1,79	surface	1	28652	28652	0	1	0			True
megabeast_lever	1	9662	9662	COUGAR	29,20,-1,-1,-1,79	surface	1	21127	21127	1	0	0	22763	22763	True
megabeast_lever	1	11285	11285	WOLF	29,20,-1,-1,-1,101	surface	4	19558	24747	0	0	4			True
megabeast_lever	1	12837	12837	WOLF	29,20,-1,-1,-1,101	surface	4	19891	26768	0	0	4			True
megabeast_lever	1	14442	14442	COUGAR	29,20,-1,-1,-1,79	surface	1	27398	27398	0	0	1			True
megabeast_lever	1	16166	16166	COUGAR	29,20,-1,-1,-1,79	surface	1	20662	20662	0	0	1			True
megabeast_lever	1	17760	17760	COUGAR	29,20,-1,-1,-1,79	surface	1	21435	21435	0	0	1			True
megabeast_lever	1	19451	19451	WOLF	29,20,-1,-1,-1,101	surface	3	19043	23579	0	0	3			True
megabeast_lever	1	21155	21155	WOLF	29,20,-1,-1,-1,101	surface	4	20544	26475	0	0	4			True
megabeast_lever	1	22798	22798	COUGAR	29,20,-1,-1,-1,79	surface	1	27690	27690	0	0	1			True
megabeast_lever	1	22798	22798	OLM_GIANT	29,20,-1,8,-1,9	cavern	1	26798	26798	0	0	1			True
megabeast_lever	1	24393	24393	WOLF	29,20,-1,-1,-1,101	surface	2	18796	25813	0	0	2			True
megabeast_lever	1	24393	24393	DEMON_1	28,20,-1,44,-1,3	cavern	5	19739	25569	0	0	5			True
megabeast_lever	1	26090	26090	COUGAR	29,20,-1,-1,-1,79	surface	1	27706	27706	0	0	1			True
megabeast_lever	1	27661	27661	DINGO	29,20,-1,-1,-1,100	surface	6	20236	24086	0	1	5			True
megabeast_lever	1	29264	29264	DINGO	29,20,-1,-1,-1,100	surface	8	19361	26644	0	0	8			True
megabeast_lever	1	29264	29264	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	25198	25198	0	0	1			True
megabeast_lever	1	30862	30862	WOLF	29,20,-1,-1,-1,101	surface	7	19443	26949	0	0	7			True
megabeast_lever	1	30862	30862	BLIND_CAVE_OGRE	29,20,-1,25,-1,26	cavern	1	26630	26630	0	0	1			True
megabeast_lever	1	30862	30862	ELK_BIRD	29,20,-1,25,-1,21	cavern	7	19958	26680	0	0	7			True
megabeast_lever	1	32425	32425	COUGAR	29,20,-1,-1,-1,79	surface	1	19905	19905	0	1	0			True
megabeast_lever	1	32425	32425	TROGLODYTE	29,20,-1,13,-1,19	cavern	6	20719	28300	0	0	6			True
megabeast_lever	1	34090	34090	WOLF	29,20,-1,-1,-1,101	surface	3	23025	27141	0	1	2			True
megabeast_lever	1	35672	35672	WOLF	29,20,-1,-1,-1,101	surface	6	20603	27677	0	0	6			True
megabeast_lever	2	1666	1666	PORCUPINE	29,20,-1,-1,-1,90	surface	2	20666	27436	0	2	0			True
