arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
migrants_now_lever	1	1705	1705	WOMBAT	29,20,-1,-1,-1,96	surface	2	23222	26579	0	2	0			True
migrants_now_lever	1	1705	1705	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	22433	22433	1	0	0	22884	22884	True
migrants_now_lever	1	1705	1705	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	27050	27050	1	0	0	29172	29172	True
migrants_now_lever	1	1705	1705	DEMON_4	28,20,-1,44,-1,2	cavern	3	18884	25880	3	0	0	19652	27612	True
migrants_now_lever	1	1705	1705	TROLL	29,20,-1,8,-1,27	cavern	1	26511	26511	1	0	0	30717	30717	True
migrants_now_lever	1	1705	1705	TROGLODYTE	29,20,-1,13,-1,19	cavern	10	20728	26833	10	0	0	29172	30717	True
migrants_now_lever	1	1705	1705	DEMON_1	28,20,-1,44,-1,3	cavern	3	24307	27253	3	0	0	26053	32282	True
migrants_now_lever	1	3417	3417	WOLF	29,20,-1,-1,-1,101	surface	4	20374	26344	4	0	0	25900	29005	True
migrants_now_lever	1	5082	5082	WOLF	29,20,-1,-1,-1,101	surface	5	20431	28330	5	0	0	28905	30553	True
migrants_now_lever	1	6718	6718	DINGO	29,20,-1,-1,-1,100	surface	7	20273	28722	0	2	5			True
migrants_now_lever	1	8393	8393	WOLF	29,20,-1,-1,-1,101	surface	4	25375	27937	0	0	4			True
migrants_now_lever	1	10022	10022	WOLF	29,20,-1,-1,-1,101	surface	7	19007	27631	4	0	3	22400	22400	True
migrants_now_lever	1	11671	11671	WOLF	29,20,-1,-1,-1,101	surface	6	19264	28055	0	0	6			True
migrants_now_lever	1	13325	13325	DINGO	29,20,-1,-1,-1,100	surface	11	19780	27860	0	0	11			True
migrants_now_lever	1	14936	14936	WOLF	29,20,-1,-1,-1,101	surface	5	23961	28033	0	2	3			True
migrants_now_lever	1	16583	16583	DINGO	29,20,-1,-1,-1,100	surface	3	19092	25546	0	1	2			True
migrants_now_lever	1	18215	18215	COUGAR	29,20,-1,-1,-1,79	surface	1	19422	19422	0	0	1			True
migrants_now_lever	1	19779	19779	DINGO	29,20,-1,-1,-1,100	surface	7	19584	27383	0	0	7			True
migrants_now_lever	1	21357	21357	COUGAR	29,20,-1,-1,-1,79	surface	1	19326	19326	0	0	1			True
migrants_now_lever	1	23016	23016	COUGAR	29,20,-1,-1,-1,79	surface	1	24050	24050	0	0	1			True
migrants_now_lever	1	24589	24589	COUGAR	29,20,-1,-1,-1,79	surface	1	22263	22263	0	1	0			True
