run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	5	2	75456	The great horned owl attacks the kangaroo doe but She jumps away!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	6	2	75480	The great horned owl snatches at the kangaroo doe in the left lower leg with her first toe, left foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	7	2	75484	The great horned owl misses the kangaroo doe!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	8	2	75720	The great horned owl bites the kangaroo doe in the nose, tearing the cartilage!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	9	2	75720	The great horned owl latches on firmly!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	10	2	75721	The kangaroo doe breaks the grip of The great horned owl's beak from The kangaroo doe's nose!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	11	2	76018	The great horned owl snatches at the kangaroo doe in the left hand with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	12	2	76031	The great horned owl snatches at the kangaroo doe in the lower body with her first toe, left foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	13	2	76100	The great horned owl snatches at the kangaroo doe in the left eye with her first toe, left foot, tearing it!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	14	2	76100	The force pulls the head!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	15	2	76818	The great horned owl snatches at the kangaroo doe in the left foot with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	76879	883279	185	BIRD_OWL_GREAT_HORNED	16	2	76818	The force pulls the left lower leg!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	5	2	75456	The great horned owl attacks the kangaroo doe but She jumps away!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	6	2	75480	The great horned owl snatches at the kangaroo doe in the left lower leg with her first toe, left foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	7	2	75484	The great horned owl misses the kangaroo doe!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	8	2	75720	The great horned owl bites the kangaroo doe in the nose, tearing the cartilage!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	9	2	75720	The great horned owl latches on firmly!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	10	2	75721	The kangaroo doe breaks the grip of The great horned owl's beak from The kangaroo doe's nose!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	11	2	76018	The great horned owl snatches at the kangaroo doe in the left hand with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	12	2	76031	The great horned owl snatches at the kangaroo doe in the lower body with her first toe, left foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	13	2	76100	The great horned owl snatches at the kangaroo doe in the left eye with her first toe, left foot, tearing it!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	14	2	76100	The force pulls the head!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	15	2	76818	The great horned owl snatches at the kangaroo doe in the left foot with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	76879	883279	186	KANGAROO	16	2	76818	The force pulls the left lower leg!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	17	2	78056	The great horned owl bites the kangaroo doe in the right lower arm, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	18	2	79221	The great horned owl snatches at the kangaroo doe in the upper body with her first toe, right foot, tearing the skin and bruising the muscle and bruising the right lung!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	19	2	79256	The great horned owl bites the kangaroo doe in the right upper arm, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	20	2	79257	The kangaroo doe breaks the grip of the great horned owl's beak on The kangaroo doe's right upper arm.
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	21	2	79346	The great horned owl bites the kangaroo doe in the right foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	22	2	79379	The great horned owl snatches at the kangaroo doe in the head with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	23	2	79379	The force pulls the neck!
20260918-210056	cavern_irritated	2	80014	886414	185	BIRD_OWL_GREAT_HORNED	24	2	79601	The great horned owl bites the kangaroo doe in the left hand, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	17	2	78056	The great horned owl bites the kangaroo doe in the right lower arm, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	18	2	79221	The great horned owl snatches at the kangaroo doe in the upper body with her first toe, right foot, tearing the skin and bruising the muscle and bruising the right lung!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	19	2	79256	The great horned owl bites the kangaroo doe in the right upper arm, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	20	2	79257	The kangaroo doe breaks the grip of the great horned owl's beak on The kangaroo doe's right upper arm.
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	21	2	79346	The great horned owl bites the kangaroo doe in the right foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	22	2	79379	The great horned owl snatches at the kangaroo doe in the head with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	23	2	79379	The force pulls the neck!
20260918-210056	cavern_irritated	2	80014	886414	186	KANGAROO	24	2	79601	The great horned owl bites the kangaroo doe in the left hand, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	25	2	80313	The great horned owl snatches at the kangaroo doe in the left hand with her first toe, right foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	26	2	80643	The great horned owl snatches at the kangaroo doe in the right foot with her first toe, left foot, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	27	2	80665	The great horned owl bites the kangaroo doe in the head, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	28	2	80665	The kangaroo doe has been stunned!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	29	2	80689	The great horned owl snatches at the kangaroo doe in the left upper arm with her first toe, right foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	30	2	80733	The great horned owl snatches at the kangaroo doe in the right lower leg with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	31	2	80740	The great horned owl bites the kangaroo doe in the lower body, denting the skin and bruising the fat!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	32	2	80741	The kangaroo doe breaks the grip of the great horned owl's beak on The kangaroo doe's lower body.
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	34	2	80762	The great horned owl bites the kangaroo doe in the left hand, denting the skin!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	36	2	80763	The kangaroo doe misses the great horned owl!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	37	2	80771	The kangaroo doe attacks the great horned owl but She jumps away!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	38	2	80794	The great horned owl snatches at the kangaroo doe in the left foot with her first toe, right foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	39	2	80794	The force twists the left lower leg!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	41	2	80816	The great horned owl snatches at the kangaroo doe in the upper body with her first toe, left foot, tearing the skin and bruising the muscle and bruising the left lung!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	42	2	80842	The great horned owl snatches at the kangaroo doe in the upper body with her first toe, right foot, tearing the skin and bruising the muscle and bruising the left lung!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	43	2	80842	The kangaroo doe is having trouble breathing!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	44	2	80849	The great horned owl snatches at the kangaroo doe in the right upper leg with her first toe, right foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	45	2	80856	The great horned owl snatches at the kangaroo doe in the right upper leg with her first toe, left foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	46	2	80861	The great horned owl snatches at the kangaroo doe in the left upper arm with her first toe, left foot, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	47	2	80867	The great horned owl bites the kangaroo doe in the left upper arm, denting the skin and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	48	2	80873	The kangaroo doe breaks the grip of The great horned owl's beak on the kangaroo doe's left upper arm.
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	49	2	80875	The great horned owl snatches at the kangaroo doe in the left hand with her first toe, left foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	50	2	80875	The force pulls the left lower arm!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	51	2	80885	The great horned owl snatches at the kangaroo doe in the head with her first toe, left foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	52	2	80885	The kangaroo doe has been knocked unconscious!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	53	2	80885	The force bends the neck!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	54	2	80898	The great horned owl shakes the kangaroo doe around by the head, bruising the head's skin!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	55	2	80921	The great horned owl collapses and falls to the ground from over-exertion.
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	56	2	80934	The great horned owl snatches at the kangaroo doe in the head with her first toe, right foot, tearing the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	57	2	80968	The great horned owl snatches at the kangaroo doe in the head with her first toe, right foot, denting the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	58	2	80968	The force twists the neck!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	59	2	80976	The great horned owl snatches at the kangaroo doe in the head with her first toe, left foot, denting the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	60	2	81012	The great horned owl bites the kangaroo doe in the head, denting the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	62	2	81209	The great horned owl snatches at the kangaroo doe in the head with her first toe, right foot, tearing apart the fat and bruising the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	63	2	81217	The great horned owl snatches at the kangaroo doe in the head with her first toe, right foot, tearing the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	64	2	81222	The great horned owl bites the kangaroo doe in the head, denting the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	65	2	81242	The great horned owl snatches at the kangaroo doe in the head with her first toe, left foot, tearing the muscle!
20260918-210056	cavern_irritated	2	83201	889601	185	BIRD_OWL_GREAT_HORNED	68	2	81249	The great horned owl snatches at the kangaroo doe in the head with her first toe, right foot, denting the skin and bruising the muscle!
