arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
cavern_irritated	1	3101	3101	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	10	18757	25448	10	0	0	24814	27929	True
cavern_irritated	1	3101	3101	GORLAK	30,20,-1,8,-1,28	cavern	1	26279	26279	1	0	0	31211	31211	True
cavern_irritated	1	3101	3101	TROGLODYTE	29,20,-1,13,-1,19	cavern	7	17684	26900	7	0	0	18598	31211	True
cavern_irritated	1	3101	3101	DEMON_15	28,20,-1,44,-1,6	deep	2	20204	23993	2	0	0	24814	24814	True
cavern_irritated	1	3101	3101	TROGLODYTE	29,20,-1,8,-1,19	cavern	5	17191	23721	5	0	0	18598	31211	True
cavern_irritated	1	3101	3101	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	7	18798	27351	7	0	0	27929	31211	True
cavern_irritated	1	27915	27915	DEMON_4	28,20,-1,44,-1,2	deep	3	20121	27374	3	0	0	25473	28561	True
cavern_irritated	1	31030	31030	PORCUPINE	29,20,-1,-1,-1,90	surface	1	27780	27780	1	0	0	31827	31827	True
cavern_irritated	1	31030	31030	GORLAK	29,20,-1,25,-1,32	cavern	1	23898	23898	1	0	0	28662	28662	True
cavern_irritated	1	31030	31030	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	29117	29117	1	0	0	31827	31827	True
cavern_irritated	1	34312	34312	CRUNDLE	29,20,-1,25,-1,12	cavern	19	17007	27962	19	0	0	19076	38025	True
cavern_irritated	1	34312	34312	TOAD_GIANT_CAVE	29,20,-1,13,-1,10	cavern	1	19735	19735	1	0	0	28545	28545	True
cavern_irritated	1	34312	34312	MANERA	29,20,-1,13,-1,31	cavern	1	23572	23572	1	0	0	28545	28545	True
cavern_irritated	1	34312	34312	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	20345	20345	1	0	0	22164	22164	True
cavern_irritated	1	34312	34312	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	23789	23789	1	0	0	25380	25380	True
cavern_irritated	1	40712	40712	KANGAROO	29,20,-1,-1,-1,88	surface	3	19557	27242	3	0	0	31625	31625	True
cavern_irritated	1	56476	56476	DEMON_2	28,20,-1,44,-1,1	deep	1	19290	19290	1	0	0	22279	22279	True
cavern_irritated	1	56476	56476	DEMON_13	29,20,-1,43,-1,4	deep	5	20419	27115	5	0	0	22279	28626	True
cavern_irritated	1	56476	56476	GIANT_EARTHWORM	29,20,-1,8,-1,24	cavern	1	28297	28297	1	0	0	34999	34999	True
cavern_irritated	1	59692	59692	GIANT_EARTHWORM	29,20,-1,8,-1,24	cavern	1	22454	22454	1	0	0	31783	31783	True
cavern_irritated	1	62857	62857	BLIND_CAVE_OGRE	29,20,-1,13,-1,29	cavern	1	23489	23489	1	0	0	25472	25472	True
cavern_irritated	1	62857	62857	REACHER	29,20,-1,13,-1,30	cavern	1	28731	28731	1	0	0	31708	31708	True
cavern_irritated	1	69153	69153	RUTHERER	29,20,-1,25,-1,19	cavern	5	20758	28490	5	0	0	25412	34929	True
cavern_irritated	1	72337	72337	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	8	17962	24780	8	0	0	22228	31745	True
cavern_irritated	1	85102	85102	DEMON_16	29,20,-1,43,-1,3	deep	5	21002	28099	5	0	0	25230	31474	True
cavern_irritated	1	88329	88329	REACHER	29,20,-1,13,-1,30	cavern	1	22717	22717	1	0	0	25125	25125	True
cavern_irritated	1	91475	91475	TROGLODYTE	29,20,-1,8,-1,19	cavern	5	21882	26732	5	0	0	25101	28371	True
cavern_irritated	1	94565	94565	TROGLODYTE	29,20,-1,13,-1,19	cavern	10	19282	27692	10	0	0	22011	31823	True
cavern_irritated	1	97766	97766	FLESH_BALL	29,20,-1,25,-1,14	cavern	2	19098	26240	0	0	2			True
cavern_irritated	1	100846	100846	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	5	18890	22369	5	0	0	25542	31911	True
cavern_irritated	1	104082	104082	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	22198	22198	1	0	0	25452	25452	True
cavern_irritated	1	116576	116576	DEMON_4	29,20,-1,43,-1,6	deep	1	27005	27005	1	0	0	28920	28920	True
cavern_irritated	1	116576	116576	DEMON_16	30,20,-1,43,-1,3	deep	2	23908	26645	2	0	0	25818	32081	True
cavern_irritated	1	119846	119846	TROLL	29,20,-1,8,-1,27	cavern	1	23587	23587	1	0	0	25650	25650	True
cavern_irritated	1	119846	119846	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	24233	24233	1	0	0	28811	28811	True
cavern_irritated	1	126388	126388	ELK_BIRD	29,20,-1,13,-1,25	cavern	9	18266	27987	9	0	0	19108	28731	True
cavern_irritated	1	126388	126388	GROUNDHOG	29,20,-1,-1,-1,80	surface	4	25178	28309	4	0	0	28731	31812	True
cavern_irritated	1	142394	142394	GROUNDHOG	29,20,-1,-1,-1,80	surface	2	19668	25949	2	0	0	22006	31450	True
cavern_irritated	1	145496	145496	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	19268	19268	1	0	0	22049	22049	True
cavern_irritated	1	145496	145496	DEMON_10	29,20,-1,43,-1,5	deep	3	18883	28865	3	0	0	25156	31472	True
cavern_irritated	1	148657	148657	TROLL	29,20,-1,8,-1,27	cavern	1	22349	22349	1	0	0	25187	25187	True
cavern_irritated	1	155119	155119	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	28072	28072	1	0	0	31280	31280	True
cavern_irritated	1	155119	155119	TROGLODYTE	29,20,-1,13,-1,19	cavern	7	20077	28297	7	0	0	24997	31280	True
cavern_irritated	1	158200	158200	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	9	19376	26819	9	0	0	21916	40787	True
cavern_irritated	1	164400	164400	MAGMA_CRAB	29,20,-1,34,-1,0	deep	5	18250	26306	5	0	0	31370	34587	True
cavern_irritated	1	167545	167545	TROLL	29,21,-1,8,-1,27	cavern	1	19125	19125	1	0	0	21930	21930	True
cavern_irritated	1	167545	167545	KANGAROO	29,20,-1,-1,-1,88	surface	3	22471	23249	3	0	0	28225	34621	True
