run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-215125	forced_army	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	deep	27544	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	26285	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	deep	25307	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	24994	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	deep	21557	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	126	ELK_BIRD	MALE	28	99	25	29,20,-1,25,-1,21	cavern	23765	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	127	ELK_BIRD	FEMALE	25	97	25	29,20,-1,25,-1,21	cavern	21514	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	128	ELK_BIRD	MALE	0	71	26	29,20,-1,25,-1,21	cavern	19655	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	129	ELK_BIRD	MALE	6	61	25	29,20,-1,25,-1,21	cavern	20310	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	130	ELK_BIRD	MALE	15	55	25	29,20,-1,25,-1,21	cavern	25164	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	131	ELK_BIRD	FEMALE	15	54	25	29,20,-1,25,-1,21	cavern	21189	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	132	ELK_BIRD	FEMALE	21	48	24	29,20,-1,25,-1,21	cavern	23010	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	133	ELK_BIRD	FEMALE	22	48	24	29,20,-1,25,-1,21	cavern	23393	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	134	MAGMA_CRAB	FEMALE	35	127	20	29,20,-1,34,-1,0	deep	24402	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	135	MAGMA_CRAB	MALE	30	132	20	29,20,-1,34,-1,0	deep	23143	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	136	MAGMA_CRAB	FEMALE	25	142	19	29,20,-1,34,-1,0	deep	22165	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	137	MAGMA_CRAB	MALE	21	146	19	29,20,-1,34,-1,0	deep	21852	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	138	MAGMA_CRAB	MALE	20	146	20	29,20,-1,34,-1,0	deep	18415	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	139	BIRD_KESTREL	MALE	143	170	114	28,19,-1,-1,-1,60	surface	19134	0	1	1	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	140	CROCODILE_CAVE	FEMALE	64	175	40	29,21,-1,8,-1,10	cavern	21074	0	1	0	0	0	-1	0	1	-1
20260918-215125	forced_army	1	19942	826342	141	CRUNDLE	MALE	101	60	31	29,20,-1,13,-1,9	cavern	17035	0	1	0	0	0	-1	0	1	-1
