arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
control	1	3086	3086	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	21374	21374	1	0	0	24642	24642	True
control	1	3086	3086	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	23296	23296	1	0	0	24642	24642	True
control	1	3086	3086	JABBERER	29,20,-1,13,-1,21	cavern	1	17006	17006	1	0	0	21564	21564	True
control	1	3086	3086	DEMON_3	28,20,-1,44,-1,5	deep	5	17222	23067	5	0	0	18440	27831	True
control	1	3086	3086	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	10	18722	26696	10	0	0	27831	31044	True
control	1	3086	3086	GIANT_EARTHWORM	29,20,-1,8,-1,24	cavern	1	24257	24257	1	0	0	27831	27831	True
control	1	3086	3086	CRUNDLE	29,20,-1,13,-1,9	cavern	17	18344	27597	16	1	0	24642	31044	True
control	1	3086	3086	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	8	19680	26857	8	0	0	24642	34178	True
control	1	27728	27728	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	22646	28726	8	0	0	25435	37712	True
control	1	27728	27728	DEMON_19	28,20,-1,44,-1,0	deep	3	20051	27089	3	0	0	25435	28494	True
control	1	34130	34130	ELK_BIRD	29,20,-1,25,-1,21	cavern	9	17107	27180	9	0	0	19033	28266	True
control	1	34130	34130	PLUMP_HELMET_MAN	29,21,-1,13,-1,11	cavern	4	19185	23392	4	0	0	22092	25208	True
control	1	34130	34130	GROUNDHOG	29,20,-1,-1,-1,80	surface	2	24192	24990	2	0	0	25208	28266	True
control	1	53163	56222	GROUNDHOG	29,20,-1,-1,-1,80	surface	4	18225	23840	4	0	0	30998	30998	True
control	1	56222	56222	DEMON_12	28,20,-1,44,-1,4	deep	5	21649	26604	5	0	0	24826	27939	True
control	1	59338	59338	CAVE_FLOATER	29,20,-1,13,-1,22	cavern	3	20521	27167	1	0	2	34259	34259	True
control	1	59338	62396	CRUNDLE	29,20,-1,25,-1,12	cavern	19	17487	27245	19	0	0	21710	34259	True
control	1	65440	65440	GORLAK	29,20,-1,8,-1,28	cavern	1	22650	22650	1	0	0	24960	24960	True
control	1	65440	65440	PORCUPINE	29,20,-1,-1,-1,90	surface	1	18103	18103	1	0	0	21891	21891	True
control	1	65440	65440	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	23846	23846	1	0	0	24960	24960	True
control	1	65440	65440	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	22550	22550	1	0	0	28157	28157	True
control	1	84161	84161	DEMON_16	29,20,-1,43,-1,3	deep	2	19861	23393	0	0	2			True
control	1	87331	87331	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	20982	20982	0	0	1			True
control	1	87331	87331	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	7	19688	28766	0	0	7			True
control	1	90400	90400	GIANT_EARTHWORM	29,21,-1,8,-1,24	cavern	1	26631	26631	0	0	1			True
control	1	90400	90400	PLUMP_HELMET_MAN	29,20,-1,25,-1,13	cavern	3	19623	25455	0	0	3			True
control	1	93597	93597	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	25020	25020	0	0	1			True
control	2	3064	3064	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	24134	24134	1	0	0	25044	25044	True
control	2	3064	3064	TROGLODYTE	29,21,-1,8,-1,19	cavern	9	17836	26280	9	0	0	31441	37719	True
control	2	3064	3064	TROGLODYTE	29,20,-1,13,-1,19	cavern	10	17347	25344	10	0	0	18887	31441	True
control	2	3064	3064	DEMON_3	28,20,-1,44,-1,5	deep	2	18435	20574	2	0	0	21968	25044	True
control	2	3064	3064	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	26274	26274	1	0	0	28213	28213	True
control	2	3064	3064	DEMON_12	28,20,-1,44,-1,4	deep	3	22323	26380	3	0	0	28213	28213	True
control	2	3064	3064	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	5	18030	25110	5	0	0	25044	28213	True
control	2	31277	31277	DEMON_4	30,20,-1,43,-1,6	deep	1	22003	22003	1	0	0	24928	24928	True
control	2	31277	31277	GROUNDHOG	29,20,-1,-1,-1,80	surface	1	25445	25445	1	0	0	28050	28050	True
control	2	31277	31277	CAVE_BLOB	29,20,-1,25,-1,15	cavern	3	19352	28625	0	0	3			True
control	2	31277	31277	DEMON_19	28,20,-1,44,-1,0	deep	4	21347	27934	4	0	0	24928	34254	True
control	2	31277	31277	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	19385	19385	1	0	0	21829	21829	True
control	2	34505	34505	TROGLODYTE	29,20,-1,13,-1,19	cavern	5	21034	24234	5	0	0	21700	27894	True
