run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260922-014731	invaded	1	161029	967429	327	KANGAROO	13	2	158906	The kangaroo buck's right hand takes the full force of the impact, bruising the muscle!
20260922-014731	invaded	1	161029	967429	327	KANGAROO	14	2	158907	The kangaroo buck stands up.
20260922-014731	invaded	1	161029	967429	327	KANGAROO	15	2	158979	The kangaroo buck is no longer stunned.
20260922-014731	invaded	2	44497	850897	142	DINGO	3	2	42429	The dingo bites the stray dog in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260922-014731	invaded	2	44497	850897	142	DINGO	4	2	42429	The stray dog looks sick!
20260922-014731	invaded	2	44497	850897	142	DINGO	5	2	42431	The stray dog attacks the dingo but He jumps away!
20260922-014731	invaded	2	44497	850897	142	DINGO	6	2	42432	The dingo bites the stray dog in the left front leg, tearing the fat and bruising the muscle!
20260922-014731	invaded	2	44497	850897	142	DINGO	7	2	42439	The dingo attacks the stray dog but She jumps away!
20260922-014731	invaded	2	44497	850897	142	DINGO	8	2	42449	The dingo bites the stray dog in the upper body, tearing the fat and bruising the muscle and bruising the left lung!
20260922-014731	invaded	2	44497	850897	142	DINGO	9	2	42449	The dingo latches on firmly!
20260922-014731	invaded	2	44497	850897	142	DINGO	10	2	42451	The stray dog breaks the grip of the dingo's teeth on The stray dog's upper body.
20260922-014731	invaded	2	44497	850897	142	DINGO	12	2	42457	The dingo bites the stray dog in the upper body, tearing the fat and bruising the muscle!
20260922-014731	invaded	2	44497	850897	142	DINGO	13	2	42457	The dingo charges at the stray dog!
20260922-014731	invaded	2	44497	850897	142	DINGO	14	2	42457	The dingo collides with the stray dog!
20260922-014731	invaded	2	44497	850897	142	DINGO	15	2	42457	They tangle together and fall over!
20260922-014731	invaded	2	44497	850897	142	DINGO	16	2	42459	The dingo stands up.
20260922-014731	invaded	2	44497	850897	142	DINGO	17	2	42462	The dingo bites the stray dog in the lower body, tearing the fat and bruising the muscle and bruising the right kidney!
20260922-014731	invaded	2	44497	850897	142	DINGO	18	2	42464	The stray dog misses the dingo!
20260922-014731	invaded	2	44497	850897	142	DINGO	19	2	42467	The stray dog breaks the grip of The dingo's teeth on the stray dog's lower body.
20260922-014731	invaded	2	44497	850897	142	DINGO	20	2	42469	The dingo bites the stray dog in the right rear leg, tearing the fat and bruising the muscle!
20260922-014731	invaded	2	44497	850897	142	DINGO	21	2	42476	The stray dog breaks the grip of The dingo's teeth on the stray dog's right rear leg.
20260922-014731	invaded	2	44497	850897	142	DINGO	22	2	42486	The dingo shakes the stray dog around by the lower body, tearing apart the lower body's skin and bruising the fat and tearing apart the lower spine's nervous tissue!
20260922-014731	invaded	2	44497	850897	142	DINGO	23	2	42486	A tendon in the lower spine has been torn!
20260922-014731	invaded	2	44497	850897	142	DINGO	25	2	42490	The dingo bites the stray dog in the left front paw, tearing the fat!
20260922-014731	invaded	2	44497	850897	142	DINGO	26	2	42494	The dingo attacks the stray dog but She rolls away!
20260922-014731	invaded	2	44497	850897	142	DINGO	27	2	42498	The dingo attacks the stray dog but She scrambles away!
20260922-014731	invaded	2	44497	850897	142	DINGO	28	2	42507	The dingo misses the stray dog!
20260922-014731	invaded	2	44497	850897	142	DINGO	29	2	42528	The dingo scratches the stray dog in the head, tearing the fat and bruising the muscle!
20260922-014731	invaded	2	44497	850897	142	DINGO	30	2	42528	The force bends the neck, bruising the skin!
20260922-014731	invaded	2	44497	850897	142	DINGO	31	2	42535	The dingo scratches the stray dog in the second left front toe, shattering the nail!
20260922-014731	invaded	2	44497	850897	142	DINGO	32	2	42535	The force pulls the left front paw, bruising the skin!
20260922-014731	invaded	2	81436	887836	183	BIRD_OWL_GREAT_HORNED	36	2	79063	The great horned owl misses the kestrel!
20260922-014731	invaded	2	81436	887836	201	BIRD_KESTREL	36	2	79063	The great horned owl misses the kestrel!
20260922-014731	control	2	139138	945538	280	BIRD_OWL_GREAT_HORNED	11	2	138523	The great horned owl attacks the fisherdwarf but She jumps away!
20260922-014731	control	2	139138	945538	280	BIRD_OWL_GREAT_HORNED	13	2	138533	The great horned owl snatches at the fisherdwarf in the left upper leg with his first toe, left foot, bruising the fat through the (wild boar leather dress)!
20260922-014731	control	2	139138	945538	280	BIRD_OWL_GREAT_HORNED	14	2	138556	The great horned owl snatches at the fisherdwarf in the thumb, right hand with his first toe, left foot, but the attack glances away!
20260922-014731	control	2	139138	945538	280	BIRD_OWL_GREAT_HORNED	15	2	138556	The force twists the right hand!
20260922-014731	control	2	139138	945538	280	BIRD_OWL_GREAT_HORNED	16	2	138572	The great horned owl snatches at the fisherdwarf in the left upper arm with his first toe, left foot, bruising the fat through the (wild boar leather dress)!
20260922-014731	control	2	142192	948592	280	BIRD_OWL_GREAT_HORNED	17	2	141406	The great horned owl misses the fisherdwarf!
