arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
control	1	2	3126	SKUNK	29,20,-1,-1,-1,92	surface	1	24168	24168	1	0	0	30621	30621	True
control	1	2	3126	ELK_BIRD	29,20,-1,13,-1,25	cavern	9	18295	26931	9	0	0	30621	36709	True
control	1	2	3126	REACHER	29,20,-1,25,-1,28	cavern	1	21779	21779	0	1	0			True
control	1	2	3126	DEMON_16	29,20,-1,43,-1,3	deep	4	19711	25114	4	0	0	30621	33683	True
control	1	3126	3126	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	18677	18677	1	0	0	21411	21411	True
control	1	3126	3126	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	19799	19799	1	0	0	33585	33585	True
control	1	3126	3126	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	18330	26686	7	1	0	24455	30559	True
control	1	3126	3126	VORACIOUS_CAVE_CRAWLER	29,20,-1,25,-1,17	cavern	1	18324	18324	1	0	0	18404	18404	True
control	1	3126	3126	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	20513	20513	1	0	0	24455	24455	True
control	1	21530	24537	ELK_BIRD	29,20,-1,25,-1,21	cavern	8	17848	24516	8	0	0	27536	30564	True
control	1	24537	24537	GROUNDHOG	29,20,-1,-1,-1,80	surface	2	21650	24656	2	0	0	27557	33729	True
control	1	27581	27581	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	5	21867	26567	5	0	0	27619	30685	True
control	1	30623	30623	OLM_GIANT	29,21,-1,13,-1,13	cavern	1	25715	25715	1	0	0	33783	33783	True
control	1	33685	33685	BIRD_SWALLOW_CAVE_GIANT	29,20,-1,8,-1,18	cavern	1	20338	20338	1	0	0	21515	21515	True
control	1	33685	33685	DEMON_9	29,20,-1,43,-1,2	deep	2	22613	25336	2	0	0	24581	27693	True
control	1	36711	36711	REACHER	29,20,-1,13,-1,30	cavern	1	28295	28295	1	0	0	30769	30769	True
control	1	36711	36711	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	18665	27952	9	0	0	27695	30769	True
control	1	42874	42874	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	22205	22205	1	0	0	24606	24606	True
control	1	42874	42874	PORCUPINE	29,20,-1,-1,-1,90	surface	1	24193	24193	1	0	0	27658	27658	True
control	1	52094	52094	JABBERER	29,20,-1,25,-1,18	cavern	1	23693	23693	1	0	0	24510	24510	True
control	1	52094	52094	REACHER	29,20,-1,25,-1,28	cavern	1	26845	26845	1	0	0	30706	30706	True
control	1	58266	58266	DEMON_18	29,20,-1,43,-1,1	deep	1	22150	22150	1	0	0	24534	24534	True
control	1	61378	61378	DEMON_3	29,20,-1,43,-1,0	deep	5	21253	24522	5	0	0	21422	30565	True
control	1	64406	64406	REACHER	29,20,-1,13,-1,30	cavern	1	19759	19759	1	0	0	21410	21410	True
control	1	67480	67480	BIRD_OWL_GREAT_HORNED	29,20,-1,-1,-1,61	surface	1	25939	25939	1	0	0	27488	27488	True
control	1	67480	67480	TROGLODYTE	30,20,-1,8,-1,19	cavern	10	18214	28312	10	0	0	24463	36859	True
control	1	67480	67480	KANGAROO	29,20,-1,-1,-1,88	surface	2	18595	21180	2	0	0	24463	24463	True
control	1	67480	67480	POND_GRABBER	29,21,-1,13,-1,12	cavern	4	21169	27570	4	0	0	24463	36859	True
control	1	76604	76604	JABBERER	29,20,-1,25,-1,18	cavern	1	27696	27696	1	0	0	27735	27735	True
control	1	85816	85816	BLIND_CAVE_OGRE	29,20,-1,25,-1,26	cavern	1	17435	17435	1	0	0	18523	18523	True
control	1	88902	88902	DEMON_4	29,20,-1,43,-1,6	deep	5	21414	28064	5	0	0	24690	30802	True
control	1	91943	91943	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	6	17304	24592	6	0	0	21649	27761	True
control	1	94968	94968	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	22696	22696	1	0	0	24736	24736	True
control	1	94968	94968	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	23123	23123	1	0	0	24736	24736	True
control	1	98051	98051	TOAD_GIANT_CAVE	28,20,-1,13,-1,10	cavern	1	26590	26590	1	0	0	33979	33979	True
control	1	104339	104339	OLM_GIANT	29,20,-1,8,-1,9	cavern	1	23861	23861	1	0	0	30772	30772	True
control	1	104339	104339	CRUNDLE	29,20,-1,13,-1,9	cavern	19	19141	29173	19	0	0	21544	30772	True
control	1	104339	104339	GORLAK	29,20,-1,8,-1,28	cavern	1	24628	24628	1	0	0	36938	36938	True
control	1	104339	104339	TROLL	29,20,-1,25,-1,27	cavern	1	25863	25863	1	0	0	33879	33879	True
control	1	104339	107506	PLUMP_HELMET_MAN	29,20,-1,25,-1,13	cavern	3	19445	25424	3	0	0	30772	30772	True
control	1	116620	116620	DEMON_3	29,20,-1,43,-1,0	deep	2	26249	27558	2	0	0	27716	30776	True
control	1	119704	119704	SKUNK	29,20,-1,-1,-1,92	surface	1	20102	20102	1	0	0	24632	24632	True
control	1	119704	119704	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	4	21163	27267	3	0	1	24632	27692	True
control	1	125883	125883	MAGMA_CRAB	29,20,-1,34,-1,0	deep	2	24583	27008	1	1	0	64273	64273	True
control	1	135111	135111	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	24642	24642	1	0	0	30581	30581	True
control	1	135111	135111	TROGLODYTE	29,20,-1,8,-1,19	cavern	5	20225	27818	3	0	2	30581	30581	True
control	1	135111	135111	GORLAK	29,20,-1,13,-1,33	cavern	1	24041	24041	1	0	0	27533	27533	True
control	1	135111	135111	ELK_BIRD	29,20,-1,25,-1,21	cavern	8	18872	28460	8	0	0	21457	30581	True
