run	arm	rep	tick	abs_tick	subject	metric	value
20260917-235439	edge	1	16800	823200	clock	year	2
20260917-235439	edge	1	16800	823200	clock	tick	16800
20260917-235439	edge	1	16800	823200	clock	season	0
20260917-235439	edge	1	16800	823200	clock	paused	1
20260917-235439	edge	1	16800	823200	clock	fps_cap	1000.0
20260917-235439	edge	1	16800	823200	clock	fps_achieved	63
20260917-235439	edge	1	16800	823200	clock	gfps_cap	10.0
20260917-235439	edge	1	16800	823200	clock	units_active	31
20260917-235439	edge	1	16800	823200	clock	popups	0
20260917-235439	edge	1	16800	823200	clock	map	1
20260917-235439	edge	1	16802	823202	clock	fps_achieved	268
20260917-235439	edge	1	16802	823202	clock	units_active	31
20260917-235439	edge	1	16802	823202	clock	popups	0
20260917-235439	edge	1	16802	823202	clock	paused	1
20260917-235439	edge	1	16802	823202	clock	ticks_per_wall_s	0.1
20260917-235439	edge	1	16802	823202	126	countdown	26905
20260917-235439	edge	1	16802	823202	126	flag_src	1
20260917-235439	edge	1	16802	823202	127	countdown	24654
20260917-235439	edge	1	16802	823202	127	flag_src	1
20260917-235439	edge	1	16802	823202	128	countdown	22795
20260917-235439	edge	1	16802	823202	128	flag_src	1
20260917-235439	edge	1	16802	823202	129	countdown	23450
20260917-235439	edge	1	16802	823202	129	flag_src	1
20260917-235439	edge	1	16802	823202	130	countdown	28304
20260917-235439	edge	1	16802	823202	130	flag_src	1
20260917-235439	edge	1	16802	823202	131	countdown	24329
20260917-235439	edge	1	16802	823202	131	flag_src	1
20260917-235439	edge	1	16802	823202	132	countdown	26150
20260917-235439	edge	1	16802	823202	132	flag_src	1
20260917-235439	edge	1	16802	823202	133	countdown	26533
20260917-235439	edge	1	16802	823202	133	flag_src	1
20260917-235439	edge	1	16802	823202	134	countdown	27542
20260917-235439	edge	1	16802	823202	134	flag_src	1
20260917-235439	edge	1	16802	823202	135	countdown	26283
20260917-235439	edge	1	16802	823202	135	flag_src	1
20260917-235439	edge	1	16802	823202	136	countdown	25305
20260917-235439	edge	1	16802	823202	136	flag_src	1
20260917-235439	edge	1	16802	823202	137	countdown	24992
20260917-235439	edge	1	16802	823202	137	flag_src	1
20260917-235439	edge	1	16802	823202	138	countdown	21555
20260917-235439	edge	1	16802	823202	138	flag_src	1
20260917-235439	edge	1	17821	824221	clock	fps_achieved	181
20260917-235439	edge	1	17821	824221	clock	units_active	54
20260917-235439	edge	1	17821	824221	clock	popups	0
20260917-235439	edge	1	17821	824221	clock	paused	1
20260917-235439	edge	1	17821	824221	clock	ticks_per_wall_s	109.0
20260917-235439	edge	1	17821	824221	139	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	139	arrival_countdown	21433
20260917-235439	edge	1	17821	824221	140	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	140	arrival_countdown	20603
20260917-235439	edge	1	17821	824221	141	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	141	arrival_countdown	20842
20260917-235439	edge	1	17821	824221	142	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	142	arrival_countdown	22930
20260917-235439	edge	1	17821	824221	143	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	143	arrival_countdown	20813
20260917-235439	edge	1	17821	824221	144	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	144	arrival_countdown	28640
20260917-235439	edge	1	17821	824221	145	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	145	arrival_countdown	23382
20260917-235439	edge	1	17821	824221	146	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	146	arrival_countdown	19889
20260917-235439	edge	1	17821	824221	147	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	147	arrival_countdown	20865
20260917-235439	edge	1	17821	824221	148	arrival_species	BIRD_RAVEN
20260917-235439	edge	1	17821	824221	148	arrival_countdown	23299
20260917-235439	edge	1	17821	824221	149	arrival_species	TOAD_GIANT_CAVE
20260917-235439	edge	1	17821	824221	149	arrival_countdown	20443
20260917-235439	edge	1	17821	824221	150	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	150	arrival_countdown	25933
20260917-235439	edge	1	17821	824221	151	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	151	arrival_countdown	20508
20260917-235439	edge	1	17821	824221	152	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	152	arrival_countdown	19495
20260917-235439	edge	1	17821	824221	153	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	153	arrival_countdown	25161
20260917-235439	edge	1	17821	824221	154	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	154	arrival_countdown	20721
20260917-235439	edge	1	17821	824221	155	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	155	arrival_countdown	21136
20260917-235439	edge	1	17821	824221	156	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	156	arrival_countdown	25803
20260917-235439	edge	1	17821	824221	157	arrival_species	TROGLODYTE
20260917-235439	edge	1	17821	824221	157	arrival_countdown	21992
20260917-235439	edge	1	17821	824221	158	arrival_species	DEMON_12
20260917-235439	edge	1	17821	824221	158	arrival_countdown	25469
20260917-235439	edge	1	17821	824221	159	arrival_species	OLM_GIANT
20260917-235439	edge	1	17821	824221	159	arrival_countdown	28767
20260917-235439	edge	1	17821	824221	160	arrival_species	DEMON_9
20260917-235439	edge	1	17821	824221	160	arrival_countdown	25254
20260917-235439	edge	1	17821	824221	161	arrival_species	DEMON_9
20260917-235439	edge	1	17821	824221	161	arrival_countdown	20831
20260917-235439	edge	1	17821	824221	126	countdown	25886
20260917-235439	edge	1	17821	824221	126	flag_src	1
20260917-235439	edge	1	17821	824221	127	countdown	23635
20260917-235439	edge	1	17821	824221	127	flag_src	1
20260917-235439	edge	1	17821	824221	128	countdown	21776
20260917-235439	edge	1	17821	824221	128	flag_src	1
20260917-235439	edge	1	17821	824221	129	countdown	22431
20260917-235439	edge	1	17821	824221	129	flag_src	1
20260917-235439	edge	1	17821	824221	130	countdown	27285
20260917-235439	edge	1	17821	824221	130	flag_src	1
