run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-235140	edge	1	16883	2032883	162	FISH_STINGRAY	MALE	140	116	94	13,28,0,-1,-1,6	feature	29034	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	163	ALLIGATOR	FEMALE	152	89	94	13,28,0,-1,-1,4	feature	22536	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	164	ALLIGATOR	MALE	154	88	94	13,28,0,-1,-1,4	feature	25426	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	165	HIPPO	FEMALE	147	114	94	13,28,0,-1,-1,5	feature	26786	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	166	HIPPO	FEMALE	149	116	94	13,28,0,-1,-1,5	feature	21196	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	167	HIPPO	MALE	145	115	94	13,28,0,-1,-1,5	feature	26547	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	168	HIPPO	FEMALE	148	114	94	13,28,0,-1,-1,5	feature	27011	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	178	WEASEL	FEMALE	190	119	95	13,28,-1,-1,-1,170	surface	26718	0	1	1	0	0	-1	0	1	-1
20260917-235140	edge	1	16883	2032883	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	78	191	82	12,28,-1,2,-1,18	cavern	24060	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	162	FISH_STINGRAY	MALE	155	99	94	13,28,0,-1,-1,6	feature	27893	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	163	ALLIGATOR	FEMALE	143	90	95	13,28,0,-1,-1,4	feature	21395	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	164	ALLIGATOR	MALE	142	86	94	13,28,0,-1,-1,4	feature	24285	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	165	HIPPO	FEMALE	150	104	95	13,28,0,-1,-1,5	feature	25645	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	166	HIPPO	FEMALE	167	122	95	13,28,0,-1,-1,5	feature	20055	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	167	HIPPO	MALE	165	101	95	13,28,0,-1,-1,5	feature	25406	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	168	HIPPO	FEMALE	166	103	94	13,28,0,-1,-1,5	feature	25870	0	1	0	0	0	-1	0	1	-1
20260917-235140	edge	1	18024	2034024	178	WEASEL	FEMALE	191	148	95	13,28,-1,-1,-1,170	surface	25577	0	1	1	0	0	-1	0	1	-1
