run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-010655	edge	1	16948	2032948	162	TROLL	FEMALE	14	14	45	3,31,-1,2,-1,26	cavern	20176	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	163	MAGMA_CRAB	MALE	37	13	15	4,31,-1,29,-1,0	cavern	23438	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	164	MAGMA_CRAB	MALE	37	14	15	4,31,-1,29,-1,0	cavern	26233	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	165	MAGMA_CRAB	MALE	40	13	15	4,31,-1,29,-1,0	cavern	20737	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	166	DEMON_15	FEMALE	164	9	3	4,30,-1,38,-1,0	cavern	23517	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	167	DEMON_15	MALE	164	6	3	4,30,-1,38,-1,0	cavern	22011	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	168	DEMON_15	FEMALE	163	7	3	4,30,-1,38,-1,0	cavern	24557	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	169	DEMON_15	FEMALE	162	8	3	4,30,-1,38,-1,0	cavern	29111	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	170	JABBERER	MALE	32	178	32	4,31,-1,20,-1,21	cavern	23165	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	181	CROCODILE_CAVE	FEMALE	137	170	58	4,30,-1,2,-1,9	cavern	29107	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	191	BIRD_OSPREY	FEMALE	186	49	97	4,31,-1,-1,-1,52	surface	29212	0	1	1	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	192	REACHER	MALE	15	191	33	3,31,-1,20,-1,27	cavern	23612	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	193	WEASEL	MALE	191	90	91	4,31,-1,-1,-1,51	surface	28017	0	1	1	0	1	-1	0	1	-1
20260918-010655	edge	1	16948	2032948	194	OLM_GIANT	FEMALE	191	148	38	4,30,-1,11,-1,12	cavern	27674	0	1	0	0	1	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	162	TROLL	FEMALE	9	12	45	3,31,-1,2,-1,26	cavern	18965	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	163	MAGMA_CRAB	MALE	38	15	16	4,31,-1,29,-1,0	cavern	22228	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	164	MAGMA_CRAB	MALE	35	12	15	4,31,-1,29,-1,0	cavern	25023	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	165	MAGMA_CRAB	MALE	31	8	16	4,31,-1,29,-1,0	cavern	19527	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	166	DEMON_15	FEMALE	136	35	2	4,30,-1,38,-1,0	cavern	22307	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	167	DEMON_15	MALE	145	26	3	4,30,-1,38,-1,0	cavern	20801	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	168	DEMON_15	FEMALE	154	17	3	4,30,-1,38,-1,0	cavern	23347	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	169	DEMON_15	FEMALE	156	17	3	4,30,-1,38,-1,0	cavern	27901	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	170	JABBERER	MALE	21	155	30	4,31,-1,20,-1,21	cavern	21955	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	181	CROCODILE_CAVE	FEMALE	135	183	56	4,30,-1,2,-1,9	cavern	27897	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	191	BIRD_OSPREY	FEMALE	158	43	105	4,31,-1,-1,-1,52	surface	28002	0	1	1	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	192	REACHER	MALE	27	187	32	3,31,-1,20,-1,27	cavern	22402	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	193	WEASEL	MALE	189	109	91	4,31,-1,-1,-1,51	surface	26828	0	1	1	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	194	OLM_GIANT	FEMALE	184	161	38	4,30,-1,11,-1,12	cavern	26485	0	1	0	0	0	-1	0	1	-1
20260918-010655	edge	1	18158	2034158	195	OLM_GIANT	MALE	5	7	36	4,30,-1,11,-1,12	cavern	23365	0	1	0	0	0	-1	0	1	-1
