run	arm	rep	tick	abs_tick	event	subject	detail
20260918-010552	edge	1	16801	2032801	baseline	wild_present	0
20260918-010552	edge	1	16801	2032801	manipulation	local W,H,Z=df.global.world.map.x_count,df.global.world.map.y_count,df.global.world.map.z_count; local me=df.global.plotinfo.map_edge; local szmax=0; for i=0,#me.surface_z-1 do if me.surface_z[i]>szmax then szmax=me.surface_z[i] end end; local cols,hist,wetcols,fe,bio={},{},0,0,{}; for x=0,W-1 do cols[#cols+1]={x,0}; cols[#cols+1]={x,H-1} end; for y=1,H-2 do cols[#cols+1]={0,y}; cols[#cols+1]={W-1,y} end; for _,c in ipairs(cols) do local hit=false; for z=0,Z-1 do local pos=xyz2pos(c[1],c[2],z); local d=dfhack.maps.getTileFlags(pos); if d and d.flow_size>0 and not d.liquid_type then local off=szmax-z; hist[off]=hist[off] or {0,0}; hist[off][1]=hist[off][1]+1; if d.flow_size>=4 then hist[off][2]=hist[off][2]+1; hit=true; if off>=-1 and off<=6 then local rx,ry=dfhack.maps.getTileBiomeRgn(pos); local bt=rx and df.biome_type[dfhack.maps.getBiomeType(rx,ry)] or '?'; bio[bt]=(bio[bt] or 0)+1 end end end end; if hit then wetcols=wetcols+1 end end; for _,p in ipairs(df.global.world.populations.all) do if p.type==df.world_population_type.Animal and p.population.feature_idx>=0 and p.quantity>0 then fe=fe+1 end end; local offs={}; for o in pairs(hist) do offs[#offs+1]=o end; table.sort(offs); local parts={}; local near=0; for _,o in ipairs(offs) do parts[#parts+1]=('%+d:%d/%d'):format(-o,hist[o][1],hist[o][2]); if o>=-1 and o<=6 then near=near+hist[o][2] end end; local bparts,sea={},0; for b,n in pairs(bio) do bparts[#bparts+1]=b..'='..n; if b:find('OCEAN') or b:find('LAKE') then sea=sea+n end end; table.sort(bparts); print(('e25 edge: perimeter %d columns, %d with deep water at some z; by z relative to the land-entry surface (wet/deep): %s; deep within -6..+1: %d, of which in an ocean or lake biome: %d [%s]; %d live feature entries -> %s'):format(#cols, wetcols, #parts>0 and table.concat(parts,' ') or 'none', near, sea, table.concat(bparts,' '), fe, (sea>0 and fe>0) and 'LIVE' or (near>0 and 'DORMANT: wet edge is a river, no waves (E26)' or (fe>0 and 'DORMANT: no deep water near the surface' or 'DORMANT: no feature entries'))))	e25 edge: perimeter 764 columns, 396 with deep water at some z; by z relative to the land-entry surface (wet/deep): -2:377/377 -3:211/211 -39:42/42; deep within -6..+1: 588, of which in an ocean or lake biome: 588 [OCEAN_TROPICAL=588]; 103 live feature entries -> LIVE
20260918-010552	edge	1	18011	2034011	arrival	171	BIRD_EAGLE caste=FEMALE ref6=4,28,-1,-1,-1,33 layer=surface countdown=26609 vanish=0 flag_src=1 flag_nf=1 pos=179,160,107 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	172	OLM_GIANT caste=FEMALE ref6=4,28,-1,2,-1,10 layer=cavern countdown=26942 vanish=0 flag_src=1 flag_nf=0 pos=126,179,59 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	173	REACHER caste=FEMALE ref6=3,28,-1,10,-1,13 layer=cavern countdown=22315 vanish=0 flag_src=1 flag_nf=0 pos=35,27,37 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	174	RUTHERER caste=MALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=21991 vanish=0 flag_src=1 flag_nf=0 pos=53,1,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	175	RUTHERER caste=MALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=21533 vanish=0 flag_src=1 flag_nf=0 pos=56,5,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	176	RUTHERER caste=FEMALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=26835 vanish=0 flag_src=1 flag_nf=0 pos=51,14,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	177	RUTHERER caste=FEMALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=23729 vanish=0 flag_src=1 flag_nf=0 pos=54,7,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	178	RUTHERER caste=MALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=27169 vanish=0 flag_src=1 flag_nf=0 pos=56,2,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	179	RUTHERER caste=MALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=25105 vanish=0 flag_src=1 flag_nf=0 pos=55,3,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	180	RUTHERER caste=MALE ref6=4,28,-1,22,-1,16 layer=cavern countdown=27919 vanish=0 flag_src=1 flag_nf=0 pos=54,0,18 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	181	DEMON_2 caste=DEFAULT ref6=4,28,-1,38,-1,6 layer=cavern countdown=26476 vanish=0 flag_src=1 flag_nf=0 pos=43,190,0 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	182	DEMON_2 caste=DEFAULT ref6=4,28,-1,38,-1,6 layer=cavern countdown=28780 vanish=0 flag_src=1 flag_nf=0 pos=35,184,4 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	183	DEMON_2 caste=DEFAULT ref6=4,28,-1,38,-1,6 layer=cavern countdown=19061 vanish=0 flag_src=1 flag_nf=0 pos=29,184,2 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	184	DEMON_2 caste=DEFAULT ref6=4,28,-1,38,-1,6 layer=cavern countdown=25262 vanish=0 flag_src=1 flag_nf=0 pos=16,181,3 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	185	JACKAL caste=MALE ref6=4,28,-1,-1,-1,54 layer=surface countdown=25785 vanish=0 flag_src=1 flag_nf=1 pos=168,33,94 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	186	OLM_GIANT caste=MALE ref6=4,28,-1,2,-1,10 layer=cavern countdown=25083 vanish=0 flag_src=1 flag_nf=0 pos=156,187,57 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	187	TROGLODYTE caste=FEMALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=24222 vanish=0 flag_src=1 flag_nf=0 pos=169,83,35 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	188	TROGLODYTE caste=FEMALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=23069 vanish=0 flag_src=1 flag_nf=0 pos=181,73,34 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	189	TROGLODYTE caste=FEMALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=21658 vanish=0 flag_src=1 flag_nf=0 pos=182,71,34 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	190	TROGLODYTE caste=MALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=22799 vanish=0 flag_src=1 flag_nf=0 pos=181,70,34 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	191	TROGLODYTE caste=MALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=21132 vanish=0 flag_src=1 flag_nf=0 pos=186,64,35 listed_at=2034011
20260918-010552	edge	1	18011	2034011	arrival	192	TROGLODYTE caste=MALE ref6=3,28,-1,10,-1,2 layer=cavern countdown=28017 vanish=0 flag_src=1 flag_nf=0 pos=188,62,35 listed_at=2034011
