run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-010552	edge	1	18011	2034011	171	BIRD_EAGLE	FEMALE	179	160	107	4,28,-1,-1,-1,33	surface	26609	0	1	1	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	172	OLM_GIANT	FEMALE	126	179	59	4,28,-1,2,-1,10	cavern	26942	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	173	REACHER	FEMALE	35	27	37	3,28,-1,10,-1,13	cavern	22315	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	174	RUTHERER	MALE	53	1	18	4,28,-1,22,-1,16	cavern	21991	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	175	RUTHERER	MALE	56	5	18	4,28,-1,22,-1,16	cavern	21533	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	176	RUTHERER	FEMALE	51	14	18	4,28,-1,22,-1,16	cavern	26835	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	177	RUTHERER	FEMALE	54	7	18	4,28,-1,22,-1,16	cavern	23729	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	178	RUTHERER	MALE	56	2	18	4,28,-1,22,-1,16	cavern	27169	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	179	RUTHERER	MALE	55	3	18	4,28,-1,22,-1,16	cavern	25105	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	180	RUTHERER	MALE	54	0	18	4,28,-1,22,-1,16	cavern	27919	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	181	DEMON_2	DEFAULT	43	190	0	4,28,-1,38,-1,6	cavern	26476	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	182	DEMON_2	DEFAULT	35	184	4	4,28,-1,38,-1,6	cavern	28780	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	183	DEMON_2	DEFAULT	29	184	2	4,28,-1,38,-1,6	cavern	19061	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	184	DEMON_2	DEFAULT	16	181	3	4,28,-1,38,-1,6	cavern	25262	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	185	JACKAL	MALE	168	33	94	4,28,-1,-1,-1,54	surface	25785	0	1	1	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	186	OLM_GIANT	MALE	156	187	57	4,28,-1,2,-1,10	cavern	25083	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	187	TROGLODYTE	FEMALE	169	83	35	3,28,-1,10,-1,2	cavern	24222	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	188	TROGLODYTE	FEMALE	181	73	34	3,28,-1,10,-1,2	cavern	23069	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	189	TROGLODYTE	FEMALE	182	71	34	3,28,-1,10,-1,2	cavern	21658	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	190	TROGLODYTE	MALE	181	70	34	3,28,-1,10,-1,2	cavern	22799	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	191	TROGLODYTE	MALE	186	64	35	3,28,-1,10,-1,2	cavern	21132	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	192	TROGLODYTE	MALE	188	62	35	3,28,-1,10,-1,2	cavern	28017	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	193	TROGLODYTE	FEMALE	187	59	36	3,28,-1,10,-1,2	cavern	21448	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	194	TROGLODYTE	MALE	189	64	35	3,28,-1,10,-1,2	cavern	23109	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	195	TROGLODYTE	MALE	191	64	34	3,28,-1,10,-1,2	cavern	23860	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	196	TROLL	FEMALE	189	157	20	4,28,-1,22,-1,25	cavern	21979	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	197	MAGMA_CRAB	MALE	11	65	11	4,27,-1,29,-1,0	cavern	27865	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	198	MAGMA_CRAB	MALE	6	70	11	4,27,-1,29,-1,0	cavern	26301	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	199	MAGMA_CRAB	FEMALE	5	66	10	4,27,-1,29,-1,0	cavern	23994	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	200	MAGMA_CRAB	MALE	3	63	10	4,27,-1,29,-1,0	cavern	28838	0	1	0	0	0	-1	0	1	-1
20260918-010552	edge	1	18011	2034011	201	MAGMA_CRAB	MALE	0	60	10	4,27,-1,29,-1,0	cavern	22671	0	1	0	0	0	-1	0	1	-1
