run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-235836	edge	1	16801	2032801	162	PLATYPUS	FEMALE	1	135	73	19,24,0,-1,-1,6	feature	29926	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	16801	2032801	163	PLATYPUS	FEMALE	13	165	73	19,24,0,-1,-1,6	feature	28399	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	16801	2032801	164	BIRD_EAGLE	MALE	129	158	75	19,24,-1,-1,-1,103	surface	21835	0	1	1	0	0	-1	0	1	-1
20260917-235836	edge	1	16803	2032803	162	PLATYPUS	FEMALE	1	135	73	19,24,0,-1,-1,6	feature	29924	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	16803	2032803	163	PLATYPUS	FEMALE	13	165	73	19,24,0,-1,-1,6	feature	28397	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	16803	2032803	164	BIRD_EAGLE	MALE	129	158	75	19,24,-1,-1,-1,103	surface	21833	0	1	1	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	162	PLATYPUS	FEMALE	0	132	73	19,24,0,-1,-1,6	feature	28835	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	163	PLATYPUS	FEMALE	24	164	74	19,24,0,-1,-1,6	feature	27308	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	164	BIRD_EAGLE	MALE	113	187	80	19,24,-1,-1,-1,103	surface	20745	0	1	1	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	165	ECHIDNA	MALE	184	81	77	20,24,-1,-1,-1,162	surface	22385	0	1	1	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	166	CROCODILE_CAVE	MALE	108	20	60	18,25,-1,2,-1,9	cavern	24021	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	167	REACHER	FEMALE	11	182	42	19,25,-1,14,-1,14	cavern	25145	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	168	BLIND_CAVE_OGRE	FEMALE	182	173	29	18,25,-1,22,-1,27	cavern	21198	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	169	DEMON_17	FEMALE	150	137	15	19,24,-1,40,-1,4	cavern	28978	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	170	DEMON_17	FEMALE	158	129	15	19,24,-1,40,-1,4	cavern	28275	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	171	CROCODILE_CAVE	FEMALE	29	5	60	19,24,-1,7,-1,9	cavern	28714	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	172	REACHER	FEMALE	22	173	41	19,25,-1,14,-1,14	cavern	26755	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	173	RUTHERER	MALE	188	9	29	18,25,-1,22,-1,16	cavern	21365	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	174	RUTHERER	FEMALE	181	0	31	18,25,-1,22,-1,16	cavern	28566	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	175	RUTHERER	FEMALE	176	0	31	18,25,-1,22,-1,16	cavern	21820	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	176	RUTHERER	MALE	169	0	31	18,25,-1,22,-1,16	cavern	25456	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	177	RUTHERER	FEMALE	167	0	31	18,25,-1,22,-1,16	cavern	20082	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	178	MAGMA_CRAB	FEMALE	13	40	24	19,25,-1,32,-1,0	cavern	28189	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	179	MAGMA_CRAB	FEMALE	10	37	23	19,25,-1,32,-1,0	cavern	26682	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	180	MAGMA_CRAB	MALE	5	37	24	19,25,-1,32,-1,0	cavern	24580	0	1	0	0	0	-1	0	1	-1
20260917-235836	edge	1	17891	2033891	181	MAGMA_CRAB	MALE	0	36	22	19,25,-1,32,-1,0	cavern	21431	0	1	0	0	0	-1	0	1	-1
