run	arm	rep	tick	abs_tick	event	subject	detail
20260918-011008	edge	1	16801	2032801	baseline	wild_present	3
20260918-011008	edge	1	16801	2032801	present_at_start	162	PLATYPUS ref6=19,24,0,-1,-1,6 countdown=29926 flag_src=1
20260918-011008	edge	1	16801	2032801	present_at_start	163	PLATYPUS ref6=19,24,0,-1,-1,6 countdown=28399 flag_src=1
20260918-011008	edge	1	16801	2032801	present_at_start	164	BIRD_EAGLE ref6=19,24,-1,-1,-1,103 countdown=21835 flag_src=1
20260918-011008	edge	1	16801	2032801	manipulation	local W,H,Z=df.global.world.map.x_count,df.global.world.map.y_count,df.global.world.map.z_count; local me=df.global.plotinfo.map_edge; local szmax=0; for i=0,#me.surface_z-1 do if me.surface_z[i]>szmax then szmax=me.surface_z[i] end end; local cols,hist,wetcols,fe,bio={},{},0,0,{}; for x=0,W-1 do cols[#cols+1]={x,0}; cols[#cols+1]={x,H-1} end; for y=1,H-2 do cols[#cols+1]={0,y}; cols[#cols+1]={W-1,y} end; for _,c in ipairs(cols) do local hit=false; for z=0,Z-1 do local pos=xyz2pos(c[1],c[2],z); local d=dfhack.maps.getTileFlags(pos); if d and d.flow_size>0 and not d.liquid_type then local off=szmax-z; hist[off]=hist[off] or {0,0}; hist[off][1]=hist[off][1]+1; if d.flow_size>=4 then hist[off][2]=hist[off][2]+1; hit=true; if off>=-1 and off<=6 then local rx,ry=dfhack.maps.getTileBiomeRgn(pos); local bt=rx and df.biome_type[dfhack.maps.getBiomeType(rx,ry)] or '?'; bio[bt]=(bio[bt] or 0)+1 end end end end; if hit then wetcols=wetcols+1 end end; for _,p in ipairs(df.global.world.populations.all) do if p.type==df.world_population_type.Animal and p.population.feature_idx>=0 and p.quantity>0 then fe=fe+1 end end; local offs={}; for o in pairs(hist) do offs[#offs+1]=o end; table.sort(offs); local parts={}; local near=0; for _,o in ipairs(offs) do parts[#parts+1]=('%+d:%d/%d'):format(-o,hist[o][1],hist[o][2]); if o>=-1 and o<=6 then near=near+hist[o][2] end end; local bparts,sea={},0; for b,n in pairs(bio) do bparts[#bparts+1]=b..'='..n; if b:find('OCEAN') or b:find('LAKE') then sea=sea+n end end; table.sort(bparts); print(('e25 edge: perimeter %d columns, %d with deep water at some z; by z relative to the land-entry surface (wet/deep): %s; deep within -6..+1: %d, of which in an ocean or lake biome: %d [%s]; %d live feature entries -> %s'):format(#cols, wetcols, #parts>0 and table.concat(parts,' ') or 'none', near, sea, table.concat(bparts,' '), fe, (sea>0 and fe>0) and 'LIVE' or (near>0 and 'DORMANT: wet edge is a river, no waves (E26)' or (fe>0 and 'DORMANT: no deep water near the surface' or 'DORMANT: no feature entries'))))	e25 edge: perimeter 764 columns, 25 with deep water at some z; by z relative to the land-entry surface (wet/deep): -5:8/8 -21:17/17; deep within -6..+1: 8, of which in an ocean or lake biome: 0 [SHRUBLAND_TEMPERATE=8]; 245 live feature entries -> DORMANT: wet edge is a river, no waves (E26)
20260918-011008	edge	1	18001	2034001	arrival	165	BIRD_EAGLE caste=MALE ref6=18,23,-1,-1,-1,103 layer=surface countdown=18965 vanish=0 flag_src=1 flag_nf=1 pos=72,85,91 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	167	CRUNDLE caste=MALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=23244 vanish=0 flag_src=1 flag_nf=0 pos=172,17,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	168	CRUNDLE caste=MALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=26123 vanish=0 flag_src=1 flag_nf=0 pos=178,13,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	169	CRUNDLE caste=FEMALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=19229 vanish=0 flag_src=1 flag_nf=0 pos=179,11,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	170	CRUNDLE caste=FEMALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=20574 vanish=0 flag_src=1 flag_nf=0 pos=182,12,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	171	CRUNDLE caste=MALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=19745 vanish=0 flag_src=1 flag_nf=0 pos=180,11,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	172	CRUNDLE caste=FEMALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=23616 vanish=0 flag_src=1 flag_nf=0 pos=180,9,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	173	CRUNDLE caste=FEMALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=24743 vanish=0 flag_src=1 flag_nf=0 pos=181,7,42 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	174	CRUNDLE caste=MALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=21028 vanish=0 flag_src=1 flag_nf=0 pos=190,4,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	175	CRUNDLE caste=MALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=28722 vanish=0 flag_src=1 flag_nf=0 pos=191,6,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	176	CRUNDLE caste=FEMALE ref6=19,25,-1,14,-1,1 layer=cavern countdown=28232 vanish=0 flag_src=1 flag_nf=0 pos=191,4,41 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	187	CAVE_BLOB caste=DEFAULT ref6=19,24,-1,22,-1,11 layer=cavern countdown=26058 vanish=0 flag_src=1 flag_nf=0 pos=5,109,31 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	188	CAVE_BLOB caste=DEFAULT ref6=19,24,-1,22,-1,11 layer=cavern countdown=23627 vanish=0 flag_src=1 flag_nf=0 pos=1,107,31 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	189	DEMON_2 caste=DEFAULT ref6=19,24,-1,40,-1,1 layer=cavern countdown=26233 vanish=0 flag_src=1 flag_nf=0 pos=172,158,15 listed_at=2034001
20260918-011008	edge	1	18001	2034001	arrival	190	CROCODILE_CAVE caste=MALE ref6=18,25,-1,2,-1,9 layer=cavern countdown=22130 vanish=0 flag_src=1 flag_nf=0 pos=109,189,60 listed_at=2034001
