run	arm	rep	tick	abs_tick	subject	metric	value
20260918-011008	edge	1	16801	2032801	clock	year	5
20260918-011008	edge	1	16801	2032801	clock	tick	16801
20260918-011008	edge	1	16801	2032801	clock	season	0
20260918-011008	edge	1	16801	2032801	clock	paused	1
20260918-011008	edge	1	16801	2032801	clock	fps_cap	1000.0
20260918-011008	edge	1	16801	2032801	clock	fps_achieved	161
20260918-011008	edge	1	16801	2032801	clock	gfps_cap	10.0
20260918-011008	edge	1	16801	2032801	clock	units_active	21
20260918-011008	edge	1	16801	2032801	clock	popups	0
20260918-011008	edge	1	16801	2032801	clock	map	1
20260918-011008	edge	1	18001	2034001	clock	fps_achieved	666
20260918-011008	edge	1	18001	2034001	clock	units_active	62
20260918-011008	edge	1	18001	2034001	clock	popups	0
20260918-011008	edge	1	18001	2034001	clock	paused	1
20260918-011008	edge	1	18001	2034001	clock	ticks_per_wall_s	329.5
20260918-011008	edge	1	18001	2034001	165	arrival_species	BIRD_EAGLE
20260918-011008	edge	1	18001	2034001	165	arrival_countdown	18965
20260918-011008	edge	1	18001	2034001	167	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	167	arrival_countdown	23244
20260918-011008	edge	1	18001	2034001	168	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	168	arrival_countdown	26123
20260918-011008	edge	1	18001	2034001	169	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	169	arrival_countdown	19229
20260918-011008	edge	1	18001	2034001	170	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	170	arrival_countdown	20574
20260918-011008	edge	1	18001	2034001	171	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	171	arrival_countdown	19745
20260918-011008	edge	1	18001	2034001	172	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	172	arrival_countdown	23616
20260918-011008	edge	1	18001	2034001	173	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	173	arrival_countdown	24743
20260918-011008	edge	1	18001	2034001	174	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	174	arrival_countdown	21028
20260918-011008	edge	1	18001	2034001	175	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	175	arrival_countdown	28722
20260918-011008	edge	1	18001	2034001	176	arrival_species	CRUNDLE
20260918-011008	edge	1	18001	2034001	176	arrival_countdown	28232
20260918-011008	edge	1	18001	2034001	187	arrival_species	CAVE_BLOB
20260918-011008	edge	1	18001	2034001	187	arrival_countdown	26058
20260918-011008	edge	1	18001	2034001	188	arrival_species	CAVE_BLOB
20260918-011008	edge	1	18001	2034001	188	arrival_countdown	23627
20260918-011008	edge	1	18001	2034001	189	arrival_species	DEMON_2
20260918-011008	edge	1	18001	2034001	189	arrival_countdown	26233
20260918-011008	edge	1	18001	2034001	190	arrival_species	CROCODILE_CAVE
20260918-011008	edge	1	18001	2034001	190	arrival_countdown	22130
20260918-011008	edge	1	18001	2034001	191	arrival_species	RUTHERER
20260918-011008	edge	1	18001	2034001	191	arrival_countdown	28574
20260918-011008	edge	1	18001	2034001	192	arrival_species	RUTHERER
20260918-011008	edge	1	18001	2034001	192	arrival_countdown	27292
20260918-011008	edge	1	18001	2034001	193	arrival_species	RUTHERER
20260918-011008	edge	1	18001	2034001	193	arrival_countdown	26232
20260918-011008	edge	1	18001	2034001	194	arrival_species	RUTHERER
20260918-011008	edge	1	18001	2034001	194	arrival_countdown	24640
20260918-011008	edge	1	18001	2034001	195	arrival_species	RUTHERER
