arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
natural_lake	1	1264	1264	WEASEL	13,28,-1,-1,-1,170	surface	1	26382	26382	0	1	0			True
natural_lake	1	1264	1264	CRUNDLE	13,28,-1,14,-1,1	cavern	15	19846	28965	15	0	0	26147	34968	True
natural_lake	1	1264	1264	MAGMA_CRAB	13,27,-1,32,-1,0	cavern	2	24165	26013	0	0	2			True
natural_lake	1	1264	1264	DEMON_13	12,28,-1,41,-1,6	cavern	3	21323	25915	3	0	0	27193	28268	True
natural_lake	1	1264	1264	OLM_GIANT	13,28,-1,2,-1,10	cavern	1	24317	24317	1	0	0	26147	26147	True
natural_lake	1	1264	1264	TROLL	12,28,-1,23,-1,25	cavern	1	25051	25051	0	1	0			True
natural_lake	1	1264	1264	SPIDER_CAVE_GIANT	13,27,-1,22,-1,22	cavern	1	25247	25247	1	0	0	26147	26147	True
natural_lake	1	25195	25195	CROCODILE_CAVE	13,28,-1,2,-1,9	cavern	1	20401	20401	1	0	0	23140	23140	True
natural_lake	1	27411	27411	AARDVARK	13,28,-1,-1,-1,181	surface	1	27009	27009	1	0	0	28665	28665	True
natural_lake	1	27411	27411	GORLAK	13,28,-1,2,-1,27	cavern	1	26135	26135	1	0	0	30822	30822	True
natural_lake	1	28457	28457	GORLAK	12,28,-1,23,-1,31	cavern	1	20129	20129	1	0	0	23144	23144	True
natural_lake	1	28457	28457	BLIND_CAVE_OGRE	12,28,-1,23,-1,24	cavern	3	20194	26509	3	0	0	21026	48780	True
natural_lake	1	29532	29532	DEMON_13	12,28,-1,41,-1,6	cavern	4	22423	28160	4	0	0	23202	48768	True
natural_lake	1	37323	37323	REACHER	12,27,-1,14,-1,14	cavern	1	24883	24883	1	0	0	30947	30947	True
natural_lake	1	37323	37323	JABBERER	12,27,-1,14,-1,0	cavern	1	19525	19525	1	0	0	20910	20910	True
natural_lake	1	48335	48335	OLM_GIANT	12,28,-1,2,-1,10	cavern	1	27145	27145	1	0	0	29965	29965	True
natural_lake	1	56076	56076	BIRD_EAGLE	11,27,-1,-1,-1,103	surface	1	21709	21709	1	0	0	23349	23349	True
natural_lake	1	58233	58233	TROGLODYTE	12,27,-1,14,-1,3	cavern	6	21002	29299	6	0	0	23361	31064	True
natural_lake	1	58233	58233	TROLL	13,28,-1,2,-1,26	cavern	1	20520	20520	0	1	0			True
natural_lake	1	63908	63908	CROCODILE_CAVE	13,28,-1,2,-1,9	cavern	1	21426	21426	0	1	0			True
natural_lake	1	68270	68270	BIRD_SWALLOW_CAVE_GIANT	12,28,-1,2,-1,18	cavern	1	19344	19344	1	0	0	19916	19916	True
natural_lake	1	78300	78300	CAVE_BLOB	12,28,-1,23,-1,14	cavern	3	20752	27697	0	0	3			True
natural_lake	1	78300	78300	DEMON_15	12,28,-1,41,-1,4	cavern	5	21362	28657	2	0	3	22156	23211	True
natural_lake	1	78300	78300	TOAD_GIANT_CAVE	12,28,-1,2,-1,11	cavern	1	25928	25928	0	0	1			True
natural_lake	1	79425	79425	GIRAFFE	13,28,-1,-1,-1,244	surface	7	19169	28612	2	1	4	19900	22086	True
natural_lake	1	89297	89297	BLIND_CAVE_BEAR	12,28,-1,2,-1,21	cavern	1	23951	23951	0	0	1			True
natural_lake	1	89297	89297	CRUNDLE	12,27,-1,14,-1,1	cavern	15	19146	28735	0	0	15			True
surface_held_lake	1	1051	1051	AARDVARK	13,28,-1,-1,-1,181	surface	1	20880	20880	1	0	0	22190	22190	True
surface_held_lake	1	1051	1051	DEMON_14	12,28,-1,41,-1,1	cavern	5	19276	24917	5	0	0	23274	32073	True
surface_held_lake	1	1051	1051	CROCODILE_CAVE	12,28,-1,2,-1,9	cavern	1	27911	27911	1	0	0	33222	33222	True
surface_held_lake	1	1051	1051	MAGMA_CRAB	13,27,-1,32,-1,0	cavern	4	20420	27721	0	0	4			True
surface_held_lake	1	1051	1051	ELK_BIRD	13,27,-1,22,-1,18	cavern	9	19257	26983	9	0	0	28755	32073	True
surface_held_lake	1	1051	1051	BLIND_CAVE_OGRE	12,28,-1,14,-1,11	cavern	2	26501	28868	2	0	0	29814	30962	True
surface_held_lake	1	23241	23241	WARTHOG	13,28,-1,-1,-1,232	surface	6	19911	24904	6	0	0	21038	27633	True
surface_held_lake	1	27598	27598	GIANT_EARTHWORM	13,28,-1,2,-1,22	cavern	1	29488	29488	1	0	0	30867	30867	True
surface_held_lake	1	30865	30865	BUGBAT	12,28,-1,14,-1,4	cavern	14	19934	27952	14	0	0	23307	55304	True
surface_held_lake	1	32013	32013	DEMON_15	12,28,-1,41,-1,4	cavern	1	28906	28906	1	0	0	30968	30968	True
surface_held_lake	1	33124	33124	DEMON_14	12,28,-1,41,-1,1	cavern	3	20219	26192	3	0	0	26395	54176	True
surface_held_lake	1	34273	34273	OLM_GIANT	12,28,-1,2,-1,10	cavern	1	29356	29356	0	1	0			True
surface_held_lake	1	34273	34273	CRUNDLE	12,28,-1,23,-1,12	cavern	20	19842	26891	13	7	0	29813	60639	True
surface_held_lake	1	35329	35329	ELK_BIRD	12,28,-1,23,-1,16	cavern	10	19086	28191	9	1	0	22069	29900	True
surface_held_lake	1	50874	50874	RHINOCEROS	13,28,-1,-1,-1,241	surface	4	24469	27197	4	0	0	25290	28661	True
surface_held_lake	1	59519	59519	TOAD_GIANT_CAVE	12,28,-1,2,-1,11	cavern	1	21533	21533	1	0	0	23379	23379	True
surface_held_lake	1	66253	66253	CROCODILE_CAVE	12,28,-1,2,-1,9	cavern	1	21912	21912	1	0	0	23193	23193	True
surface_held_lake	1	79535	79535	BIRD_OSPREY	12,27,-1,-1,-1,6	surface	1	27000	27000	0	0	1			True
