run	arm	rep	tick	abs_tick	event	subject	detail
20260917-160100	natural	1	16801	2032801	baseline	wild_present	3
20260917-160100	natural	1	16801	2032801	present_at_start	162	PLATYPUS ref6=19,24,0,-1,-1,6 countdown=29926 flag_src=1
20260917-160100	natural	1	16801	2032801	present_at_start	163	PLATYPUS ref6=19,24,0,-1,-1,6 countdown=28399 flag_src=1
20260917-160100	natural	1	16801	2032801	present_at_start	164	BIRD_EAGLE ref6=19,24,-1,-1,-1,103 countdown=21835 flag_src=1
20260917-160100	natural	1	17956	2033956	arrival	165	BIRD_EAGLE caste=FEMALE ref6=18,23,-1,-1,-1,103 layer=surface countdown=26496 vanish=0 flag_src=1 flag_nf=1 pos=169,182,78 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	166	CROCODILE_CAVE caste=MALE ref6=18,25,-1,2,-1,9 layer=cavern countdown=28619 vanish=0 flag_src=1 flag_nf=0 pos=169,128,58 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	167	BIRD_SWALLOW_CAVE_GIANT caste=FEMALE ref6=20,24,-1,14,-1,5 layer=cavern countdown=20580 vanish=0 flag_src=1 flag_nf=0 pos=181,181,45 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	168	CRUNDLE caste=FEMALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=26598 vanish=0 flag_src=1 flag_nf=0 pos=168,29,29 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	169	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=28609 vanish=0 flag_src=1 flag_nf=0 pos=177,24,29 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	170	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=27863 vanish=0 flag_src=1 flag_nf=0 pos=178,24,29 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	171	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=27918 vanish=0 flag_src=1 flag_nf=0 pos=184,13,29 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	172	CRUNDLE caste=FEMALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=20881 vanish=0 flag_src=1 flag_nf=0 pos=182,3,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	173	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=21684 vanish=0 flag_src=1 flag_nf=0 pos=179,0,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	174	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=23203 vanish=0 flag_src=1 flag_nf=0 pos=178,0,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	175	CRUNDLE caste=MALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=23918 vanish=0 flag_src=1 flag_nf=0 pos=167,1,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	176	CRUNDLE caste=FEMALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=26636 vanish=0 flag_src=1 flag_nf=0 pos=168,0,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	177	CRUNDLE caste=FEMALE ref6=18,25,-1,22,-1,12 layer=cavern countdown=23467 vanish=0 flag_src=1 flag_nf=0 pos=166,1,31 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	185	DEMON_2 caste=DEFAULT ref6=19,24,-1,40,-1,1 layer=cavern countdown=23622 vanish=0 flag_src=1 flag_nf=0 pos=169,30,17 listed_at=2033956
20260917-160100	natural	1	17956	2033956	arrival	186	DEMON_2 caste=DEFAULT ref6=19,24,-1,40,-1,1 layer=cavern countdown=24306 vanish=0 flag_src=1 flag_nf=0 pos=180,23,8 listed_at=2033956
