run	arm	rep	tick	abs_tick	event	subject	detail
20260917-175344	river_only	1	16883	2032883	baseline	wild_present	9
20260917-175344	river_only	1	16883	2032883	present_at_start	162	FISH_STINGRAY ref6=13,28,0,-1,-1,6 countdown=29034 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	163	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=22536 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	164	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=25426 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	165	HIPPO ref6=13,28,0,-1,-1,5 countdown=26786 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	166	HIPPO ref6=13,28,0,-1,-1,5 countdown=21196 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	167	HIPPO ref6=13,28,0,-1,-1,5 countdown=26547 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	168	HIPPO ref6=13,28,0,-1,-1,5 countdown=27011 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	178	WEASEL ref6=13,28,-1,-1,-1,170 countdown=26718 flag_src=1
20260917-175344	river_only	1	16883	2032883	present_at_start	179	BIRD_SWALLOW_CAVE_GIANT ref6=12,28,-1,2,-1,18 countdown=24060 flag_src=1
20260917-175344	river_only	1	16883	2032883	manipulation	local n,zs,minz,maxz=0,{},999,-1; local d=df.global.world.map; local W,H=d.x_count,d.y_count; for z=0,d.z_count-1 do local cnt=0; for x=0,W-1 do for _,y in ipairs({0,H-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; for y=0,H-1 do for _,x in ipairs({0,W-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; if cnt>0 then n=n+cnt; zs[#zs+1]=z..':'..cnt; if z<minz then minz=z end; if z>maxz then maxz=z end end end; print(('edge water: %d edge tiles with water>=4 across z %d..%d [%s]'):format(n, minz, maxz, table.concat(zs,' ')))	edge water: 895 edge tiles with water>=4 across z 48..94 [48:16 81:29 92:104 93:128 94:618]
20260917-175344	river_only	1	16883	2032883	manipulation	local out={}; local ok,err=pcall(function() for i,f in ipairs(df.global.world.features.map_features) do out[#out+1]=i..':'..tostring(f._type) end end); print('map_features:', ok and table.concat(out,' ') or ('err '..tostring(err))); local me={}; for k,v in pairs(df.global.plotinfo.map_edge) do local n; pcall(function() n=#v end); me[#me+1]=tostring(k)..'='..tostring(n or v) end; print('map_edge fields:', table.concat(me,' '))	map_features: 0:<type: feature_init_subterranean_from_layerst> 1:<type: feature_init_subterranean_from_layerst> 2:<type: feature_init_subterranean_from_layerst> 3:<type: feature_init_magma_core_from_layerst> 4:<type: feature_init_underworld_from_layerst> 5:<type: feature_init_subterranean_from_layerst> 6:<type: feature_init_deep_special_tubest> 7:<type: feature_init_deep_special_tubest> 8:<type: feature_init_outdoor_riverst> 9:<type: feature_init_deep_special_tubest> 10:<type: feature_init_deep_special_tubest> 11:<type: feature_init_cavest> | map_edge fields: layer_x=5 surface_x=127 layer_y=5 surface_y=127 layer_z=5 surface_z=127
20260917-175344	river_only	1	16883	2032883	manipulation	probe:edge	x y z tiletype water liquid | 176 191 95 GrassDryFloor3 0 water | 177 191 95 GrassDryFloor2 0 water | 178 191 95 GrassDryFloor2 0 water | 179 191 95 StoneFloor4 0 water | 180 191 95 StonePebbles3 0 water | 181 191 95 GrassDryFloor1 0 water | 182 191 95 GrassDryFloor4 0 water | 183 191 95 GrassDryFloor4 0 water | 184 191 95 GrassDryFloor1 0 water | 185 191 95 GrassDryFloor2 0 water | 186 191 95 GrassDryFloor4 0 water | 187 191 95 GrassDryFloor2 0 water | 188 191 95 GrassDryFloor3 0 water | 189 191 95 GrassDryFloor1 0 water | 190 191 95 StonePebbles2 0 water | 191 191 95 GrassDryFloor2 0 water | 191 80 95 GrassDryFloor2 0 water | 191 81 95 GrassDryFloor4 0 water | 191 82 95 GrassDryFloor3 0 water | 191 83 95 GrassDryFloor2 0 water | 191 84 95 GrassDryFloor1 0 water | 191 85 95 Shrub 0 water | 191 86 95 GrassDryFloor4 0 water | 191 87 95 GrassDryFloor3 0 water | 191 88 95 GrassDryFloor1 0 water | 191 89 95 GrassDryFloor3 0 water | 191 90 95 GrassDryFloor1 0 water | 191 91 95 GrassDryFloor4 0 water | 191 92 95 GrassDryFloor2 0 water | 191 93 95 GrassDryFloor2 0 water | 191 94 95 GrassDryFloor3 0 water | 191 95 95 GrassDryFloor2 0 water | 191 96 95 GrassDryFloor4 0 water | 191 97 95 GrassDryFloor3 0 water | 191 98 95 GrassDryFloor3 0 water | 191 99 95 StonePebbles1 0 water | 191 100 95 GrassDryFloor3 0 water | 191 101 95 GrassDryFloor3 0 water | 191 102 95 GrassDryFloor4 0 water | 191 103 95 StonePebbles3 0 water | 191 104 95 Shrub 0 water | 191 105 95 GrassDryFloor1 0 water | 191 106 95 GrassDryFloor4 0 water | 191 107 95 StonePebbles4 0 water | 191 108 95 GrassDryFloor1 0 water | 191 109 95 GrassDryFloor4 0 water | 191 110 95 GrassDryFloor2 0 water | 191 111 95 StoneBoulder 0 water | 191 112 95 GrassDryFloor2 0 water | 191 113 95 GrassDryFloor2 0 water | 191 114 95 GrassDryFloor1 0 water | 191 115 95 GrassDryFloor1 0 water | 191 116 95 GrassDryFloor4 0 water | 191 117 95 GrassDryFloor2 0 water | 191 118 95 GrassDryFloor4 0 water | 191 119 95 GrassDryFloor4 0 water | 191 120 95 GrassDryFloor4 0 water | 191 121 95 GrassDryFloor1 0 water | 191 122 95 GrassDryFloor4 0 water | 191 123 95 GrassDryFloor1 0 water | 191 124 95 GrassDryFloor3 0 water | 191 125 95 GrassDryFloor1 0 water | 191 126 95 GrassDryFloor2 0 water | 191 127 95 GrassDryFloor2 0 water | 191 128 95 GrassDryFloor1 0 water | 191 129 95 GrassDryFloor1 0 water | 191 130 95 GrassDryFloor3 0 water | 191 131 95 GrassDryFloor1 0 water | 191 132 95 Shrub 0 water | 191 133 95 GrassDryFloor1 0 water | 191 134 95 GrassDryFloor4 0 water | 191 135 95 GrassDryFloor1 0 water | 191 136 95 GrassDryFloor4 0 water | 191 137 95 GrassDryFloor3 0 water | 191 138 95 GrassDryFloor2 0 water | 191 139 95 GrassDryFloor4 0 water | 191 140 95 GrassDryFloor2 0 water | 191 141 95 GrassDryFloor4 0 water | 191 142 95 GrassDryFloor1 0 water | 191 143 95 GrassDryFloor4 0 water | 191 144 95 GrassDryFloor2 0 water | 191 145 95 GrassDryFloor4 0 water | 191 146 95 GrassDryFloor1 0 water | 191 147 95 GrassDryFloor3 0 water | 191 148 95 GrassDryFloor4 0 water | 191 149 95 GrassDryFloor2 0 water | 191 150 95 StonePebbles1 0 water | 191 151 95 GrassDryFloor1 0 water | 191 152 95 GrassDryFloor1 0 water | 191 153 95 GrassDryFloor3 0 water | 191 154 95 GrassDryFloor4 0 water | 191 155 95 GrassDryFloor1 0 water | 191 156 95 GrassDryFloor3 0 water | 191 157 95 GrassDryFloor1 0 water | 191 158 95 GrassDryFloor2 0 water | 191 159 95 GrassDryFloor2 0 water | 191 160 95 GrassDryFloor2 0 water | 191 161 95 GrassDryFloor3 0 water | 191 162 95 StoneFloor1 0 water | 191 163 95 GrassDryFloor3 0 water | 191 164 95 GrassDryFloor1 0 water | 191 165 95 GrassDryFloor1 0 water | 191 166 95 GrassDryFloor3 0 water | 191 167 95 StonePebbles2 0 water | 191 168 95 GrassDryFloor2 0 water | 191 169 95 GrassDryFloor1 0 water | 191 170 95 GrassDryFloor3 0 water | 191 171 95 GrassDryFloor2 0 water | 191 172 95 GrassDryFloor4 0 water | 191 173 95 GrassDryFloor3 0 water | 191 174 95 GrassDryFloor2 0 water | 191 175 95 StoneFloor3 0 water | 191 176 95 Shrub 0 water | 191 177 95 GrassDryFloor3 0 water | 191 178 95 GrassDryFloor2 0 water | 191 179 95 StoneFloor4 0 water | 191 180 95 GrassDryFloor1 0 water | 191 181 95 GrassDryFloor2 0 water | 191 182 95 GrassDryFloor4 0 water | 191 183 95 GrassDryFloor3 0 water | 191 184 95 GrassDryFloor2 0 water | 191 185 95 StonePebbles2 0 water | 191 186 95 GrassDryFloor2 0 water | 191 187 95 GrassDryFloor2 0 water | 191 188 95 GrassDryFloor3 0 water | 191 189 95 SoilFloor1 0 water | 191 190 95 GrassDryFloor4 0 water
20260917-175344	river_only	1	16883	2032883	manipulation	local RIVER={['ALLIGATOR']=true,['ALLIGATOR SNAPPING TURTLE']=true,['BEAVER']=true,['BIRD_OSPREY']=true,['CROCODILE_SALTWATER']=true,['FISH_CARP']=true,['FISH_GAR_LONGNOSE']=true,['FISH_LAMPREY_SEA']=true,['FISH_MILKFISH']=true,['FISH_PIKE']=true,['FISH_STINGRAY']=true,['FISH_STURGEON']=true,['FISH_TIGERFISH']=true,['HIPPO']=true,['MINK']=true,['PLATYPUS']=true,['RIVER OTTER']=true,['SNAPPING TURTLE']=true,['SPONGE']=true}; local site=df.world_site.find(df.global.plotinfo.site_id); local x0,x1=math.floor(site.global_min_x/16),math.floor(site.global_max_x/16); local y0,y1=math.floor(site.global_min_y/16),math.floor(site.global_max_y/16); local o,c,k,u=0,0,0,0; for _,p in ipairs(df.global.world.populations.all) do local r=p.population; if p.type==df.world_population_type.Animal then local cr=df.creature_raw.find(p.race); local id=cr and cr.creature_id or ''; local inring=(r.region_x>=x0-1 and r.region_x<=x1+1 and r.region_y>=y0-1 and r.region_y<=y1+1); if RIVER[id] then if p.quantity<50 then p.quantity=50 end; p.flags.extinct=false; o=o+1 elseif inring then if p.quantity_max>=10000000 then u=u+1 end; p.quantity=0; p.flags.extinct=true; c=c+1 else k=k+1 end end end; print(('river whitelist: %d river-species entries open (>=50, any tile, any layer); %d non-river entries on site+ring closed (surface, cavern, feature alike); %d entries beyond the ring left alone; %d of the closed were unbounded (underworld) entries'):format(o,c,k,u))	river whitelist: 329 river-species entries open (>=50, any tile, any layer); 807 non-river entries on site+ring closed (surface, cavern, feature alike); 3337 entries beyond the ring left alone; 84 of the closed were unbounded (underworld) entries
20260917-175344	river_only	1	16883	2032883	manipulation	probe:release all	released 9 unit(s) [all]
20260917-175344	river_only	1	17952	2033952	arrival	180	BIRD_OSPREY caste=FEMALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=26336 vanish=0 flag_src=1 flag_nf=1 pos=131,162,103 listed_at=2033952
20260917-175344	river_only	1	17952	2033952	arrival	181	BIRD_OSPREY caste=FEMALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=25016 vanish=0 flag_src=1 flag_nf=1 pos=170,2,96 listed_at=2033952
20260917-175344	river_only	1	19160	2035160	manipulation	probe:release all	released 2 unit(s) [all]
20260917-175344	river_only	1	19160	2035160	every_applied	1	probe:release all
20260917-175344	river_only	1	20378	2036378	arrival	182	BIRD_OSPREY caste=FEMALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=24937 vanish=0 flag_src=1 flag_nf=1 pos=153,15,112 listed_at=2036378
20260917-175344	river_only	1	20378	2036378	arrival	183	BIRD_OSPREY caste=MALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=26400 vanish=0 flag_src=1 flag_nf=1 pos=144,16,98 listed_at=2036378
20260917-175344	river_only	1	21609	2037609	manipulation	probe:release all	released 2 unit(s) [all]
20260917-175344	river_only	1	21609	2037609	every_applied	2	probe:release all
20260917-175344	river_only	1	22638	2038638	arrival	184	BIRD_OSPREY caste=FEMALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=23980 vanish=0 flag_src=1 flag_nf=1 pos=179,119,105 listed_at=2038638
20260917-175344	river_only	1	22638	2038638	arrival	185	BIRD_OSPREY caste=FEMALE ref6=12,27,-1,-1,-1,6 layer=surface countdown=27995 vanish=0 flag_src=1 flag_nf=1 pos=137,73,109 listed_at=2038638
20260917-175344	river_only	1	22638	2038638	pool_delta	2970	BIRD_OSTRICH ref6=11,27,-1,-1,-1,86 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	2974	BIRD_EAGLE ref6=11,27,-1,-1,-1,103 quantity 21->0 max 21->21 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	2991	BIRD_VULTURE ref6=11,27,-1,-1,-1,140 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	2992	GIANT TORTOISE ref6=11,27,-1,-1,-1,146 quantity 14->0 max 14->14 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	2998	WILD_BOAR ref6=11,27,-1,-1,-1,159 quantity 17->0 max 17->17 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	2999	WEASEL ref6=11,27,-1,-1,-1,170 quantity 23->0 max 23->23 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3000	MONGOOSE ref6=11,27,-1,-1,-1,176 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3001	MONITOR_LIZARD ref6=11,27,-1,-1,-1,177 quantity 3->0 max 3->3 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3002	IMPALA ref6=11,27,-1,-1,-1,180 quantity 10->0 max 10->10 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3003	AARDVARK ref6=11,27,-1,-1,-1,181 quantity 8->0 max 8->8 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3014	CAVY ref6=11,27,-1,-1,-1,230 quantity 11->0 max 11->11 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3015	WARTHOG ref6=11,27,-1,-1,-1,232 quantity 8->0 max 8->8 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3016	GAZELLE ref6=11,27,-1,-1,-1,239 quantity 6->0 max 6->6 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3017	RHINOCEROS ref6=11,27,-1,-1,-1,241 quantity 14->0 max 14->14 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3018	GIRAFFE ref6=11,27,-1,-1,-1,244 quantity 12->0 max 12->12 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3038	POND_GRABBER ref6=11,27,-1,2,-1,8 quantity 19->0 max 19->19 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3039	CROCODILE_CAVE ref6=11,27,-1,2,-1,9 quantity 10->0 max 10->10 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3040	OLM_GIANT ref6=11,27,-1,2,-1,10 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260917-175344	river_only	1	22638	2038638	pool_delta	3041	TOAD_GIANT_CAVE ref6=11,27,-1,2,-1,11 quantity 13->0 max 13->13 discovered 0->0 extinct 0->1
