run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-175344	river_only	1	16883	2032883	2970	BIRD_OSTRICH	Animal	surface	11,27,-1,-1,-1,86	9	9	0	0	0	0
20260917-175344	river_only	1	16883	2032883	2974	BIRD_EAGLE	Animal	surface	11,27,-1,-1,-1,103	21	21	0	0	0	0
20260917-175344	river_only	1	16883	2032883	2991	BIRD_VULTURE	Animal	surface	11,27,-1,-1,-1,140	9	9	0	0	0	0
20260917-175344	river_only	1	16883	2032883	2992	GIANT TORTOISE	Animal	surface	11,27,-1,-1,-1,146	14	14	0	0	0	0
20260917-175344	river_only	1	16883	2032883	2998	WILD_BOAR	Animal	surface	11,27,-1,-1,-1,159	17	17	0	0	0	0
20260917-175344	river_only	1	16883	2032883	2999	WEASEL	Animal	surface	11,27,-1,-1,-1,170	23	23	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3000	MONGOOSE	Animal	surface	11,27,-1,-1,-1,176	9	9	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3001	MONITOR_LIZARD	Animal	surface	11,27,-1,-1,-1,177	3	3	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3002	IMPALA	Animal	surface	11,27,-1,-1,-1,180	10	10	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3003	AARDVARK	Animal	surface	11,27,-1,-1,-1,181	8	8	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3014	CAVY	Animal	surface	11,27,-1,-1,-1,230	11	11	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3015	WARTHOG	Animal	surface	11,27,-1,-1,-1,232	8	8	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3016	GAZELLE	Animal	surface	11,27,-1,-1,-1,239	6	6	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3017	RHINOCEROS	Animal	surface	11,27,-1,-1,-1,241	14	14	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3018	GIRAFFE	Animal	surface	11,27,-1,-1,-1,244	12	12	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3019	BIRD_OSPREY	Animal	feature	11,27,0,-1,-1,0	540	540	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3020	ALLIGATOR	Animal	feature	11,27,0,-1,-1,1	108	108	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3021	FISH_CARP	Animal	feature	11,27,0,-1,-1,2	288	288	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3022	FISH_STINGRAY	Animal	feature	11,27,0,-1,-1,3	378	378	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3023	RIVER OTTER	Animal	feature	11,27,0,-1,-1,4	360	360	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3024	FISH_TIGERFISH	Animal	feature	11,27,0,-1,-1,5	270	270	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3025	CROCODILE_SALTWATER	Animal	feature	11,27,0,-1,-1,6	90	90	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3038	POND_GRABBER	Animal	cavern	11,27,-1,2,-1,8	19	19	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3039	CROCODILE_CAVE	Animal	cavern	11,27,-1,2,-1,9	10	10	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3040	OLM_GIANT	Animal	cavern	11,27,-1,2,-1,10	9	9	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3041	TOAD_GIANT_CAVE	Animal	cavern	11,27,-1,2,-1,11	13	13	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3047	RAT_GIANT	Animal	cavern	11,27,-1,2,-1,17	14	14	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3048	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	11,27,-1,2,-1,18	20	20	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3049	GREMLIN	Animal	cavern	11,27,-1,2,-1,19	1	1	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3050	MOLE_DOG_NAKED	Animal	cavern	11,27,-1,2,-1,20	24	24	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3051	BLIND_CAVE_BEAR	Animal	cavern	11,27,-1,2,-1,21	18	18	0	0	0	0
20260917-175344	river_only	1	16883	2032883	3052	GIANT_EARTHWORM	Animal	cavern	11,27,-1,2,-1,22	16	16	0	0	0	0
