run	arm	rep	tick	abs_tick	subject	metric	value
20260917-175344	river_only	1	16883	2032883	clock	year	5
20260917-175344	river_only	1	16883	2032883	clock	tick	16883
20260917-175344	river_only	1	16883	2032883	clock	season	0
20260917-175344	river_only	1	16883	2032883	clock	paused	1
20260917-175344	river_only	1	16883	2032883	clock	fps_cap	1000.0
20260917-175344	river_only	1	16883	2032883	clock	fps_achieved	144
20260917-175344	river_only	1	16883	2032883	clock	gfps_cap	10.0
20260917-175344	river_only	1	16883	2032883	clock	units_active	36
20260917-175344	river_only	1	16883	2032883	clock	popups	0
20260917-175344	river_only	1	16883	2032883	clock	map	1
20260917-175344	river_only	1	17952	2033952	clock	fps_achieved	412
20260917-175344	river_only	1	17952	2033952	clock	units_active	38
20260917-175344	river_only	1	17952	2033952	clock	popups	0
20260917-175344	river_only	1	17952	2033952	clock	paused	1
20260917-175344	river_only	1	17952	2033952	clock	ticks_per_wall_s	158.3
20260917-175344	river_only	1	17952	2033952	180	arrival_species	BIRD_OSPREY
20260917-175344	river_only	1	17952	2033952	180	arrival_countdown	26336
20260917-175344	river_only	1	17952	2033952	181	arrival_species	BIRD_OSPREY
20260917-175344	river_only	1	17952	2033952	181	arrival_countdown	25016
20260917-175344	river_only	1	17952	2033952	162	countdown	27965
20260917-175344	river_only	1	17952	2033952	162	flag_src	0
20260917-175344	river_only	1	17952	2033952	163	countdown	21467
20260917-175344	river_only	1	17952	2033952	163	flag_src	0
20260917-175344	river_only	1	17952	2033952	164	countdown	24357
20260917-175344	river_only	1	17952	2033952	164	flag_src	0
20260917-175344	river_only	1	17952	2033952	165	countdown	25717
20260917-175344	river_only	1	17952	2033952	165	flag_src	0
20260917-175344	river_only	1	17952	2033952	166	countdown	20127
20260917-175344	river_only	1	17952	2033952	166	flag_src	0
20260917-175344	river_only	1	17952	2033952	167	countdown	25478
20260917-175344	river_only	1	17952	2033952	167	flag_src	0
20260917-175344	river_only	1	17952	2033952	168	countdown	25942
20260917-175344	river_only	1	17952	2033952	168	flag_src	0
20260917-175344	river_only	1	17952	2033952	178	countdown	25648
20260917-175344	river_only	1	17952	2033952	178	flag_src	0
20260917-175344	river_only	1	17952	2033952	179	countdown	22991
20260917-175344	river_only	1	17952	2033952	179	flag_src	0
20260917-175344	river_only	1	17952	2033952	180	countdown	26336
20260917-175344	river_only	1	17952	2033952	180	flag_src	1
20260917-175344	river_only	1	17952	2033952	181	countdown	25016
20260917-175344	river_only	1	17952	2033952	181	flag_src	1
20260917-175344	river_only	1	19160	2035160	clock	fps_achieved	431
20260917-175344	river_only	1	19160	2035160	clock	units_active	38
20260917-175344	river_only	1	19160	2035160	clock	popups	0
20260917-175344	river_only	1	19160	2035160	clock	paused	1
20260917-175344	river_only	1	19160	2035160	clock	ticks_per_wall_s	383.9
20260917-175344	river_only	1	19160	2035160	162	countdown	26757
20260917-175344	river_only	1	19160	2035160	162	flag_src	0
