run	arm	rep	tick	abs_tick	event	subject	detail
20260917-175858	river_only	1	16801	2032801	baseline	wild_present	22
20260917-175858	river_only	1	16801	2032801	present_at_start	168	FISH_STINGRAY ref6=16,23,0,-1,-1,6 countdown=25310 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	169	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=26595 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	170	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=21284 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	171	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=26866 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	172	HIPPO ref6=16,23,0,-1,-1,2 countdown=24717 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	173	HIPPO ref6=16,23,0,-1,-1,2 countdown=21710 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	174	HIPPO ref6=16,23,0,-1,-1,2 countdown=26623 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	175	HIPPO ref6=16,23,0,-1,-1,2 countdown=21636 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	176	HIPPO ref6=16,23,0,-1,-1,2 countdown=29744 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	177	HIPPO ref6=16,23,0,-1,-1,2 countdown=24862 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	178	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=23257 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	179	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=25602 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	180	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=25820 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	181	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21126 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	182	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=26033 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	183	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21680 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	184	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=26048 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	185	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=24325 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	186	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21883 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	187	FISH_STINGRAY ref6=16,23,0,-1,-1,6 countdown=21665 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	188	ALLIGATOR ref6=16,23,0,-1,-1,0 countdown=21684 flag_src=1
20260917-175858	river_only	1	16801	2032801	present_at_start	189	ALLIGATOR ref6=16,23,0,-1,-1,0 countdown=27390 flag_src=1
20260917-175858	river_only	1	16801	2032801	manipulation	local n,zs,minz,maxz=0,{},999,-1; local d=df.global.world.map; local W,H=d.x_count,d.y_count; for z=0,d.z_count-1 do local cnt=0; for x=0,W-1 do for _,y in ipairs({0,H-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; for y=0,H-1 do for _,x in ipairs({0,W-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; if cnt>0 then n=n+cnt; zs[#zs+1]=z..':'..cnt; if z<minz then minz=z end; if z>maxz then maxz=z end end end; print(('edge water: %d edge tiles with water>=4 across z %d..%d [%s]'):format(n, minz, maxz, table.concat(zs,' ')))	edge water: 157 edge tiles with water>=4 across z 74..93 [74:148 93:9]
20260917-175858	river_only	1	16801	2032801	manipulation	local out={}; local ok,err=pcall(function() for i,f in ipairs(df.global.world.features.map_features) do out[#out+1]=i..':'..tostring(f._type) end end); print('map_features:', ok and table.concat(out,' ') or ('err '..tostring(err))); local me={}; for k,v in pairs(df.global.plotinfo.map_edge) do local n; pcall(function() n=#v end); me[#me+1]=tostring(k)..'='..tostring(n or v) end; print('map_edge fields:', table.concat(me,' '))	map_features: 0:<type: feature_init_cavest> 1:<type: feature_init_subterranean_from_layerst> 2:<type: feature_init_subterranean_from_layerst> 3:<type: feature_init_subterranean_from_layerst> 4:<type: feature_init_magma_core_from_layerst> 5:<type: feature_init_underworld_from_layerst> 6:<type: feature_init_outdoor_riverst> 7:<type: feature_init_deep_special_tubest> 8:<type: feature_init_magma_poolst> 9:<type: feature_init_deep_special_tubest> 10:<type: feature_init_deep_special_tubest> 11:<type: feature_init_deep_special_tubest> | map_edge fields: layer_x=5 surface_x=396 layer_y=5 surface_y=396 layer_z=5 surface_z=396
