17:58:58 run E26b-RIVER4 20260917-175858: River creatures, and only river creatures, allowed to spawn on RIVER4, a fort placed on region tile 16,23 where the river runs north to south through the tile,. Every non-vermin creature carrying a RIVER biome token in the vanilla raws (19 species; RIVER4 is temperate shrubland) is opened at 50 on every tile in every layer; every other Animal entry on the site and its ring, surface, cavern, underworld and feature alike, is closed (the first pass left the unbounded underworld entries open and twelve demons tripped the stop rule); every hold in every layer released, and released again every 1500 ticks. Edge water at every z, the map's feature list and map_edge's fields are logged first. Any arrival at all is a river creature. Runs to 403,200 ticks or six arrivals.
17:58:58   [rig] DF already running (pid 33717), port 5555
17:58:58 == E26b-RIVER4 arm=river_only rep=1 fort=RIVER4 budget=403200 every=1000
17:58:59   [rig] restored RIVER4.preverify -> /Users/nathanielcannon/Library/Application Support/CrossOver/Bottles/Win10/drive_c/users/crossover/AppData/Roaming/Bay 12 Games/Dwarf Fortress/save/RIVER4
17:58:59   restored RIVER4.preverify -> RIVER4 sha256 3845f4f26682
17:59:31   [rig] clicked through to RIVER4 (world: Udon Alu); waiting for the map
17:59:31   [rig] loaded after 12s (screen=viewscreen_dwarfmodest focus=dwarfmode/Default world=true map=true paused=true modal=false year=5 tick=16801 season=0 units=46)
17:59:31   [rig] drained 0 queued popup(s)
17:59:32   baseline: 22 wild units on map, 684 pool entries, tick 16801 year 5
17:59:38   manipulation: local n,zs,minz,maxz=0,{},999,-1; local d=df.global.world.map; local W,H=d.x_count,d.y_count; for z=0,d.z_count-1 do local cnt=0; for x=0,W-1 do for _,y in ipairs({0,H-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; for y=0,H-1 do for _,x in ipairs({0,W-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; if cnt>0 then n=n+cnt; zs[#zs+1]=z..':'..cnt; if z<minz then minz=z end; if z>maxz then maxz=z end end end; print(('edge water: %d edge tiles with water>=4 across z %d..%d [%s]'):format(n, minz, maxz, table.concat(zs,' '))) -> edge water: 157 edge tiles with water>=4 across z 74..93 [74:148 93:9]
17:59:38   manipulation: local out={}; local ok,err=pcall(function() for i,f in ipairs(df.global.world.features.map_features) do out[#out+1]=i..':'..tostring(f._type) end end); print('map_features:', ok and table.concat(out,' ') or ('err '..tostring(err))); local me={}; for k,v in pairs(df.global.plotinfo.map_edge) do local n; pcall(function() n=#v end); me[#me+1]=tostring(k)..'='..tostring(n or v) end; print('map_edge fields:', table.concat(me,' ')) -> map_features:	0:<type: feature_init_cavest> 1:<type: feature_init_subterranean_from_layerst> 2:<type: feature_init_subterranean_from_layerst> 3:<type: feature_init_subterranean_from_layerst> 4:<type: feature_init_magma_core_from_layerst> 5:<type: feature_init_underworld_from_layerst> 6:<type: feature_init_outdoor_riverst> 7:<type: feature_init_deep_special_tubest> 8:<type: feature_init_magma_poolst> 9:<type: feature_init_deep_special_tubest> 10:<type: feature_init_deep_special_tubest> 11:<type: feature_init_deep_special_tubest>
map_edge fields:	layer_x=5 surface_x=396 layer_y=5 surface_y=396 layer_z=5 surface_z=396
17:59:38   manipulation: probe:edge -> x	y	z	tiletype	water	liquid
0	0	96	GrassLightFloor1	0	water
1	0	96	GrassLightFloor4	0	water
2	0	96	GrassDarkFloor2	0	water
3	0	96	GrassDarkFloor3	0	water
4	0	96	GrassLightFloor4	0	water
5	0	96	GrassDarkFloor2	0	water
6	0	96	GrassDarkFloor4	0	water
7	0	96	GrassDarkFloor2	0	water
8	0	96	GrassLightFloor2	0	water
9	0	96	GrassLightFloor1	0	water
10	0	96	GrassDarkFloor2	0	water
11	0	96	GrassDarkFloor3	0	water
12	0	96	GrassDarkFloor1	0	water
13	0	96	GrassLightFloor2	0	water
14	0	96	Shrub	0	water
15	0	96	GrassLightFloor4	0	water
16	0	96	GrassDarkFloor3	0	water
17	0	96	GrassDarkFloor3	0	water
18	0	96	StonePebbles3	0	water
19	0	96	StoneBoulder	0	water
20	0	96	StoneFloor4	0	water
21	0	96	Shrub	0	water
22	0	96	GrassDarkFloor4	0	water
23	0	96	GrassLightFloor1	0	water
24	0	96	GrassLightFloor2	0	water
25	0	96	GrassLightFloor2	0	water
26	0	96	GrassLightFloor3	0	water
27	0	96	GrassDarkFloor3	0	water
28	0	96	StonePebbles1	0	water
29	0	96	GrassLightFloor3	0	water
30	0	96	GrassLightFloor3	0	water
31	0	96	StoneFloor2	0	water
32	0	95	GrassLightRamp	0	water
33	0	95	GrassDarkFloor3	0	water
34	0	95	GrassDarkFloor3	0	water
35	0	95	GrassLightFloor1	0	water
36	0	95	GrassDarkFloor1	0	water
37	0	95	StoneFloor3	0	water
38	0	95	GrassLightFloor1	0	water
39	0	95	GrassDarkFloor3	0	water
40	0	95	GrassDarkFloor4	0	water
41	0	95	GrassLightFloor3	0	water
42	0	95	GrassLightFloor2	0	water
43	0	95	GrassDarkFloor4	0	water
44	0	95	GrassLightFloor3	0	water
45	0	95	GrassDarkFloor3	0	water
46	0	95	GrassDarkFloor1	0	water
47	0	95	GrassDarkFloor1	0	water
48	0	95	GrassDarkFloor4	0	water
49	0	95	GrassLightFloor2	0	water
50	0	95	GrassLightFloor4	0	water
51	0	95	GrassDarkFloor2	0	water
52	0	95	GrassLightFloor2	0	water
53	0	95	GrassDarkFloor2	0	water
54	0	95	GrassLightFloor1	0	water
55	0	95	StonePebbles4	0	water
56	0	95	GrassLightFloor1	0	water
57	0	95	GrassDarkFloor2	0	water
58	0	95	GrassDarkFloor4	0	water
59	0	95	GrassDarkFloor2	0	water
60	0	95	Shrub	0	water
61	0	95	GrassDarkFloor3	0	water
62	0	95	GrassDarkFloor1	0	water
63	0	95	GrassLightFloor2	0	water
64	0	95	GrassDarkFloor4	0	water
65	0	95	GrassLightFloor1	0	water
66	0	95	GrassLightFloor3	0	water
67	0	95	GrassDarkFloor1	0	water
68	0	95	GrassLightFloor4	0	water
69	0	95	GrassLightFloor3	0	water
70	0	95	GrassDarkFloor3	0	water
71	0	95	GrassLightFloor4	0	water
72	0	95	GrassDarkFloor4	0	water
73	0	95	GrassLightFloor3	0	water
74	0	95	Shrub	0	water
75	0	95	GrassLightFloor2	0	water
76	0	95	GrassLightFloor2	0	water
77	0	95	GrassLightFloor4	0	water
78	0	95	GrassDarkFloor2	0	water
79	0	95	GrassLightFloor4	0	water
80	0	95	Shrub	0	water
81	0	95	GrassDarkFloor2	0	water
82	0	95	GrassDarkFloor1	0	water
