run	arm	rep	tick	abs_tick	subject	metric	value
20260917-175858	river_only	1	16801	2032801	clock	year	5
20260917-175858	river_only	1	16801	2032801	clock	tick	16801
20260917-175858	river_only	1	16801	2032801	clock	season	0
20260917-175858	river_only	1	16801	2032801	clock	paused	1
20260917-175858	river_only	1	16801	2032801	clock	fps_cap	1000.0
20260917-175858	river_only	1	16801	2032801	clock	fps_achieved	111
20260917-175858	river_only	1	16801	2032801	clock	gfps_cap	10.0
20260917-175858	river_only	1	16801	2032801	clock	units_active	46
20260917-175858	river_only	1	16801	2032801	clock	popups	0
20260917-175858	river_only	1	16801	2032801	clock	map	1
20260917-175858	river_only	1	17934	2033934	clock	fps_achieved	309
20260917-175858	river_only	1	17934	2033934	clock	units_active	46
20260917-175858	river_only	1	17934	2033934	clock	popups	0
20260917-175858	river_only	1	17934	2033934	clock	paused	1
20260917-175858	river_only	1	17934	2033934	clock	ticks_per_wall_s	129.9
20260917-175858	river_only	1	17934	2033934	168	countdown	24177
20260917-175858	river_only	1	17934	2033934	168	flag_src	0
20260917-175858	river_only	1	17934	2033934	169	countdown	25462
20260917-175858	river_only	1	17934	2033934	169	flag_src	0
20260917-175858	river_only	1	17934	2033934	170	countdown	20151
20260917-175858	river_only	1	17934	2033934	170	flag_src	0
20260917-175858	river_only	1	17934	2033934	171	countdown	25733
20260917-175858	river_only	1	17934	2033934	171	flag_src	0
20260917-175858	river_only	1	17934	2033934	172	countdown	23584
20260917-175858	river_only	1	17934	2033934	172	flag_src	0
20260917-175858	river_only	1	17934	2033934	173	countdown	20577
20260917-175858	river_only	1	17934	2033934	173	flag_src	0
20260917-175858	river_only	1	17934	2033934	174	countdown	25490
20260917-175858	river_only	1	17934	2033934	174	flag_src	0
20260917-175858	river_only	1	17934	2033934	175	countdown	20503
20260917-175858	river_only	1	17934	2033934	175	flag_src	0
20260917-175858	river_only	1	17934	2033934	176	countdown	28611
20260917-175858	river_only	1	17934	2033934	176	flag_src	0
20260917-175858	river_only	1	17934	2033934	177	countdown	23729
20260917-175858	river_only	1	17934	2033934	177	flag_src	0
20260917-175858	river_only	1	17934	2033934	178	countdown	22124
20260917-175858	river_only	1	17934	2033934	178	flag_src	0
20260917-175858	river_only	1	17934	2033934	179	countdown	24469
20260917-175858	river_only	1	17934	2033934	179	flag_src	0
20260917-175858	river_only	1	17934	2033934	180	countdown	24687
20260917-175858	river_only	1	17934	2033934	180	flag_src	0
20260917-175858	river_only	1	17934	2033934	181	countdown	19993
20260917-175858	river_only	1	17934	2033934	181	flag_src	0
20260917-175858	river_only	1	17934	2033934	182	countdown	24900
20260917-175858	river_only	1	17934	2033934	182	flag_src	0
20260917-175858	river_only	1	17934	2033934	183	countdown	20547
20260917-175858	river_only	1	17934	2033934	183	flag_src	0
20260917-175858	river_only	1	17934	2033934	184	countdown	24915
20260917-175858	river_only	1	17934	2033934	184	flag_src	0
20260917-175858	river_only	1	17934	2033934	185	countdown	23192
20260917-175858	river_only	1	17934	2033934	185	flag_src	0
20260917-175858	river_only	1	17934	2033934	186	countdown	20750
20260917-175858	river_only	1	17934	2033934	186	flag_src	0
20260917-175858	river_only	1	17934	2033934	187	countdown	20532
20260917-175858	river_only	1	17934	2033934	187	flag_src	0
20260917-175858	river_only	1	17934	2033934	188	countdown	20551
20260917-175858	river_only	1	17934	2033934	188	flag_src	0
20260917-175858	river_only	1	17934	2033934	189	countdown	26257
20260917-175858	river_only	1	17934	2033934	189	flag_src	0
20260917-175858	river_only	1	19074	2035074	clock	fps_achieved	549
20260917-175858	river_only	1	19074	2035074	clock	units_active	46
20260917-175858	river_only	1	19074	2035074	clock	popups	0
20260917-175858	river_only	1	19074	2035074	clock	paused	1
20260917-175858	river_only	1	19074	2035074	clock	ticks_per_wall_s	352.2
20260917-175858	river_only	1	19074	2035074	168	countdown	23037
20260917-175858	river_only	1	19074	2035074	168	flag_src	0
20260917-175858	river_only	1	19074	2035074	169	countdown	24322
20260917-175858	river_only	1	19074	2035074	169	flag_src	0
