run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-175858	river_only	1	16801	2032801	168	FISH_STINGRAY	FEMALE	31	103	93	16,23,0,-1,-1,6	feature	25310	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	169	RIVER OTTER	MALE	11	143	93	16,23,0,-1,-1,3	feature	26595	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	170	RIVER OTTER	MALE	11	146	93	16,23,0,-1,-1,3	feature	21284	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	171	RIVER OTTER	MALE	11	144	93	16,23,0,-1,-1,3	feature	26866	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	172	HIPPO	MALE	84	110	93	16,23,0,-1,-1,2	feature	24717	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	173	HIPPO	MALE	86	110	93	16,23,0,-1,-1,2	feature	21710	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	174	HIPPO	MALE	88	111	93	16,23,0,-1,-1,2	feature	26623	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	175	HIPPO	FEMALE	85	110	93	16,23,0,-1,-1,2	feature	21636	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	176	HIPPO	MALE	84	110	93	16,23,0,-1,-1,2	feature	29744	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	177	HIPPO	FEMALE	87	109	93	16,23,0,-1,-1,2	feature	24862	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	178	FISH_CARP	FEMALE	136	93	93	16,23,0,-1,-1,5	feature	23257	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	179	FISH_CARP	FEMALE	137	93	93	16,23,0,-1,-1,5	feature	25602	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	180	FISH_CARP	FEMALE	134	92	93	16,23,0,-1,-1,5	feature	25820	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	181	FISH_CARP	MALE	134	93	93	16,23,0,-1,-1,5	feature	21126	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	182	FISH_CARP	FEMALE	137	94	93	16,23,0,-1,-1,5	feature	26033	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	183	FISH_CARP	MALE	133	91	93	16,23,0,-1,-1,5	feature	21680	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	184	FISH_CARP	MALE	133	91	93	16,23,0,-1,-1,5	feature	26048	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	185	FISH_CARP	MALE	137	91	93	16,23,0,-1,-1,5	feature	24325	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	186	FISH_CARP	MALE	136	92	93	16,23,0,-1,-1,5	feature	21883	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	187	FISH_STINGRAY	FEMALE	109	106	93	16,23,0,-1,-1,6	feature	21665	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	188	ALLIGATOR	MALE	150	87	93	16,23,0,-1,-1,0	feature	21684	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	16801	2032801	189	ALLIGATOR	MALE	149	88	93	16,23,0,-1,-1,0	feature	27390	0	1	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	168	FISH_STINGRAY	FEMALE	31	105	93	16,23,0,-1,-1,6	feature	24177	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	169	RIVER OTTER	MALE	23	142	94	16,23,0,-1,-1,3	feature	25462	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	170	RIVER OTTER	MALE	20	147	94	16,23,0,-1,-1,3	feature	20151	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	171	RIVER OTTER	MALE	11	152	93	16,23,0,-1,-1,3	feature	25733	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	172	HIPPO	MALE	95	121	94	16,23,0,-1,-1,2	feature	23584	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	173	HIPPO	MALE	92	116	94	16,23,0,-1,-1,2	feature	20577	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	174	HIPPO	MALE	88	111	93	16,23,0,-1,-1,2	feature	25490	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	175	HIPPO	FEMALE	85	110	93	16,23,0,-1,-1,2	feature	20503	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	176	HIPPO	MALE	85	109	93	16,23,0,-1,-1,2	feature	28611	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	177	HIPPO	FEMALE	84	110	93	16,23,0,-1,-1,2	feature	23729	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	178	FISH_CARP	FEMALE	113	104	93	16,23,0,-1,-1,5	feature	22124	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	179	FISH_CARP	FEMALE	122	94	93	16,23,0,-1,-1,5	feature	24469	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	180	FISH_CARP	FEMALE	130	94	93	16,23,0,-1,-1,5	feature	24687	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	181	FISH_CARP	MALE	134	92	93	16,23,0,-1,-1,5	feature	19993	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	182	FISH_CARP	FEMALE	136	94	93	16,23,0,-1,-1,5	feature	24900	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	183	FISH_CARP	MALE	137	94	93	16,23,0,-1,-1,5	feature	20547	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	184	FISH_CARP	MALE	136	93	93	16,23,0,-1,-1,5	feature	24915	0	0	0	0	0	-1	0	1
20260917-175858	river_only	1	17934	2033934	185	FISH_CARP	MALE	133	91	93	16,23,0,-1,-1,5	feature	23192	0	0	0	0	0	-1	0	1
