17:33:44 run E26b 20260917-173344: River creatures, and only river creatures, allowed to spawn on RIVER3. Every non-vermin creature carrying a RIVER biome token in the vanilla raws (19 species; RIVER3 holds the tropical ten in its river feature entries) is opened at 50 on every tile in every layer; every other Animal entry on the site and its ring, surface, cavern, underworld and feature alike, is closed (the first pass left the unbounded underworld entries open and twelve demons tripped the stop rule); every hold in every layer released, and released again every 1500 ticks. Edge water at every z, the map's feature list and map_edge's fields are logged first. Any arrival at all is a river creature. Runs to 403,200 ticks or six arrivals.
17:33:44   [rig] DF already running (pid 33717), port 5555
17:33:44 == E26b arm=river_only rep=1 fort=RIVER3 budget=403200 every=1000
17:33:45   [rig] restored RIVER3.preverify -> /Users/nathanielcannon/Library/Application Support/CrossOver/Bottles/Win10/drive_c/users/crossover/AppData/Roaming/Bay 12 Games/Dwarf Fortress/save/RIVER3
17:33:45   restored RIVER3.preverify -> RIVER3 sha256 a6e181ec539f
17:34:10   [rig] clicked through to RIVER3 (world: Udon Alu); waiting for the map
17:34:10   [rig] loaded after 12s (screen=viewscreen_dwarfmodest focus=dwarfmode/Default world=true map=true paused=true modal=false year=5 tick=16801 season=0 units=21)
17:34:10   [rig] drained 0 queued popup(s)
17:34:11   baseline: 3 wild units on map, 683 pool entries, tick 16801 year 5
17:34:16   manipulation: local n,zs,minz,maxz=0,{},999,-1; local d=df.global.world.map; local W,H=d.x_count,d.y_count; for z=0,d.z_count-1 do local cnt=0; for x=0,W-1 do for _,y in ipairs({0,H-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; for y=0,H-1 do for _,x in ipairs({0,W-1}) do local b=dfhack.maps.getTileBlock(x,y,z); if b then local des=b.designation[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type then cnt=cnt+1 end end end end; if cnt>0 then n=n+cnt; zs[#zs+1]=z..':'..cnt; if z<minz then minz=z end; if z>maxz then maxz=z end end end; print(('edge water: %d edge tiles with water>=4 across z %d..%d [%s]'):format(n, minz, maxz, table.concat(zs,' '))) -> edge water: 25 edge tiles with water>=4 across z 57..73 [57:17 73:8]
17:34:16   manipulation: local out={}; local ok,err=pcall(function() for i,f in ipairs(df.global.world.features.map_features) do out[#out+1]=i..':'..tostring(f._type) end end); print('map_features:', ok and table.concat(out,' ') or ('err '..tostring(err))); local me={}; for k,v in pairs(df.global.plotinfo.map_edge) do local n; pcall(function() n=#v end); me[#me+1]=tostring(k)..'='..tostring(n or v) end; print('map_edge fields:', table.concat(me,' ')) -> map_features:	0:<type: feature_init_subterranean_from_layerst> 1:<type: feature_init_subterranean_from_layerst> 2:<type: feature_init_subterranean_from_layerst> 3:<type: feature_init_magma_core_from_layerst> 4:<type: feature_init_underworld_from_layerst> 5:<type: feature_init_outdoor_riverst> 6:<type: feature_init_deep_special_tubest> 7:<type: feature_init_deep_special_tubest> 8:<type: feature_init_cavest> 9:<type: feature_init_subterranean_from_layerst> 10:<type: feature_init_deep_special_tubest> 11:<type: feature_init_deep_special_tubest> 12:<type: feature_init_cavest>
map_edge fields:	layer_x=5 surface_x=1068 layer_y=5 surface_y=1068 layer_z=5 surface_z=1068
17:34:16   manipulation: probe:edge -> x	y	z	tiletype	water	liquid
54	0	76	TreeBranches	0	water
55	0	76	TreeBranchN	0	water
56	0	76	TreeBranches	0	water
57	0	76	TreeBranchN	0	water
58	0	76	TreeBranches	0	water
64	0	76	GrassDarkFloor1	0	water
64	191	77	GrassDarkFloor4	0	water
65	0	76	GrassDarkFloor2	0	water
65	191	77	GrassDarkFloor3	0	water
66	0	76	GrassDarkFloor1	0	water
66	191	77	Shrub	0	water
67	0	76	GrassDarkFloor1	0	water
67	191	77	Shrub	0	water
68	0	76	GrassLightFloor4	0	water
68	191	77	Shrub	0	water
69	0	76	GrassLightFloor2	0	water
69	191	77	GrassDarkFloor2	0	water
70	0	76	Shrub	0	water
70	191	77	GrassLightFloor3	0	water
71	0	76	GrassLightFloor3	0	water
71	191	77	StonePebbles2	0	water
72	0	76	GrassLightFloor3	0	water
72	191	77	GrassDarkFloor2	0	water
73	0	76	GrassLightFloor2	0	water
73	191	77	GrassDarkFloor4	0	water
74	0	76	GrassLightFloor2	0	water
74	191	77	GrassLightFloor4	0	water
75	0	76	GrassLightFloor4	0	water
75	191	77	StoneFloor4	0	water
76	0	76	GrassDarkFloor4	0	water
76	191	77	GrassLightFloor2	0	water
77	0	76	GrassDarkFloor2	0	water
77	191	77	GrassLightFloor2	0	water
78	0	76	Shrub	0	water
78	191	77	GrassDarkFloor2	0	water
79	0	76	GrassLightFloor1	0	water
79	191	77	Shrub	0	water
80	0	76	GrassLightFloor4	0	water
80	191	77	GrassDarkFloor3	0	water
81	0	76	GrassLightFloor1	0	water
81	191	77	GrassDarkFloor4	0	water
82	0	76	StoneFloor4	0	water
82	191	77	GrassLightFloor2	0	water
83	0	76	StoneFloor4	0	water
83	191	77	GrassDarkFloor4	0	water
84	0	76	SoilFloor1	0	water
84	191	77	GrassDarkFloor4	0	water
85	0	76	GrassDarkFloor4	0	water
85	191	77	GrassDarkFloor2	0	water
86	0	76	GrassLightFloor3	0	water
86	191	77	GrassDarkFloor1	0	water
87	0	76	GrassDarkFloor4	0	water
87	191	77	GrassLightFloor2	0	water
88	0	76	GrassLightFloor3	0	water
88	191	77	GrassDarkFloor2	0	water
89	0	76	GrassDarkFloor1	0	water
89	191	77	Shrub	0	water
90	0	76	GrassDarkFloor3	0	water
90	191	77	GrassDarkFloor4	0	water
91	0	76	GrassDarkFloor3	0	water
91	191	77	GrassLightFloor4	0	water
92	0	76	GrassLightFloor1	0	water
92	191	77	GrassDarkFloor4	0	water
93	0	76	GrassDarkFloor4	0	water
93	191	77	StoneFloor4	0	water
94	0	76	GrassLightFloor3	0	water
94	191	77	GrassLightFloor1	0	water
95	0	76	SoilFloor2	0	water
95	191	77	Shrub	0	water
96	0	76	GrassDarkFloor4	0	water
96	191	77	GrassLightFloor3	0	water
97	0	76	GrassLightFloor1	0	water
97	191	77	GrassLightFloor2	0	water
98	0	76	GrassLightFloor1	0	water
98	191	77	GrassLightFloor2	0	water
99	0	76	GrassDarkFloor3	0	water
99	191	77	GrassLightFloor1	0	water
100	0	76	StonePebbles4	0	water
100	191	77	GrassDarkFloor4	0	water
101	0	76	GrassDarkFloor4	0	water
101	191	77	GrassDarkFloor3	0	water
102	0	76	StoneFloor1	0	water
102	191	77	SoilFloor2	0	water
103	0	76	GrassDarkFloor4	0	water
103	191	77	GrassLightFloor1	0	water
