run	arm	rep	tick	abs_tick	subject	metric	value
20260917-173344	river_only	1	16801	2032801	clock	year	5
20260917-173344	river_only	1	16801	2032801	clock	tick	16801
20260917-173344	river_only	1	16801	2032801	clock	season	0
20260917-173344	river_only	1	16801	2032801	clock	paused	1
20260917-173344	river_only	1	16801	2032801	clock	fps_cap	1000.0
20260917-173344	river_only	1	16801	2032801	clock	fps_achieved	149
20260917-173344	river_only	1	16801	2032801	clock	gfps_cap	10.0
20260917-173344	river_only	1	16801	2032801	clock	units_active	21
20260917-173344	river_only	1	16801	2032801	clock	popups	0
20260917-173344	river_only	1	16801	2032801	clock	map	1
20260917-173344	river_only	1	18390	2034390	clock	fps_achieved	539
20260917-173344	river_only	1	18390	2034390	clock	units_active	21
20260917-173344	river_only	1	18390	2034390	clock	popups	0
20260917-173344	river_only	1	18390	2034390	clock	paused	1
20260917-173344	river_only	1	18390	2034390	clock	ticks_per_wall_s	284.2
20260917-173344	river_only	1	18390	2034390	162	countdown	28337
20260917-173344	river_only	1	18390	2034390	162	flag_src	0
20260917-173344	river_only	1	18390	2034390	163	countdown	26810
20260917-173344	river_only	1	18390	2034390	163	flag_src	0
20260917-173344	river_only	1	18390	2034390	164	countdown	20246
20260917-173344	river_only	1	18390	2034390	164	flag_src	0
20260917-173344	river_only	1	19701	2035701	clock	fps_achieved	671
20260917-173344	river_only	1	19701	2035701	clock	units_active	21
20260917-173344	river_only	1	19701	2035701	clock	popups	0
20260917-173344	river_only	1	19701	2035701	clock	paused	1
20260917-173344	river_only	1	19701	2035701	clock	ticks_per_wall_s	568.5
20260917-173344	river_only	1	19701	2035701	162	countdown	27026
20260917-173344	river_only	1	19701	2035701	162	flag_src	0
20260917-173344	river_only	1	19701	2035701	163	countdown	25499
20260917-173344	river_only	1	19701	2035701	163	flag_src	0
20260917-173344	river_only	1	19701	2035701	164	countdown	18935
20260917-173344	river_only	1	19701	2035701	164	flag_src	0
20260917-173344	river_only	1	20994	2036994	clock	fps_achieved	921
20260917-173344	river_only	1	20994	2036994	clock	units_active	21
20260917-173344	river_only	1	20994	2036994	clock	popups	0
20260917-173344	river_only	1	20994	2036994	clock	paused	1
20260917-173344	river_only	1	20994	2036994	clock	ticks_per_wall_s	573.4
20260917-173344	river_only	1	20994	2036994	162	countdown	25733
20260917-173344	river_only	1	20994	2036994	162	flag_src	0
20260917-173344	river_only	1	20994	2036994	163	countdown	24206
20260917-173344	river_only	1	20994	2036994	163	flag_src	0
20260917-173344	river_only	1	20994	2036994	164	countdown	17642
20260917-173344	river_only	1	20994	2036994	164	flag_src	0
20260917-173344	river_only	1	22453	2038453	clock	fps_achieved	1004
20260917-173344	river_only	1	22453	2038453	clock	units_active	21
20260917-173344	river_only	1	22453	2038453	clock	popups	0
20260917-173344	river_only	1	22453	2038453	clock	paused	1
20260917-173344	river_only	1	22453	2038453	clock	ticks_per_wall_s	614.9
20260917-173344	river_only	1	22453	2038453	162	countdown	24274
20260917-173344	river_only	1	22453	2038453	162	flag_src	0
20260917-173344	river_only	1	22453	2038453	163	countdown	22747
20260917-173344	river_only	1	22453	2038453	163	flag_src	0
20260917-173344	river_only	1	22453	2038453	164	countdown	16183
20260917-173344	river_only	1	22453	2038453	164	flag_src	0
