run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-173344	river_only	1	16801	2032801	162	PLATYPUS	FEMALE	1	135	73	19,24,0,-1,-1,6	feature	29926	0	1	0	0	0	-1	0	1
20260917-173344	river_only	1	16801	2032801	163	PLATYPUS	FEMALE	13	165	73	19,24,0,-1,-1,6	feature	28399	0	1	0	0	0	-1	0	1
20260917-173344	river_only	1	16801	2032801	164	BIRD_EAGLE	MALE	129	158	75	19,24,-1,-1,-1,103	surface	21835	0	1	1	0	0	-1	0	1
20260917-173344	river_only	1	18390	2034390	162	PLATYPUS	FEMALE	33	154	74	19,24,0,-1,-1,6	feature	28337	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	18390	2034390	163	PLATYPUS	FEMALE	35	177	75	19,24,0,-1,-1,6	feature	26810	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	18390	2034390	164	BIRD_EAGLE	MALE	145	114	87	19,24,-1,-1,-1,103	surface	20246	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	19701	2035701	162	PLATYPUS	FEMALE	56	140	74	19,24,0,-1,-1,6	feature	27026	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	19701	2035701	163	PLATYPUS	FEMALE	48	149	75	19,24,0,-1,-1,6	feature	25499	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	19701	2035701	164	BIRD_EAGLE	MALE	181	127	87	19,24,-1,-1,-1,103	surface	18935	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	20994	2036994	162	PLATYPUS	FEMALE	95	144	74	19,24,0,-1,-1,6	feature	25733	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	20994	2036994	163	PLATYPUS	FEMALE	70	162	75	19,24,0,-1,-1,6	feature	24206	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	20994	2036994	164	BIRD_EAGLE	MALE	184	59	84	19,24,-1,-1,-1,103	surface	17642	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	22453	2038453	162	PLATYPUS	FEMALE	116	158	75	19,24,0,-1,-1,6	feature	24274	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	22453	2038453	163	PLATYPUS	FEMALE	86	163	75	19,24,0,-1,-1,6	feature	22747	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	22453	2038453	164	BIRD_EAGLE	MALE	184	35	87	19,24,-1,-1,-1,103	surface	16183	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	23689	2039689	162	PLATYPUS	FEMALE	130	173	75	19,24,0,-1,-1,6	feature	23038	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	23689	2039689	163	PLATYPUS	FEMALE	116	158	75	19,24,0,-1,-1,6	feature	21510	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	23689	2039689	164	BIRD_EAGLE	MALE	191	92	83	19,24,-1,-1,-1,103	surface	14947	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	24930	2040930	162	PLATYPUS	FEMALE	97	185	76	19,24,0,-1,-1,6	feature	21797	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	24930	2040930	163	PLATYPUS	FEMALE	142	147	75	19,24,0,-1,-1,6	feature	20269	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	24930	2040930	164	BIRD_EAGLE	MALE	139	133	83	19,24,-1,-1,-1,103	surface	13706	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	26233	2042233	162	PLATYPUS	FEMALE	65	171	75	19,24,0,-1,-1,6	feature	20494	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	26233	2042233	163	PLATYPUS	FEMALE	174	141	76	19,24,0,-1,-1,6	feature	18966	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	26233	2042233	164	BIRD_EAGLE	MALE	139	67	88	19,24,-1,-1,-1,103	surface	12403	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	27360	2043360	162	PLATYPUS	FEMALE	36	177	75	19,24,0,-1,-1,6	feature	19367	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	27360	2043360	163	PLATYPUS	FEMALE	190	151	76	19,24,0,-1,-1,6	feature	17839	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	27360	2043360	164	BIRD_EAGLE	MALE	116	11	84	19,24,-1,-1,-1,103	surface	11276	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	28777	2044777	162	PLATYPUS	FEMALE	53	188	76	19,24,0,-1,-1,6	feature	17950	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	28777	2044777	163	PLATYPUS	FEMALE	177	185	76	19,24,0,-1,-1,6	feature	16422	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	28777	2044777	164	BIRD_EAGLE	MALE	182	29	85	19,24,-1,-1,-1,103	surface	9859	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	29981	2045981	162	PLATYPUS	FEMALE	26	169	75	19,24,0,-1,-1,6	feature	16746	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	29981	2045981	163	PLATYPUS	FEMALE	180	175	77	19,24,0,-1,-1,6	feature	15218	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	29981	2045981	164	BIRD_EAGLE	MALE	190	70	82	19,24,-1,-1,-1,103	surface	8655	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	31303	2047303	162	PLATYPUS	FEMALE	26	167	74	19,24,0,-1,-1,6	feature	15424	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	31303	2047303	163	PLATYPUS	FEMALE	160	169	75	19,24,0,-1,-1,6	feature	13896	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	31303	2047303	164	BIRD_EAGLE	MALE	179	158	85	19,24,-1,-1,-1,103	surface	7333	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	32514	2048514	162	PLATYPUS	FEMALE	27	149	74	19,24,0,-1,-1,6	feature	14213	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	32514	2048514	163	PLATYPUS	FEMALE	141	172	75	19,24,0,-1,-1,6	feature	12685	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	32514	2048514	164	BIRD_EAGLE	MALE	148	143	79	19,24,-1,-1,-1,103	surface	6122	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	33794	2049794	162	PLATYPUS	FEMALE	38	157	74	19,24,0,-1,-1,6	feature	12933	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	33794	2049794	163	PLATYPUS	FEMALE	124	152	75	19,24,0,-1,-1,6	feature	11405	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	33794	2049794	164	BIRD_EAGLE	MALE	128	112	85	19,24,-1,-1,-1,103	surface	4842	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	34886	2050886	162	PLATYPUS	FEMALE	62	160	75	19,24,0,-1,-1,6	feature	11841	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	34886	2050886	163	PLATYPUS	FEMALE	109	122	73	19,24,0,-1,-1,6	feature	10313	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	34886	2050886	164	BIRD_EAGLE	MALE	137	168	83	19,24,-1,-1,-1,103	surface	3750	0	0	0	0	0	-1	0	1
20260917-173344	river_only	1	36174	2052174	162	PLATYPUS	FEMALE	79	155	75	19,24,0,-1,-1,6	feature	10552	0	0	0	0	0	-1	0	1
