run	arm	rep	tick	abs_tick	event	subject	detail
20260917-183513	river_edge_registered	1	16801	2032801	baseline	wild_present	22
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	168	FISH_STINGRAY ref6=16,23,0,-1,-1,6 countdown=25310 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	169	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=26595 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	170	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=21284 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	171	RIVER OTTER ref6=16,23,0,-1,-1,3 countdown=26866 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	172	HIPPO ref6=16,23,0,-1,-1,2 countdown=24717 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	173	HIPPO ref6=16,23,0,-1,-1,2 countdown=21710 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	174	HIPPO ref6=16,23,0,-1,-1,2 countdown=26623 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	175	HIPPO ref6=16,23,0,-1,-1,2 countdown=21636 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	176	HIPPO ref6=16,23,0,-1,-1,2 countdown=29744 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	177	HIPPO ref6=16,23,0,-1,-1,2 countdown=24862 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	178	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=23257 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	179	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=25602 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	180	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=25820 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	181	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21126 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	182	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=26033 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	183	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21680 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	184	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=26048 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	185	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=24325 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	186	FISH_CARP ref6=16,23,0,-1,-1,5 countdown=21883 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	187	FISH_STINGRAY ref6=16,23,0,-1,-1,6 countdown=21665 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	188	ALLIGATOR ref6=16,23,0,-1,-1,0 countdown=21684 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	present_at_start	189	ALLIGATOR ref6=16,23,0,-1,-1,0 countdown=27390 flag_src=1
20260917-183513	river_edge_registered	1	16801	2032801	manipulation	local RIVER={['ALLIGATOR']=true,['ALLIGATOR SNAPPING TURTLE']=true,['BEAVER']=true,['BIRD_OSPREY']=true,['CROCODILE_SALTWATER']=true,['FISH_CARP']=true,['FISH_GAR_LONGNOSE']=true,['FISH_LAMPREY_SEA']=true,['FISH_MILKFISH']=true,['FISH_PIKE']=true,['FISH_STINGRAY']=true,['FISH_STURGEON']=true,['FISH_TIGERFISH']=true,['HIPPO']=true,['MINK']=true,['PLATYPUS']=true,['RIVER OTTER']=true,['SNAPPING TURTLE']=true,['SPONGE']=true}; local site=df.world_site.find(df.global.plotinfo.site_id); local x0,x1=math.floor(site.global_min_x/16),math.floor(site.global_max_x/16); local y0,y1=math.floor(site.global_min_y/16),math.floor(site.global_max_y/16); local o,c,k,u=0,0,0,0; for _,p in ipairs(df.global.world.populations.all) do local r=p.population; if p.type==df.world_population_type.Animal then local cr=df.creature_raw.find(p.race); local id=cr and cr.creature_id or ''; local inring=(r.region_x>=x0-1 and r.region_x<=x1+1 and r.region_y>=y0-1 and r.region_y<=y1+1); if RIVER[id] then if p.quantity<50 then p.quantity=50 end; p.flags.extinct=false; o=o+1 elseif inring then if p.quantity_max>=10000000 then u=u+1 end; p.quantity=0; p.flags.extinct=true; c=c+1 else k=k+1 end end end; print(('river whitelist: %d river-species entries open (>=50, any tile, any layer); %d non-river entries on site+ring closed (surface, cavern, feature alike); %d entries beyond the ring left alone; %d of the closed were unbounded (underworld) entries'):format(o,c,k,u))	river whitelist: 245 river-species entries open (>=50, any tile, any layer); 621 non-river entries on site+ring closed (surface, cavern, feature alike); 2888 entries beyond the ring left alone; 63 of the closed were unbounded (underworld) entries
20260917-183513	river_edge_registered	1	16801	2032801	manipulation	local me=df.global.plotinfo.map_edge; local d=df.global.world.map; local W,H=d.x_count,d.y_count; local before=#me.surface_x; local n=0; local function try(x,y,z) local b=dfhack.maps.getTileBlock(x,y,z); if not b then return end; local des=b.designation[x%16][y%16]; local tt=b.tiletype[x%16][y%16]; if des.flow_size>=4 and not des.liquid_type and df.tiletype.attrs[tt].material==df.tiletype_material.RIVER then me.surface_x:insert('#',x); me.surface_y:insert('#',y); me.surface_z:insert('#',z); n=n+1 end end; for z=0,d.z_count-1 do for x=0,W-1 do try(x,0,z); try(x,H-1,z) end; for y=1,H-2 do try(0,y,z); try(W-1,y,z) end end; print(('map_edge: %d river-water edge tiles appended to the surface entry list (%d -> %d)'):format(n, before, #me.surface_x))	map_edge: 9 river-water edge tiles appended to the surface entry list (396 -> 405)
