run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-184029	land_capable_only	1	16801	2032801	3234	BIRD_EMU	Animal	surface	15,22,-1,-1,-1,95	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3236	BIRD_EAGLE	Animal	surface	15,22,-1,-1,-1,103	21	21	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3248	BIRD_TURKEY	Animal	surface	15,22,-1,-1,-1,123	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3254	WOLF	Animal	surface	15,22,-1,-1,-1,134	5	5	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3255	GROUNDHOG	Animal	surface	15,22,-1,-1,-1,135	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3261	WILD_BOAR	Animal	surface	15,22,-1,-1,-1,159	17	17	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3262	KANGAROO	Animal	surface	15,22,-1,-1,-1,160	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3263	ADDER	Animal	surface	15,22,-1,-1,-1,161	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3264	ECHIDNA	Animal	surface	15,22,-1,-1,-1,162	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3265	KINGSNAKE	Animal	surface	15,22,-1,-1,-1,164	6	6	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3266	SKUNK	Animal	surface	15,22,-1,-1,-1,166	10	10	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3267	WEASEL	Animal	surface	15,22,-1,-1,-1,170	23	23	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3268	OPOSSUM	Animal	surface	15,22,-1,-1,-1,174	7	7	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3269	CRETACEOUS_CARNOTAURUS	Animal	surface	15,22,-1,-1,-1,198	3	3	0	0	0	0
20260917-184029	land_capable_only	1	16801	2032801	3272	HIPPO	Animal	feature	15,22,0,-1,-1,0	760	760	0	0	0	0
