run	arm	rep	tick	abs_tick	subject	metric	value
20260917-184029	land_capable_only	1	16801	2032801	clock	year	5
20260917-184029	land_capable_only	1	16801	2032801	clock	tick	16801
20260917-184029	land_capable_only	1	16801	2032801	clock	season	0
20260917-184029	land_capable_only	1	16801	2032801	clock	paused	1
20260917-184029	land_capable_only	1	16801	2032801	clock	fps_cap	1000.0
20260917-184029	land_capable_only	1	16801	2032801	clock	fps_achieved	174
20260917-184029	land_capable_only	1	16801	2032801	clock	gfps_cap	10.0
20260917-184029	land_capable_only	1	16801	2032801	clock	units_active	46
20260917-184029	land_capable_only	1	16801	2032801	clock	popups	0
20260917-184029	land_capable_only	1	16801	2032801	clock	map	1
20260917-184029	land_capable_only	1	17912	2033912	clock	fps_achieved	590
20260917-184029	land_capable_only	1	17912	2033912	clock	units_active	46
20260917-184029	land_capable_only	1	17912	2033912	clock	popups	0
20260917-184029	land_capable_only	1	17912	2033912	clock	paused	1
20260917-184029	land_capable_only	1	17912	2033912	clock	ticks_per_wall_s	231.3
20260917-184029	land_capable_only	1	17912	2033912	168	countdown	24199
20260917-184029	land_capable_only	1	17912	2033912	168	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	169	countdown	25484
20260917-184029	land_capable_only	1	17912	2033912	169	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	170	countdown	20173
20260917-184029	land_capable_only	1	17912	2033912	170	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	171	countdown	25755
20260917-184029	land_capable_only	1	17912	2033912	171	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	172	countdown	23606
20260917-184029	land_capable_only	1	17912	2033912	172	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	173	countdown	20599
20260917-184029	land_capable_only	1	17912	2033912	173	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	174	countdown	25512
20260917-184029	land_capable_only	1	17912	2033912	174	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	175	countdown	20525
20260917-184029	land_capable_only	1	17912	2033912	175	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	176	countdown	28633
20260917-184029	land_capable_only	1	17912	2033912	176	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	177	countdown	23751
20260917-184029	land_capable_only	1	17912	2033912	177	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	178	countdown	22146
20260917-184029	land_capable_only	1	17912	2033912	178	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	179	countdown	24491
20260917-184029	land_capable_only	1	17912	2033912	179	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	180	countdown	24709
20260917-184029	land_capable_only	1	17912	2033912	180	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	181	countdown	20015
20260917-184029	land_capable_only	1	17912	2033912	181	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	182	countdown	24922
20260917-184029	land_capable_only	1	17912	2033912	182	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	183	countdown	20569
20260917-184029	land_capable_only	1	17912	2033912	183	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	184	countdown	24937
20260917-184029	land_capable_only	1	17912	2033912	184	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	185	countdown	23214
20260917-184029	land_capable_only	1	17912	2033912	185	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	186	countdown	20772
20260917-184029	land_capable_only	1	17912	2033912	186	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	187	countdown	20554
20260917-184029	land_capable_only	1	17912	2033912	187	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	188	countdown	20573
20260917-184029	land_capable_only	1	17912	2033912	188	flag_src	0
20260917-184029	land_capable_only	1	17912	2033912	189	countdown	26279
20260917-184029	land_capable_only	1	17912	2033912	189	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	clock	fps_achieved	583
20260917-184029	land_capable_only	1	19028	2035028	clock	units_active	46
20260917-184029	land_capable_only	1	19028	2035028	clock	popups	0
20260917-184029	land_capable_only	1	19028	2035028	clock	paused	1
20260917-184029	land_capable_only	1	19028	2035028	clock	ticks_per_wall_s	405.2
20260917-184029	land_capable_only	1	19028	2035028	168	countdown	23083
20260917-184029	land_capable_only	1	19028	2035028	168	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	169	countdown	24368
20260917-184029	land_capable_only	1	19028	2035028	169	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	170	countdown	19057
20260917-184029	land_capable_only	1	19028	2035028	170	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	171	countdown	24639
20260917-184029	land_capable_only	1	19028	2035028	171	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	172	countdown	22490
20260917-184029	land_capable_only	1	19028	2035028	172	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	173	countdown	19483
20260917-184029	land_capable_only	1	19028	2035028	173	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	174	countdown	24396
20260917-184029	land_capable_only	1	19028	2035028	174	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	175	countdown	19409
20260917-184029	land_capable_only	1	19028	2035028	175	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	176	countdown	27517
20260917-184029	land_capable_only	1	19028	2035028	176	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	177	countdown	22635
20260917-184029	land_capable_only	1	19028	2035028	177	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	178	countdown	21030
20260917-184029	land_capable_only	1	19028	2035028	178	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	179	countdown	23375
20260917-184029	land_capable_only	1	19028	2035028	179	flag_src	0
20260917-184029	land_capable_only	1	19028	2035028	180	countdown	23593
