run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-184029	land_capable_only	1	16801	2032801	168	FISH_STINGRAY	FEMALE	31	103	93	16,23,0,-1,-1,6	feature	25310	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	169	RIVER OTTER	MALE	11	143	93	16,23,0,-1,-1,3	feature	26595	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	170	RIVER OTTER	MALE	11	146	93	16,23,0,-1,-1,3	feature	21284	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	171	RIVER OTTER	MALE	11	144	93	16,23,0,-1,-1,3	feature	26866	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	172	HIPPO	MALE	84	110	93	16,23,0,-1,-1,2	feature	24717	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	173	HIPPO	MALE	86	110	93	16,23,0,-1,-1,2	feature	21710	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	174	HIPPO	MALE	88	111	93	16,23,0,-1,-1,2	feature	26623	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	175	HIPPO	FEMALE	85	110	93	16,23,0,-1,-1,2	feature	21636	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	176	HIPPO	MALE	84	110	93	16,23,0,-1,-1,2	feature	29744	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	177	HIPPO	FEMALE	87	109	93	16,23,0,-1,-1,2	feature	24862	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	178	FISH_CARP	FEMALE	136	93	93	16,23,0,-1,-1,5	feature	23257	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	179	FISH_CARP	FEMALE	137	93	93	16,23,0,-1,-1,5	feature	25602	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	180	FISH_CARP	FEMALE	134	92	93	16,23,0,-1,-1,5	feature	25820	0	1	0	0	0	-1	0	1	-1
20260917-184029	land_capable_only	1	16801	2032801	181	FISH_CARP	MALE	134	93	93	16,23,0,-1,-1,5	feature	21126	0	1	0	0	0	-1	0	1	-1
