run	arm	rep	token	seasons	allowed
20260918-221851	armed	1	RAT	0,1	1
20260918-221851	armed	1	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-221851	armed	1	BIRD_MAGPIE	0,1,2,3	1
20260918-221851	armed	1	BIRD_RAVEN	0,1,2,3	1
20260918-221851	armed	1	POND_TURTLE	0,1	1
20260918-221851	armed	1	MOSQUITO	0,1	1
20260918-221851	armed	1	COUGAR	0,1	1
20260918-221851	armed	1	DINGO	0,1	1
20260918-221851	armed	1	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-221851	armed	1	WOMBAT	2,3	1
20260918-221851	armed	1	BIRD_BLUEJAY	2,3	1
20260918-221851	armed	1	GROUNDHOG	0,1,2,3	1
20260918-221851	armed	1	WOLF	2,3	1
20260918-221851	armed	1	BADGER	0,1,2,3	1
20260918-221851	armed	1	BIRD_KESTREL	0,1,2,3	1
20260918-221851	armed	1	FLY	0,1	1
20260918-221851	armed	1	BIRD_EMU	2,3	1
20260918-221851	armed	1	PORCUPINE	0,1,2,3	1
20260918-221851	armed	1	KANGAROO	0,1,2,3	1
20260918-221851	armed	1	BIRD_KAKAPO	2,3	1
20260918-221851	armed	1	HAMSTER	0,1	1
20260918-221851	armed	1	TOAD	0,1	1
20260918-221851	armed	1	SKUNK	0,1,2,3	1
20260918-221851	armed	1	BIRD_CARDINAL	2,3	1
20260918-221851	armed	2	RAT	0,1	1
20260918-221851	armed	2	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-221851	armed	2	BIRD_MAGPIE	0,1,2,3	1
20260918-221851	armed	2	BIRD_RAVEN	0,1,2,3	1
20260918-221851	armed	2	POND_TURTLE	0,1	1
20260918-221851	armed	2	MOSQUITO	0,1	1
20260918-221851	armed	2	COUGAR	0,1	1
20260918-221851	armed	2	DINGO	0,1	1
20260918-221851	armed	2	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-221851	armed	2	WOMBAT	2,3	1
20260918-221851	armed	2	BIRD_BLUEJAY	2,3	1
20260918-221851	armed	2	GROUNDHOG	0,1,2,3	1
20260918-221851	armed	2	WOLF	2,3	1
20260918-221851	armed	2	BADGER	0,1,2,3	1
20260918-221851	armed	2	BIRD_KESTREL	0,1,2,3	1
20260918-221851	armed	2	FLY	0,1	1
20260918-221851	armed	2	BIRD_EMU	2,3	1
20260918-221851	armed	2	PORCUPINE	0,1,2,3	1
20260918-221851	armed	2	KANGAROO	0,1,2,3	1
20260918-221851	armed	2	BIRD_KAKAPO	2,3	1
20260918-221851	armed	2	HAMSTER	0,1	1
20260918-221851	armed	2	TOAD	0,1	1
20260918-221851	armed	2	SKUNK	0,1,2,3	1
20260918-221851	armed	2	BIRD_CARDINAL	2,3	1
20260918-221851	control	1	RAT	0,1	1
20260918-221851	control	1	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-221851	control	1	BIRD_MAGPIE	0,1,2,3	1
20260918-221851	control	1	BIRD_RAVEN	0,1,2,3	1
20260918-221851	control	1	POND_TURTLE	0,1	1
20260918-221851	control	1	MOSQUITO	0,1	1
20260918-221851	control	1	COUGAR	0,1	1
20260918-221851	control	1	DINGO	0,1	1
20260918-221851	control	1	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-221851	control	1	WOMBAT	2,3	1
20260918-221851	control	1	BIRD_BLUEJAY	2,3	1
20260918-221851	control	1	GROUNDHOG	0,1,2,3	1
20260918-221851	control	1	WOLF	2,3	1
20260918-221851	control	1	BADGER	0,1,2,3	1
20260918-221851	control	1	BIRD_KESTREL	0,1,2,3	1
20260918-221851	control	1	FLY	0,1	1
20260918-221851	control	1	BIRD_EMU	2,3	1
20260918-221851	control	1	PORCUPINE	0,1,2,3	1
20260918-221851	control	1	KANGAROO	0,1,2,3	1
20260918-221851	control	1	BIRD_KAKAPO	2,3	1
20260918-221851	control	1	HAMSTER	0,1	1
20260918-221851	control	1	TOAD	0,1	1
20260918-221851	control	1	SKUNK	0,1,2,3	1
20260918-221851	control	1	BIRD_CARDINAL	2,3	1
20260918-221851	control	2	RAT	0,1	1
20260918-221851	control	2	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260918-221851	control	2	BIRD_MAGPIE	0,1,2,3	1
20260918-221851	control	2	BIRD_RAVEN	0,1,2,3	1
20260918-221851	control	2	POND_TURTLE	0,1	1
20260918-221851	control	2	MOSQUITO	0,1	1
20260918-221851	control	2	COUGAR	0,1	1
20260918-221851	control	2	DINGO	0,1	1
20260918-221851	control	2	BIRD_OWL_GREAT_HORNED	0,1,2,3	1
20260918-221851	control	2	WOMBAT	2,3	1
20260918-221851	control	2	BIRD_BLUEJAY	2,3	1
20260918-221851	control	2	GROUNDHOG	0,1,2,3	1
20260918-221851	control	2	WOLF	2,3	1
20260918-221851	control	2	BADGER	0,1,2,3	1
20260918-221851	control	2	BIRD_KESTREL	0,1,2,3	1
20260918-221851	control	2	FLY	0,1	1
20260918-221851	control	2	BIRD_EMU	2,3	1
20260918-221851	control	2	PORCUPINE	0,1,2,3	1
20260918-221851	control	2	KANGAROO	0,1,2,3	1
20260918-221851	control	2	BIRD_KAKAPO	2,3	1
20260918-221851	control	2	HAMSTER	0,1	1
20260918-221851	control	2	TOAD	0,1	1
20260918-221851	control	2	SKUNK	0,1,2,3	1
20260918-221851	control	2	BIRD_CARDINAL	2,3	1
