run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260918-214322	armed	1	35493	841893	139	PORCUPINE	54	2	34820	The cougar scratches the porcupine in the first left front toe, shattering the nail!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	55	2	34820	The force pulls the left front paw, tearing apart the skin and bruising the muscle!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	56	2	34825	The cougar attacks the porcupine but She jumps away!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	61	2	35441	The cougar scratches the porcupine in the upper body, tearing the fat!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	62	2	35443	The cougar charges at the porcupine!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	63	2	35443	The cougar collides with the porcupine!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	64	2	35443	The porcupine is knocked over and tumbles backward!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	65	2	35445	The cougar bites the porcupine in the right front paw, tearing apart the fat!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	66	2	35449	The cougar bites the porcupine in the right rear leg, tearing the muscle and bruising the bone!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	67	2	35449	An artery has been opened by the attack, many nerves have been severed and a tendon has been torn!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	68	2	35456	The cougar scratches the porcupine in the upper body, tearing the fat and bruising the muscle and bruising the liver!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	69	2	35461	The cougar scratches the porcupine in the left front paw, tearing the fat and bruising the muscle!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	70	2	35461	The force bends the left front leg!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	71	2	35465	The cougar scratches the porcupine in the tail, tearing the fat and bruising the bone!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	72	2	35473	The cougar scratches the porcupine in the upper body, tearing the fat and bruising the muscle, shattering the right false ribs and bruising the right lung!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	73	2	35474	The porcupine is no longer stunned.
20260918-214322	armed	1	35493	841893	139	PORCUPINE	74	2	35481	The cougar bites the porcupine in the right front paw, tearing apart the muscle and bruising the bone!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	75	2	35481	An artery has been opened by the attack, a motor nerve has been severed, a ligament has been torn and a tendon has been torn!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	76	2	35485	The porcupine bites the cougar in the left rear paw, denting the skin and bruising the fat!
20260918-214322	armed	1	35493	841893	139	PORCUPINE	77	2	35486	The cougar shakes the porcupine around by the right front paw and the severed part sails off in an arc!
