run	arm	rep	tick	abs_tick	subject	metric	value
20260918-214322	armed	1	16800	823200	clock	year	2
20260918-214322	armed	1	16800	823200	clock	tick	16800
20260918-214322	armed	1	16800	823200	clock	season	0
20260918-214322	armed	1	16800	823200	clock	paused	1
20260918-214322	armed	1	16800	823200	clock	fps_cap	1000.0
20260918-214322	armed	1	16800	823200	clock	fps_achieved	125
20260918-214322	armed	1	16800	823200	clock	gfps_cap	10.0
20260918-214322	armed	1	16800	823200	clock	units_active	31
20260918-214322	armed	1	16800	823200	clock	popups	0
20260918-214322	armed	1	16800	823200	clock	map	1
20260918-214322	armed	1	19849	826249	clock	fps_achieved	335
20260918-214322	armed	1	19849	826249	clock	units_active	58
20260918-214322	armed	1	19849	826249	clock	popups	0
20260918-214322	armed	1	19849	826249	clock	paused	1
20260918-214322	armed	1	19849	826249	clock	ticks_per_wall_s	192.6
20260918-214322	armed	1	19849	826249	139	arrival_species	PORCUPINE
20260918-214322	armed	1	19849	826249	139	arrival_countdown	23415
20260918-214322	armed	1	19849	826249	140	arrival_species	GORLAK
20260918-214322	armed	1	19849	826249	140	arrival_countdown	21645
20260918-214322	armed	1	19849	826249	141	arrival_species	TROGLODYTE
20260918-214322	armed	1	19849	826249	141	arrival_countdown	19883
20260918-214322	armed	1	19849	826249	142	arrival_species	TROGLODYTE
20260918-214322	armed	1	19849	826249	142	arrival_countdown	25599
20260918-214322	armed	1	19849	826249	143	arrival_species	TROGLODYTE
20260918-214322	armed	1	19849	826249	143	arrival_countdown	21508
20260918-214322	armed	1	19849	826249	144	arrival_species	TROGLODYTE
20260918-214322	armed	1	19849	826249	144	arrival_countdown	23416
20260918-214322	armed	1	19849	826249	145	arrival_species	TROGLODYTE
20260918-214322	armed	1	19849	826249	145	arrival_countdown	25625
20260918-214322	armed	1	19849	826249	146	arrival_species	DEMON_16
20260918-214322	armed	1	19849	826249	146	arrival_countdown	25687
20260918-214322	armed	1	19849	826249	147	arrival_species	DEMON_16
20260918-214322	armed	1	19849	826249	147	arrival_countdown	18241
20260918-214322	armed	1	19849	826249	148	arrival_species	DEMON_16
20260918-214322	armed	1	19849	826249	148	arrival_countdown	26144
20260918-214322	armed	1	19849	826249	149	arrival_species	DEMON_16
20260918-214322	armed	1	19849	826249	149	arrival_countdown	18002
