run	arm	rep	tick	abs_tick	subject	metric	value
20260918-082312	placed	1	16883	2032883	clock	year	5
20260918-082312	placed	1	16883	2032883	clock	tick	16883
20260918-082312	placed	1	16883	2032883	clock	season	0
20260918-082312	placed	1	16883	2032883	clock	paused	1
20260918-082312	placed	1	16883	2032883	clock	fps_cap	1000.0
20260918-082312	placed	1	16883	2032883	clock	fps_achieved	118
20260918-082312	placed	1	16883	2032883	clock	gfps_cap	10.0
20260918-082312	placed	1	16883	2032883	clock	units_active	36
20260918-082312	placed	1	16883	2032883	clock	popups	0
20260918-082312	placed	1	16883	2032883	clock	map	1
20260918-082312	placed	1	17962	2033962	clock	fps_achieved	312
20260918-082312	placed	1	17962	2033962	clock	units_active	73
20260918-082312	placed	1	17962	2033962	clock	popups	0
20260918-082312	placed	1	17962	2033962	clock	paused	1
20260918-082312	placed	1	17962	2033962	clock	ticks_per_wall_s	189.6
20260918-082312	placed	1	17962	2033962	180	arrival_species	FISH_TIGERFISH
20260918-082312	placed	1	17962	2033962	180	arrival_countdown	23921
20260918-082312	placed	1	17962	2033962	181	arrival_species	FISH_MILKFISH
20260918-082312	placed	1	17962	2033962	181	arrival_countdown	23921
20260918-082312	placed	1	17962	2033962	182	arrival_species	RIVER OTTER
20260918-082312	placed	1	17962	2033962	182	arrival_countdown	23921
20260918-082312	placed	1	17962	2033962	183	arrival_species	HIPPO
20260918-082312	placed	1	17962	2033962	183	arrival_countdown	23921
20260918-082312	placed	1	17962	2033962	184	arrival_species	FISH_MILKFISH
20260918-082312	placed	1	17962	2033962	184	arrival_countdown	23921
20260918-082312	placed	1	17962	2033962	185	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	185	arrival_countdown	28716
20260918-082312	placed	1	17962	2033962	186	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	186	arrival_countdown	22494
20260918-082312	placed	1	17962	2033962	187	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	187	arrival_countdown	26126
20260918-082312	placed	1	17962	2033962	188	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	188	arrival_countdown	27966
20260918-082312	placed	1	17962	2033962	189	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	189	arrival_countdown	23338
20260918-082312	placed	1	17962	2033962	190	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	190	arrival_countdown	27195
20260918-082312	placed	1	17962	2033962	191	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	191	arrival_countdown	25324
20260918-082312	placed	1	17962	2033962	192	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	192	arrival_countdown	19403
20260918-082312	placed	1	17962	2033962	193	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	193	arrival_countdown	24062
20260918-082312	placed	1	17962	2033962	194	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	194	arrival_countdown	22169
20260918-082312	placed	1	17962	2033962	195	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	195	arrival_countdown	24517
20260918-082312	placed	1	17962	2033962	196	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	196	arrival_countdown	22342
20260918-082312	placed	1	17962	2033962	197	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	197	arrival_countdown	24343
20260918-082312	placed	1	17962	2033962	198	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	198	arrival_countdown	24553
20260918-082312	placed	1	17962	2033962	199	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	199	arrival_countdown	28586
20260918-082312	placed	1	17962	2033962	200	arrival_species	CRUNDLE
20260918-082312	placed	1	17962	2033962	200	arrival_countdown	20014
20260918-082312	placed	1	17962	2033962	201	arrival_species	DEMON_1
20260918-082312	placed	1	17962	2033962	201	arrival_countdown	24381
20260918-082312	placed	1	17962	2033962	202	arrival_species	BIRD_EAGLE
20260918-082312	placed	1	17962	2033962	202	arrival_countdown	28913
20260918-082312	placed	1	17962	2033962	203	arrival_species	DEMON_1
20260918-082312	placed	1	17962	2033962	203	arrival_countdown	26138
20260918-082312	placed	1	17962	2033962	204	arrival_species	DEMON_1
20260918-082312	placed	1	17962	2033962	204	arrival_countdown	20323
20260918-082312	placed	1	17962	2033962	205	arrival_species	DEMON_1
20260918-082312	placed	1	17962	2033962	205	arrival_countdown	24474
20260918-082312	placed	1	17962	2033962	206	arrival_species	OLM_GIANT
20260918-082312	placed	1	17962	2033962	206	arrival_countdown	21121
20260918-082312	placed	1	17962	2033962	207	arrival_species	BUGBAT
