run	arm	rep	tick	abs_tick	subject	metric	value
20260919-135416	toggle	1	16800	823200	clock	year	2
20260919-135416	toggle	1	16800	823200	clock	tick	16800
20260919-135416	toggle	1	16800	823200	clock	season	0
20260919-135416	toggle	1	16800	823200	clock	paused	1
20260919-135416	toggle	1	16800	823200	clock	fps_cap	10000.0
20260919-135416	toggle	1	16800	823200	clock	fps_achieved	87
20260919-135416	toggle	1	16800	823200	clock	gfps_cap	10.0
20260919-135416	toggle	1	16800	823200	clock	units_active	31
20260919-135416	toggle	1	16800	823200	clock	popups	0
20260919-135416	toggle	1	16800	823200	clock	map	1
20260919-135416	toggle	1	16802	823202	clock	fps_achieved	389
20260919-135416	toggle	1	16802	823202	clock	units_active	31
20260919-135416	toggle	1	16802	823202	clock	popups	0
20260919-135416	toggle	1	16802	823202	clock	paused	1
20260919-135416	toggle	1	16802	823202	clock	ticks_per_wall_s	0.1
20260919-135416	toggle	1	16802	823202	126	countdown	26905
20260919-135416	toggle	1	16802	823202	126	flag_src	1
20260919-135416	toggle	1	16802	823202	127	countdown	24654
20260919-135416	toggle	1	16802	823202	127	flag_src	1
20260919-135416	toggle	1	16802	823202	128	countdown	22795
20260919-135416	toggle	1	16802	823202	128	flag_src	1
20260919-135416	toggle	1	16802	823202	129	countdown	23450
20260919-135416	toggle	1	16802	823202	129	flag_src	1
20260919-135416	toggle	1	16802	823202	130	countdown	28304
20260919-135416	toggle	1	16802	823202	130	flag_src	1
20260919-135416	toggle	1	16802	823202	131	countdown	24329
20260919-135416	toggle	1	16802	823202	131	flag_src	1
20260919-135416	toggle	1	16802	823202	132	countdown	26150
20260919-135416	toggle	1	16802	823202	132	flag_src	1
20260919-135416	toggle	1	16802	823202	133	countdown	26533
20260919-135416	toggle	1	16802	823202	133	flag_src	1
20260919-135416	toggle	1	16802	823202	134	countdown	27542
20260919-135416	toggle	1	16802	823202	134	flag_src	1
20260919-135416	toggle	1	16802	823202	135	countdown	26283
20260919-135416	toggle	1	16802	823202	135	flag_src	1
20260919-135416	toggle	1	16802	823202	136	countdown	25305
20260919-135416	toggle	1	16802	823202	136	flag_src	1
20260919-135416	toggle	1	16802	823202	137	countdown	24992
20260919-135416	toggle	1	16802	823202	137	flag_src	1
20260919-135416	toggle	1	16802	823202	138	countdown	21555
20260919-135416	toggle	1	16802	823202	138	flag_src	1
20260919-135416	toggle	1	18903	825303	clock	fps_achieved	319
20260919-135416	toggle	1	18903	825303	clock	units_active	51
20260919-135416	toggle	1	18903	825303	clock	popups	0
20260919-135416	toggle	1	18903	825303	clock	paused	1
20260919-135416	toggle	1	18903	825303	clock	ticks_per_wall_s	218.9
20260919-135416	toggle	1	18903	825303	139	arrival_species	BIRD_OWL_GREAT_HORNED
20260919-135416	toggle	1	18903	825303	139	arrival_countdown	22585
20260919-135416	toggle	1	18903	825303	140	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	140	arrival_countdown	21122
20260919-135416	toggle	1	18903	825303	141	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	141	arrival_countdown	23170
20260919-135416	toggle	1	18903	825303	142	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	142	arrival_countdown	18303
20260919-135416	toggle	1	18903	825303	143	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	143	arrival_countdown	24473
20260919-135416	toggle	1	18903	825303	144	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	144	arrival_countdown	23889
20260919-135416	toggle	1	18903	825303	145	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	145	arrival_countdown	26669
20260919-135416	toggle	1	18903	825303	146	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	146	arrival_countdown	23112
20260919-135416	toggle	1	18903	825303	147	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	147	arrival_countdown	26760
20260919-135416	toggle	1	18903	825303	148	arrival_species	TROGLODYTE
20260919-135416	toggle	1	18903	825303	148	arrival_countdown	28930
20260919-135416	toggle	1	18903	825303	149	arrival_species	CROCODILE_CAVE
20260919-135416	toggle	1	18903	825303	149	arrival_countdown	22228
20260919-135416	toggle	1	18903	825303	150	arrival_species	DEMON_18
20260919-135416	toggle	1	18903	825303	150	arrival_countdown	21061
20260919-135416	toggle	1	18903	825303	151	arrival_species	DEMON_18
20260919-135416	toggle	1	18903	825303	151	arrival_countdown	23204
20260919-135416	toggle	1	18903	825303	152	arrival_species	DEMON_18
20260919-135416	toggle	1	18903	825303	152	arrival_countdown	26324
20260919-135416	toggle	1	18903	825303	153	arrival_species	DEMON_18
20260919-135416	toggle	1	18903	825303	153	arrival_countdown	24160
20260919-135416	toggle	1	18903	825303	154	arrival_species	BIRD_KESTREL
20260919-135416	toggle	1	18903	825303	154	arrival_countdown	20328
20260919-135416	toggle	1	18903	825303	155	arrival_species	BLIND_CAVE_OGRE
20260919-135416	toggle	1	18903	825303	155	arrival_countdown	19367
20260919-135416	toggle	1	18903	825303	156	arrival_species	BLIND_CAVE_OGRE
20260919-135416	toggle	1	18903	825303	156	arrival_countdown	20861
20260919-135416	toggle	1	18903	825303	157	arrival_species	BLIND_CAVE_OGRE
20260919-135416	toggle	1	18903	825303	157	arrival_countdown	21437
20260919-135416	toggle	1	18903	825303	158	arrival_species	BIRD_OWL_GREAT_HORNED
20260919-135416	toggle	1	18903	825303	158	arrival_countdown	22407
20260919-135416	toggle	1	18903	825303	126	countdown	24804
20260919-135416	toggle	1	18903	825303	126	flag_src	1
20260919-135416	toggle	1	18903	825303	127	countdown	22553
20260919-135416	toggle	1	18903	825303	127	flag_src	1
20260919-135416	toggle	1	18903	825303	128	countdown	20694
20260919-135416	toggle	1	18903	825303	128	flag_src	1
20260919-135416	toggle	1	18903	825303	129	countdown	21349
20260919-135416	toggle	1	18903	825303	129	flag_src	1
20260919-135416	toggle	1	18903	825303	130	countdown	26203
20260919-135416	toggle	1	18903	825303	130	flag_src	1
20260919-135416	toggle	1	18903	825303	131	countdown	22228
20260919-135416	toggle	1	18903	825303	131	flag_src	1
20260919-135416	toggle	1	18903	825303	132	countdown	24049
20260919-135416	toggle	1	18903	825303	132	flag_src	1
20260919-135416	toggle	1	18903	825303	133	countdown	24432
20260919-135416	toggle	1	18903	825303	133	flag_src	1
20260919-135416	toggle	1	18903	825303	134	countdown	25441
20260919-135416	toggle	1	18903	825303	134	flag_src	1
20260919-135416	toggle	1	18903	825303	135	countdown	24182
20260919-135416	toggle	1	18903	825303	135	flag_src	1
20260919-135416	toggle	1	18903	825303	136	countdown	23204
20260919-135416	toggle	1	18903	825303	136	flag_src	1
20260919-135416	toggle	1	18903	825303	137	countdown	22891
20260919-135416	toggle	1	18903	825303	137	flag_src	1
20260919-135416	toggle	1	18903	825303	138	countdown	19454
20260919-135416	toggle	1	18903	825303	138	flag_src	1
20260919-135416	toggle	1	18903	825303	139	countdown	22585
20260919-135416	toggle	1	18903	825303	139	flag_src	1
20260919-135416	toggle	1	18903	825303	140	countdown	21122
20260919-135416	toggle	1	18903	825303	140	flag_src	1
20260919-135416	toggle	1	18903	825303	141	countdown	23170
20260919-135416	toggle	1	18903	825303	141	flag_src	1
20260919-135416	toggle	1	18903	825303	142	countdown	18303
20260919-135416	toggle	1	18903	825303	142	flag_src	1
20260919-135416	toggle	1	18903	825303	143	countdown	24473
20260919-135416	toggle	1	18903	825303	143	flag_src	1
20260919-135416	toggle	1	18903	825303	144	countdown	23889
20260919-135416	toggle	1	18903	825303	144	flag_src	1
20260919-135416	toggle	1	18903	825303	145	countdown	26669
20260919-135416	toggle	1	18903	825303	145	flag_src	1
20260919-135416	toggle	1	18903	825303	146	countdown	23112
20260919-135416	toggle	1	18903	825303	146	flag_src	1
20260919-135416	toggle	1	18903	825303	147	countdown	26760
20260919-135416	toggle	1	18903	825303	147	flag_src	1
20260919-135416	toggle	1	18903	825303	148	countdown	28930
20260919-135416	toggle	1	18903	825303	148	flag_src	1
20260919-135416	toggle	1	18903	825303	149	countdown	22228
