run	arm	rep	tick	abs_tick	event	subject	detail
20260916-222735	feature_only	1	16883	2032883	baseline	wild_present	9
20260916-222735	feature_only	1	16883	2032883	present_at_start	162	FISH_STINGRAY ref6=13,28,0,-1,-1,6 countdown=29034 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	163	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=22536 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	164	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=25426 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	165	HIPPO ref6=13,28,0,-1,-1,5 countdown=26786 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	166	HIPPO ref6=13,28,0,-1,-1,5 countdown=21196 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	167	HIPPO ref6=13,28,0,-1,-1,5 countdown=26547 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	168	HIPPO ref6=13,28,0,-1,-1,5 countdown=27011 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	178	WEASEL ref6=13,28,-1,-1,-1,170 countdown=26718 flag_src=1
20260916-222735	feature_only	1	16883	2032883	present_at_start	179	BIRD_SWALLOW_CAVE_GIANT ref6=12,28,-1,2,-1,18 countdown=24060 flag_src=1
20260916-222735	feature_only	1	16883	2032883	manipulation	local site=df.world_site.find(df.global.plotinfo.site_id); local x0,x1=math.floor(site.global_min_x/16),math.floor(site.global_max_x/16); local y0,y1=math.floor(site.global_min_y/16),math.floor(site.global_max_y/16); local f,s=0,0; for _,p in ipairs(df.global.world.populations.all) do local r=p.population; if p.type==df.world_population_type.Animal and r.region_x>=x0-1 and r.region_x<=x1 and r.region_y>=y0-1 and r.region_y<=y1 and p.quantity_max<10000000 then if r.feature_idx>=0 then p.quantity=200; p.flags.extinct=false; f=f+1 elseif r.cave_id<0 then p.quantity=0; p.flags.extinct=true; s=s+1 end end end; print(('feature entries raised: %d, surface closed: %d'):format(f,s))	feature entries raised: 42, surface closed: 68
20260916-222735	feature_only	1	16883	2032883	manipulation	probe:release all	released 9 unit(s) [all]
20260916-222735	feature_only	1	17265	2033265	arrival	180	JABBERER caste=FEMALE ref6=12,28,-1,14,-1,0 layer=cavern countdown=25299 vanish=0 flag_src=1 flag_nf=0 pos=61,182,78 listed_at=2033265
20260916-222735	feature_only	1	17265	2033265	arrival	181	TROLL caste=MALE ref6=12,28,-1,23,-1,25 layer=cavern countdown=29261 vanish=0 flag_src=1 flag_nf=0 pos=19,190,49 listed_at=2033265
20260916-222735	feature_only	1	17265	2033265	arrival	182	DEMON_14 caste=DEFAULT ref6=12,28,-1,41,-1,1 layer=cavern countdown=21779 vanish=0 flag_src=1 flag_nf=0 pos=118,7,5 listed_at=2033265
20260916-222735	feature_only	1	17265	2033265	arrival	183	DEMON_14 caste=DEFAULT ref6=12,28,-1,41,-1,1 layer=cavern countdown=27411 vanish=0 flag_src=1 flag_nf=0 pos=114,2,5 listed_at=2033265
20260916-222735	feature_only	1	17265	2033265	arrival	184	TROLL caste=FEMALE ref6=12,28,-1,2,-1,26 layer=cavern countdown=22716 vanish=0 flag_src=1 flag_nf=0 pos=0,160,82 listed_at=2033265
20260916-222735	feature_only	1	17265	2033265	arrival	185	SPIDER_CAVE_GIANT caste=FEMALE ref6=12,27,-1,14,-1,10 layer=cavern countdown=21127 vanish=0 flag_src=1 flag_nf=0 pos=167,0,77 listed_at=2033265
20260916-222735	feature_only	1	17601	2033601	arrival	186	GORLAK caste=MALE ref6=13,28,-1,2,-1,27 layer=cavern countdown=27583 vanish=0 flag_src=1 flag_nf=0 pos=184,8,83 listed_at=2033265
20260916-222735	feature_only	1	20045	2036045	arrival	187	REACHER caste=FEMALE ref6=12,28,-1,23,-1,26 layer=cavern countdown=23359 vanish=0 flag_src=1 flag_nf=0 pos=19,182,49 listed_at=2036045
20260916-222735	feature_only	1	24425	2040425	arrival	188	MAGMA_CRAB caste=MALE ref6=13,27,-1,32,-1,0 layer=cavern countdown=26299 vanish=0 flag_src=1 flag_nf=0 pos=190,66,38 listed_at=2040425
20260916-222735	feature_only	1	24425	2040425	arrival	189	MAGMA_CRAB caste=FEMALE ref6=13,27,-1,32,-1,0 layer=cavern countdown=21749 vanish=0 flag_src=1 flag_nf=0 pos=191,62,38 listed_at=2040425
20260916-222735	feature_only	1	24425	2040425	arrival	190	MAGMA_CRAB caste=FEMALE ref6=13,27,-1,32,-1,0 layer=cavern countdown=21199 vanish=0 flag_src=1 flag_nf=0 pos=191,64,38 listed_at=2040425
20260916-222735	feature_only	1	36413	2052413	death	184	TROLL ref6=12,28,-1,2,-1,26 last_countdown=3896 last_flag_src=1 arrived_at=2033265
20260916-222735	feature_only	1	36787	2052787	arrival	191	OLM_GIANT caste=FEMALE ref6=13,28,-1,2,-1,10 layer=cavern countdown=27346 vanish=0 flag_src=1 flag_nf=0 pos=191,165,83 listed_at=2052787
20260916-222735	feature_only	1	37126	2053126	pool_delta	2970	BIRD_OSTRICH ref6=11,27,-1,-1,-1,86 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	2974	BIRD_EAGLE ref6=11,27,-1,-1,-1,103 quantity 21->0 max 21->21 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	2991	BIRD_VULTURE ref6=11,27,-1,-1,-1,140 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	2992	GIANT TORTOISE ref6=11,27,-1,-1,-1,146 quantity 14->0 max 14->14 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	2998	WILD_BOAR ref6=11,27,-1,-1,-1,159 quantity 17->0 max 17->17 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	2999	WEASEL ref6=11,27,-1,-1,-1,170 quantity 23->0 max 23->23 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3000	MONGOOSE ref6=11,27,-1,-1,-1,176 quantity 9->0 max 9->9 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3001	MONITOR_LIZARD ref6=11,27,-1,-1,-1,177 quantity 3->0 max 3->3 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3002	IMPALA ref6=11,27,-1,-1,-1,180 quantity 10->0 max 10->10 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3003	AARDVARK ref6=11,27,-1,-1,-1,181 quantity 8->0 max 8->8 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3014	CAVY ref6=11,27,-1,-1,-1,230 quantity 11->0 max 11->11 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3015	WARTHOG ref6=11,27,-1,-1,-1,232 quantity 8->0 max 8->8 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3016	GAZELLE ref6=11,27,-1,-1,-1,239 quantity 6->0 max 6->6 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3017	RHINOCEROS ref6=11,27,-1,-1,-1,241 quantity 14->0 max 14->14 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3018	GIRAFFE ref6=11,27,-1,-1,-1,244 quantity 12->0 max 12->12 discovered 0->0 extinct 0->1
20260916-222735	feature_only	1	37126	2053126	pool_delta	3019	BIRD_OSPREY ref6=11,27,0,-1,-1,0 quantity 540->206 max 540->540 discovered 0->0 extinct 0->0
20260916-222735	feature_only	1	37126	2053126	pool_delta	3020	ALLIGATOR ref6=11,27,0,-1,-1,1 quantity 108->200 max 108->108 discovered 0->0 extinct 0->0
20260916-222735	feature_only	1	37126	2053126	pool_delta	3021	FISH_CARP ref6=11,27,0,-1,-1,2 quantity 288->206 max 288->288 discovered 0->0 extinct 0->0
20260916-222735	feature_only	1	37126	2053126	pool_delta	3022	FISH_STINGRAY ref6=11,27,0,-1,-1,3 quantity 378->206 max 378->378 discovered 0->0 extinct 0->0
20260916-222735	feature_only	1	37126	2053126	pool_delta	3023	RIVER OTTER ref6=11,27,0,-1,-1,4 quantity 360->206 max 360->360 discovered 0->0 extinct 0->0
20260916-222735	feature_only	1	37126	2053126	pool_delta	3024	FISH_TIGERFISH ref6=11,27,0,-1,-1,5 quantity 270->206 max 270->270 discovered 0->0 extinct 0->0
