run	arm	rep	tick	abs_tick	subject	metric	value
20260916-222735	feature_only	1	16883	2032883	clock	year	5
20260916-222735	feature_only	1	16883	2032883	clock	tick	16883
20260916-222735	feature_only	1	16883	2032883	clock	season	0
20260916-222735	feature_only	1	16883	2032883	clock	paused	1
20260916-222735	feature_only	1	16883	2032883	clock	fps_cap	1000.0
20260916-222735	feature_only	1	16883	2032883	clock	fps_achieved	118
20260916-222735	feature_only	1	16883	2032883	clock	gfps_cap	10.0
20260916-222735	feature_only	1	16883	2032883	clock	units_active	36
20260916-222735	feature_only	1	16883	2032883	clock	popups	0
20260916-222735	feature_only	1	16883	2032883	clock	map	1
20260916-222735	feature_only	1	17265	2033265	clock	fps_achieved	451
20260916-222735	feature_only	1	17265	2033265	clock	units_active	43
20260916-222735	feature_only	1	17265	2033265	clock	popups	0
20260916-222735	feature_only	1	17265	2033265	clock	paused	1
20260916-222735	feature_only	1	17265	2033265	clock	ticks_per_wall_s	85.9
20260916-222735	feature_only	1	17265	2033265	180	arrival_species	JABBERER
20260916-222735	feature_only	1	17265	2033265	180	arrival_countdown	25299
20260916-222735	feature_only	1	17265	2033265	181	arrival_species	TROLL
20260916-222735	feature_only	1	17265	2033265	181	arrival_countdown	29261
20260916-222735	feature_only	1	17265	2033265	182	arrival_species	DEMON_14
20260916-222735	feature_only	1	17265	2033265	182	arrival_countdown	21779
20260916-222735	feature_only	1	17265	2033265	183	arrival_species	DEMON_14
20260916-222735	feature_only	1	17265	2033265	183	arrival_countdown	27411
20260916-222735	feature_only	1	17265	2033265	184	arrival_species	TROLL
20260916-222735	feature_only	1	17265	2033265	184	arrival_countdown	22716
20260916-222735	feature_only	1	17265	2033265	185	arrival_species	SPIDER_CAVE_GIANT
20260916-222735	feature_only	1	17265	2033265	185	arrival_countdown	21127
20260916-222735	feature_only	1	17265	2033265	162	countdown	28652
20260916-222735	feature_only	1	17265	2033265	162	flag_src	0
20260916-222735	feature_only	1	17265	2033265	163	countdown	22154
20260916-222735	feature_only	1	17265	2033265	163	flag_src	0
20260916-222735	feature_only	1	17265	2033265	164	countdown	25044
20260916-222735	feature_only	1	17265	2033265	164	flag_src	0
20260916-222735	feature_only	1	17265	2033265	165	countdown	26404
20260916-222735	feature_only	1	17265	2033265	165	flag_src	0
20260916-222735	feature_only	1	17265	2033265	166	countdown	20814
20260916-222735	feature_only	1	17265	2033265	166	flag_src	0
20260916-222735	feature_only	1	17265	2033265	167	countdown	26165
20260916-222735	feature_only	1	17265	2033265	167	flag_src	0
