run	arm	rep	tick	abs_tick	event	subject	detail
20260916-224506	feature_only	1	16801	2032801	baseline	wild_present	1
20260916-224506	feature_only	1	16801	2032801	present_at_start	162	GIANT_EARTHWORM ref6=11,15,-1,4,-1,21 countdown=20184 flag_src=1
20260916-224506	feature_only	1	16801	2032801	manipulation	local site=df.world_site.find(df.global.plotinfo.site_id); local x0,x1=math.floor(site.global_min_x/16),math.floor(site.global_max_x/16); local y0,y1=math.floor(site.global_min_y/16),math.floor(site.global_max_y/16); local f,s=0,0; for _,p in ipairs(df.global.world.populations.all) do local r=p.population; if p.type==df.world_population_type.Animal and r.region_x>=x0-1 and r.region_x<=x1 and r.region_y>=y0-1 and r.region_y<=y1 and p.quantity_max<10000000 then if r.feature_idx>=0 then p.quantity=200; p.flags.extinct=false; f=f+1 elseif r.cave_id<0 then p.quantity=0; p.flags.extinct=true; s=s+1 end end end; print(('feature entries raised: %d, surface closed: %d'):format(f,s))	feature entries raised: 56, surface closed: 542
20260916-224506	feature_only	1	16801	2032801	manipulation	probe:release all	released 1 unit(s) [all]
20260916-224506	feature_only	1	17214	2033214	arrival	163	TROGLODYTE caste=FEMALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=25534 vanish=0 flag_src=1 flag_nf=0 pos=35,181,90 listed_at=2033214
20260916-224506	feature_only	1	17214	2033214	arrival	164	TROGLODYTE caste=FEMALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=23148 vanish=0 flag_src=1 flag_nf=0 pos=43,189,89 listed_at=2033214
20260916-224506	feature_only	1	17214	2033214	arrival	165	TROGLODYTE caste=FEMALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=28601 vanish=0 flag_src=1 flag_nf=0 pos=39,187,88 listed_at=2033214
20260916-224506	feature_only	1	17214	2033214	arrival	166	TROGLODYTE caste=MALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=20210 vanish=0 flag_src=1 flag_nf=0 pos=33,191,88 listed_at=2033214
20260916-224506	feature_only	1	17214	2033214	arrival	167	TROGLODYTE caste=MALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=25777 vanish=0 flag_src=1 flag_nf=0 pos=31,191,88 listed_at=2033214
20260916-224506	feature_only	1	17214	2033214	arrival	168	TROGLODYTE caste=MALE ref6=11,15,-1,4,-1,22 layer=cavern countdown=21684 vanish=0 flag_src=1 flag_nf=0 pos=28,191,88 listed_at=2033214
