run	arm	rep	tick	abs_tick	subject	metric	value
20260916-224506	feature_only	1	16801	2032801	clock	year	5
20260916-224506	feature_only	1	16801	2032801	clock	tick	16801
20260916-224506	feature_only	1	16801	2032801	clock	season	0
20260916-224506	feature_only	1	16801	2032801	clock	paused	1
20260916-224506	feature_only	1	16801	2032801	clock	fps_cap	1000.0
20260916-224506	feature_only	1	16801	2032801	clock	fps_achieved	147
20260916-224506	feature_only	1	16801	2032801	clock	gfps_cap	10.0
20260916-224506	feature_only	1	16801	2032801	clock	units_active	19
20260916-224506	feature_only	1	16801	2032801	clock	popups	0
20260916-224506	feature_only	1	16801	2032801	clock	map	1
20260916-224506	feature_only	1	17214	2033214	clock	fps_achieved	406
20260916-224506	feature_only	1	17214	2033214	clock	units_active	57
20260916-224506	feature_only	1	17214	2033214	clock	popups	0
20260916-224506	feature_only	1	17214	2033214	clock	paused	1
20260916-224506	feature_only	1	17214	2033214	clock	ticks_per_wall_s	75.1
20260916-224506	feature_only	1	17214	2033214	163	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	163	arrival_countdown	25534
20260916-224506	feature_only	1	17214	2033214	164	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	164	arrival_countdown	23148
20260916-224506	feature_only	1	17214	2033214	165	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	165	arrival_countdown	28601
20260916-224506	feature_only	1	17214	2033214	166	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	166	arrival_countdown	20210
20260916-224506	feature_only	1	17214	2033214	167	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	167	arrival_countdown	25777
20260916-224506	feature_only	1	17214	2033214	168	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	168	arrival_countdown	21684
20260916-224506	feature_only	1	17214	2033214	169	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	169	arrival_countdown	22421
20260916-224506	feature_only	1	17214	2033214	170	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17214	2033214	170	arrival_countdown	27342
20260916-224506	feature_only	1	17214	2033214	178	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17214	2033214	178	arrival_countdown	19849
20260916-224506	feature_only	1	17214	2033214	179	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17214	2033214	179	arrival_countdown	26906
20260916-224506	feature_only	1	17214	2033214	180	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17214	2033214	180	arrival_countdown	25936
20260916-224506	feature_only	1	17214	2033214	181	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17214	2033214	181	arrival_countdown	23296
20260916-224506	feature_only	1	17214	2033214	197	arrival_species	DEMON_15
20260916-224506	feature_only	1	17214	2033214	197	arrival_countdown	22921
20260916-224506	feature_only	1	17214	2033214	198	arrival_species	DEMON_15
20260916-224506	feature_only	1	17214	2033214	198	arrival_countdown	23051
20260916-224506	feature_only	1	17214	2033214	199	arrival_species	MAGMA_CRAB
20260916-224506	feature_only	1	17214	2033214	199	arrival_countdown	28797
20260916-224506	feature_only	1	17214	2033214	200	arrival_species	MAGMA_CRAB
20260916-224506	feature_only	1	17214	2033214	200	arrival_countdown	26197
20260916-224506	feature_only	1	17214	2033214	162	countdown	19771
20260916-224506	feature_only	1	17214	2033214	162	flag_src	0
20260916-224506	feature_only	1	17214	2033214	163	countdown	25534
20260916-224506	feature_only	1	17214	2033214	163	flag_src	1
20260916-224506	feature_only	1	17214	2033214	164	countdown	23148
20260916-224506	feature_only	1	17214	2033214	164	flag_src	1
20260916-224506	feature_only	1	17214	2033214	165	countdown	28601
20260916-224506	feature_only	1	17214	2033214	165	flag_src	1
20260916-224506	feature_only	1	17214	2033214	166	countdown	20210
20260916-224506	feature_only	1	17214	2033214	166	flag_src	1
20260916-224506	feature_only	1	17214	2033214	167	countdown	25777
20260916-224506	feature_only	1	17214	2033214	167	flag_src	1
20260916-224506	feature_only	1	17214	2033214	168	countdown	21684
20260916-224506	feature_only	1	17214	2033214	168	flag_src	1
20260916-224506	feature_only	1	17214	2033214	169	countdown	22421
20260916-224506	feature_only	1	17214	2033214	169	flag_src	1
20260916-224506	feature_only	1	17214	2033214	170	countdown	27342
20260916-224506	feature_only	1	17214	2033214	170	flag_src	1
20260916-224506	feature_only	1	17214	2033214	178	countdown	19849
20260916-224506	feature_only	1	17214	2033214	178	flag_src	1
20260916-224506	feature_only	1	17214	2033214	179	countdown	26906
20260916-224506	feature_only	1	17214	2033214	179	flag_src	1
20260916-224506	feature_only	1	17214	2033214	180	countdown	25936
20260916-224506	feature_only	1	17214	2033214	180	flag_src	1
20260916-224506	feature_only	1	17214	2033214	181	countdown	23296
20260916-224506	feature_only	1	17214	2033214	181	flag_src	1
20260916-224506	feature_only	1	17214	2033214	197	countdown	22921
20260916-224506	feature_only	1	17214	2033214	197	flag_src	1
20260916-224506	feature_only	1	17214	2033214	198	countdown	23051
20260916-224506	feature_only	1	17214	2033214	198	flag_src	1
20260916-224506	feature_only	1	17214	2033214	199	countdown	28797
20260916-224506	feature_only	1	17214	2033214	199	flag_src	1
20260916-224506	feature_only	1	17214	2033214	200	countdown	26197
20260916-224506	feature_only	1	17214	2033214	200	flag_src	1
20260916-224506	feature_only	1	17588	2033588	clock	fps_achieved	474
20260916-224506	feature_only	1	17588	2033588	clock	units_active	57
20260916-224506	feature_only	1	17588	2033588	clock	popups	0
20260916-224506	feature_only	1	17588	2033588	clock	paused	1
20260916-224506	feature_only	1	17588	2033588	clock	ticks_per_wall_s	261.7
20260916-224506	feature_only	1	17588	2033588	171	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	171	arrival_countdown	29427
20260916-224506	feature_only	1	17588	2033588	172	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	172	arrival_countdown	24024
20260916-224506	feature_only	1	17588	2033588	173	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	173	arrival_countdown	29098
20260916-224506	feature_only	1	17588	2033588	174	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	174	arrival_countdown	26855
20260916-224506	feature_only	1	17588	2033588	175	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	175	arrival_countdown	27805
20260916-224506	feature_only	1	17588	2033588	176	arrival_species	TROGLODYTE
20260916-224506	feature_only	1	17588	2033588	176	arrival_countdown	23453
20260916-224506	feature_only	1	17588	2033588	182	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17588	2033588	182	arrival_countdown	22075
20260916-224506	feature_only	1	17588	2033588	183	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17588	2033588	183	arrival_countdown	20161
20260916-224506	feature_only	1	17588	2033588	184	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17588	2033588	184	arrival_countdown	29044
20260916-224506	feature_only	1	17588	2033588	185	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17588	2033588	185	arrival_countdown	25762
20260916-224506	feature_only	1	17588	2033588	186	arrival_species	CRUNDLE
20260916-224506	feature_only	1	17588	2033588	186	arrival_countdown	19935
20260916-224506	feature_only	1	17588	2033588	162	countdown	19397
20260916-224506	feature_only	1	17588	2033588	162	flag_src	0
20260916-224506	feature_only	1	17588	2033588	163	countdown	25160
20260916-224506	feature_only	1	17588	2033588	163	flag_src	1
20260916-224506	feature_only	1	17588	2033588	164	countdown	22774
20260916-224506	feature_only	1	17588	2033588	164	flag_src	1
20260916-224506	feature_only	1	17588	2033588	165	countdown	28227
