run	arm	rep	token	seasons	allowed
20260916-230947	year	1	LIZARD	0,1	1
20260916-230947	year	1	HAMSTER	0,1	1
20260916-230947	year	1	TOAD	0,1,2,3	1
20260916-230947	year	1	BUTTERFLY_MONARCH	0,1,2,3	1
20260916-230947	year	1	BIRD_LOVEBIRD_PEACH-FACED	2,3	1
20260916-230947	year	1	FLY	0,1,2,3	1
20260916-230947	year	1	ECHIDNA	0,1,2,3	1
20260916-230947	year	1	BEAR_BLACK	2,3	1
20260916-230947	year	1	ROACH_LARGE	0,1	1
20260916-230947	year	1	WOMBAT	2,3	1
20260916-230947	year	1	MOTH	0,1	1
20260916-230947	year	1	WOLF	2,3	1
20260916-230947	year	1	RATTLESNAKE	0,1	1
20260916-230947	year	1	BIRD_RAVEN	0,1,2,3	1
20260916-230947	year	1	BIRD_FALCON_PEREGRINE	0,1,2,3	1
20260916-230947	year	1	KINGSNAKE	0,1,2,3	1
20260916-230947	year	1	OPOSSUM	2,3	1
20260916-230947	year	1	MOSQUITO	0,1,2,3	1
20260916-230947	year	1	BEAR_GRIZZLY	2,3	1
20260916-230947	year	1	SPARROW	0,1	1
20260916-230947	year	1	CRETACEOUS_CARNOTAURUS	0,1,2,3	1
20260916-230947	year	1	BIRD_WREN	0,1	1
20260916-230947	year	1	BIRD_CARDINAL	2,3	1
20260916-230947	year	1	GRASSHOPPER	0,1	1
20260916-230947	year	1	BIRD_EMU	2,3	1
20260916-230947	year	1	SQUIRREL_FLYING	2,3	1
20260916-230947	year	1	BIRD_BLUEJAY	2,3	1
20260916-230947	year	1	BIRD_OWL_BARN	0,1	1
20260916-230947	year	1	COATI	0,1	1
20260916-230947	year	1	SKINK	0,1	1
20260916-230947	year	1	BIRD_KIWI	2,3	1
20260916-230947	year	1	POND_TURTLE	0,1,2,3	1
20260916-230947	year	1	FIREFLY	0,1,2,3	1
20260916-230947	year	1	MANTIS	0,1	1
20260916-230947	year	1	BIRD_KAKAPO	2,3	1
20260916-230947	year	1	KANGAROO	0,1,2,3	1
20260916-230947	year	1	DINGO	0,1,2,3	1
