run	arm	rep	tick	abs_tick	subject	metric	value
20260916-230947	year	1	16979	20176979	clock	year	50
20260916-230947	year	1	16979	20176979	clock	tick	16979
20260916-230947	year	1	16979	20176979	clock	season	0
20260916-230947	year	1	16979	20176979	clock	paused	1
20260916-230947	year	1	16979	20176979	clock	fps_cap	1000.0
20260916-230947	year	1	16979	20176979	clock	fps_achieved	115
20260916-230947	year	1	16979	20176979	clock	gfps_cap	10.0
20260916-230947	year	1	16979	20176979	clock	units_active	44
20260916-230947	year	1	16979	20176979	clock	popups	0
20260916-230947	year	1	16979	20176979	clock	map	1
20260916-230947	year	1	22297	20182297	clock	fps_achieved	574
20260916-230947	year	1	22297	20182297	clock	units_active	44
20260916-230947	year	1	22297	20182297	clock	popups	0
20260916-230947	year	1	22297	20182297	clock	paused	1
20260916-230947	year	1	22297	20182297	clock	ticks_per_wall_s	430.5
20260916-230947	year	1	22297	20182297	181	arrival_species	DINGO
20260916-230947	year	1	22297	20182297	181	arrival_countdown	20980
20260916-230947	year	1	22297	20182297	182	arrival_species	DINGO
20260916-230947	year	1	22297	20182297	182	arrival_countdown	15799
20260916-230947	year	1	22297	20182297	183	arrival_species	DINGO
20260916-230947	year	1	22297	20182297	183	arrival_countdown	23522
20260916-230947	year	1	22297	20182297	189	arrival_species	ELK_BIRD
20260916-230947	year	1	22297	20182297	189	arrival_countdown	22266
20260916-230947	year	1	22297	20182297	192	arrival_species	DEMON_20
20260916-230947	year	1	22297	20182297	192	arrival_countdown	16563
20260916-230947	year	1	22297	20182297	193	arrival_species	DEMON_20
20260916-230947	year	1	22297	20182297	193	arrival_countdown	24337
20260916-230947	year	1	22297	20182297	197	arrival_species	IMP_FIRE
20260916-230947	year	1	22297	20182297	197	arrival_countdown	20352
20260916-230947	year	1	22297	20182297	172	countdown	15770
20260916-230947	year	1	22297	20182297	172	flag_src	1
20260916-230947	year	1	22297	20182297	173	countdown	23516
20260916-230947	year	1	22297	20182297	173	flag_src	1
20260916-230947	year	1	22297	20182297	174	countdown	18084
20260916-230947	year	1	22297	20182297	174	flag_src	1
20260916-230947	year	1	22297	20182297	175	countdown	23485
20260916-230947	year	1	22297	20182297	175	flag_src	1
20260916-230947	year	1	22297	20182297	176	countdown	17342
20260916-230947	year	1	22297	20182297	176	flag_src	1
20260916-230947	year	1	22297	20182297	177	countdown	22049
20260916-230947	year	1	22297	20182297	177	flag_src	1
20260916-230947	year	1	22297	20182297	178	countdown	18836
20260916-230947	year	1	22297	20182297	178	flag_src	1
20260916-230947	year	1	22297	20182297	179	countdown	21249
20260916-230947	year	1	22297	20182297	179	flag_src	1
20260916-230947	year	1	22297	20182297	180	countdown	15602
20260916-230947	year	1	22297	20182297	180	flag_src	1
20260916-230947	year	1	22297	20182297	181	countdown	20980
20260916-230947	year	1	22297	20182297	181	flag_src	1
20260916-230947	year	1	22297	20182297	182	countdown	15799
20260916-230947	year	1	22297	20182297	182	flag_src	1
20260916-230947	year	1	22297	20182297	183	countdown	23522
20260916-230947	year	1	22297	20182297	183	flag_src	1
20260916-230947	year	1	22297	20182297	184	countdown	16857
20260916-230947	year	1	22297	20182297	184	flag_src	1
20260916-230947	year	1	22297	20182297	185	countdown	24174
20260916-230947	year	1	22297	20182297	185	flag_src	1
20260916-230947	year	1	22297	20182297	186	countdown	16982
20260916-230947	year	1	22297	20182297	186	flag_src	1
20260916-230947	year	1	22297	20182297	187	countdown	15575
20260916-230947	year	1	22297	20182297	187	flag_src	1
20260916-230947	year	1	22297	20182297	188	countdown	21765
20260916-230947	year	1	22297	20182297	188	flag_src	1
20260916-230947	year	1	22297	20182297	189	countdown	22266
20260916-230947	year	1	22297	20182297	189	flag_src	1
20260916-230947	year	1	22297	20182297	190	countdown	19646
20260916-230947	year	1	22297	20182297	190	flag_src	1
20260916-230947	year	1	22297	20182297	191	countdown	18915
20260916-230947	year	1	22297	20182297	191	flag_src	1
20260916-230947	year	1	22297	20182297	192	countdown	16563
20260916-230947	year	1	22297	20182297	192	flag_src	1
20260916-230947	year	1	22297	20182297	193	countdown	24337
20260916-230947	year	1	22297	20182297	193	flag_src	1
20260916-230947	year	1	22297	20182297	194	countdown	15861
20260916-230947	year	1	22297	20182297	194	flag_src	1
20260916-230947	year	1	22297	20182297	195	countdown	22678
20260916-230947	year	1	22297	20182297	195	flag_src	1
20260916-230947	year	1	22297	20182297	196	countdown	22212
20260916-230947	year	1	22297	20182297	196	flag_src	1
20260916-230947	year	1	22297	20182297	197	countdown	20352
20260916-230947	year	1	22297	20182297	197	flag_src	1
20260916-230947	year	1	27383	20187383	clock	fps_achieved	583
20260916-230947	year	1	27383	20187383	clock	units_active	44
20260916-230947	year	1	27383	20187383	clock	popups	0
20260916-230947	year	1	27383	20187383	clock	paused	1
20260916-230947	year	1	27383	20187383	clock	ticks_per_wall_s	498.3
20260916-230947	year	1	27383	20187383	172	countdown	10684
20260916-230947	year	1	27383	20187383	172	flag_src	1
20260916-230947	year	1	27383	20187383	173	countdown	18430
20260916-230947	year	1	27383	20187383	173	flag_src	1
20260916-230947	year	1	27383	20187383	174	countdown	12998
20260916-230947	year	1	27383	20187383	174	flag_src	1
20260916-230947	year	1	27383	20187383	175	countdown	18399
20260916-230947	year	1	27383	20187383	175	flag_src	1
20260916-230947	year	1	27383	20187383	176	countdown	12256
20260916-230947	year	1	27383	20187383	176	flag_src	1
20260916-230947	year	1	27383	20187383	177	countdown	16963
20260916-230947	year	1	27383	20187383	177	flag_src	1
20260916-230947	year	1	27383	20187383	178	countdown	13750
20260916-230947	year	1	27383	20187383	178	flag_src	1
20260916-230947	year	1	27383	20187383	179	countdown	16163
20260916-230947	year	1	27383	20187383	179	flag_src	1
20260916-230947	year	1	27383	20187383	180	countdown	10516
20260916-230947	year	1	27383	20187383	180	flag_src	1
20260916-230947	year	1	27383	20187383	181	countdown	15894
20260916-230947	year	1	27383	20187383	181	flag_src	1
20260916-230947	year	1	27383	20187383	182	countdown	10713
20260916-230947	year	1	27383	20187383	182	flag_src	1
20260916-230947	year	1	27383	20187383	183	countdown	18436
20260916-230947	year	1	27383	20187383	183	flag_src	1
20260916-230947	year	1	27383	20187383	184	countdown	11771
20260916-230947	year	1	27383	20187383	184	flag_src	1
20260916-230947	year	1	27383	20187383	185	countdown	19088
20260916-230947	year	1	27383	20187383	185	flag_src	1
20260916-230947	year	1	27383	20187383	186	countdown	11896
