run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-202950	ecology_on	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	cavern	27544	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	26285	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	cavern	25307	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	24994	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	cavern	21557	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	126	ELK_BIRD	MALE	43	65	26	29,20,-1,25,-1,21	cavern	25809	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	127	ELK_BIRD	FEMALE	36	58	24	29,20,-1,25,-1,21	cavern	23558	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	128	ELK_BIRD	MALE	37	45	25	29,20,-1,25,-1,21	cavern	21699	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	129	ELK_BIRD	MALE	37	44	25	29,20,-1,25,-1,21	cavern	22354	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	130	ELK_BIRD	MALE	38	44	25	29,20,-1,25,-1,21	cavern	27208	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	131	ELK_BIRD	FEMALE	36	43	25	29,20,-1,25,-1,21	cavern	23233	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	132	ELK_BIRD	FEMALE	36	45	24	29,20,-1,25,-1,21	cavern	25054	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	133	ELK_BIRD	FEMALE	33	47	24	29,20,-1,25,-1,21	cavern	25437	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	134	MAGMA_CRAB	FEMALE	17	163	20	29,20,-1,34,-1,0	cavern	26446	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	135	MAGMA_CRAB	MALE	20	160	20	29,20,-1,34,-1,0	cavern	25187	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	136	MAGMA_CRAB	FEMALE	16	160	21	29,20,-1,34,-1,0	cavern	24209	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	137	MAGMA_CRAB	MALE	13	164	22	29,20,-1,34,-1,0	cavern	23896	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	cavern	20459	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	139	GROUNDHOG	MALE	43	14	104	29,20,-1,-1,-1,80	surface	20839	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	140	GROUNDHOG	FEMALE	35	5	104	29,20,-1,-1,-1,80	surface	25627	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	141	OLM_GIANT	MALE	167	6	45	29,20,-1,8,-1,9	cavern	19845	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	142	CRUNDLE	FEMALE	12	37	29	29,20,-1,13,-1,9	cavern	20142	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	143	CRUNDLE	MALE	0	22	31	29,20,-1,13,-1,9	cavern	26783	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	144	CRUNDLE	FEMALE	13	3	30	29,20,-1,13,-1,9	cavern	22398	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	145	CRUNDLE	FEMALE	25	0	29	29,20,-1,13,-1,9	cavern	29134	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	146	CRUNDLE	FEMALE	28	0	29	29,20,-1,13,-1,9	cavern	26658	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	147	CRUNDLE	MALE	27	0	29	29,20,-1,13,-1,9	cavern	22336	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	148	CRUNDLE	FEMALE	29	0	29	29,20,-1,13,-1,9	cavern	22096	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	149	CRUNDLE	MALE	27	0	29	29,20,-1,13,-1,9	cavern	27262	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	150	CRUNDLE	FEMALE	29	0	29	29,20,-1,13,-1,9	cavern	27270	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	151	CRUNDLE	MALE	29	0	29	29,20,-1,13,-1,9	cavern	22712	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	152	CRUNDLE	FEMALE	25	0	29	29,20,-1,13,-1,9	cavern	28950	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	153	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	26899	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	154	CRUNDLE	MALE	28	0	29	29,20,-1,13,-1,9	cavern	28334	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	155	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	23406	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	156	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	29882	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	157	CRUNDLE	FEMALE	30	0	29	29,20,-1,13,-1,9	cavern	23817	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	158	CRUNDLE	MALE	29	0	29	29,20,-1,13,-1,9	cavern	22407	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	159	CRUNDLE	MALE	28	0	29	29,20,-1,13,-1,9	cavern	25569	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	160	CRUNDLE	FEMALE	29	0	29	29,20,-1,13,-1,9	cavern	21825	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	161	CRUNDLE	FEMALE	26	0	29	29,20,-1,13,-1,9	cavern	24068	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	162	DEMON_16	MALE	3	127	7	29,20,-1,43,-1,3	cavern	26828	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	163	DEMON_16	FEMALE	9	120	8	29,20,-1,43,-1,3	cavern	24923	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	164	BIRD_SWALLOW_CAVE_GIANT	FEMALE	50	20	43	29,20,-1,8,-1,18	cavern	25642	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	165	BADGER	FEMALE	71	24	104	29,20,-1,-1,-1,82	surface	20843	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	166	BADGER	MALE	79	25	104	29,20,-1,-1,-1,82	surface	23003	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	167	BADGER	FEMALE	80	27	104	29,20,-1,-1,-1,82	surface	24749	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	168	BADGER	FEMALE	84	28	104	29,20,-1,-1,-1,82	surface	21673	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	169	BADGER	MALE	86	36	104	29,20,-1,-1,-1,82	surface	24010	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	170	BIRD_OWL_GREAT_HORNED	MALE	6	31	111	29,20,-1,-1,-1,61	surface	28446	0	1	1	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	17898	824298	171	SKUNK	MALE	1	53	104	29,20,-1,-1,-1,92	surface	28872	0	1	1	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	126	ELK_BIRD	MALE	62	65	26	29,20,-1,25,-1,21	cavern	24665	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	127	ELK_BIRD	FEMALE	66	66	26	29,20,-1,25,-1,21	cavern	22414	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	128	ELK_BIRD	MALE	67	69	26	29,20,-1,25,-1,21	cavern	20555	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	129	ELK_BIRD	MALE	57	72	26	29,20,-1,25,-1,21	cavern	21210	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	130	ELK_BIRD	MALE	59	72	26	29,20,-1,25,-1,21	cavern	26064	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	131	ELK_BIRD	FEMALE	51	64	26	29,20,-1,25,-1,21	cavern	22089	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	132	ELK_BIRD	FEMALE	47	60	26	29,20,-1,25,-1,21	cavern	23910	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	133	ELK_BIRD	FEMALE	37	59	24	29,20,-1,25,-1,21	cavern	24293	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	134	MAGMA_CRAB	FEMALE	6	157	19	29,20,-1,34,-1,0	cavern	25302	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	135	MAGMA_CRAB	MALE	5	160	20	29,20,-1,34,-1,0	cavern	24043	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	136	MAGMA_CRAB	FEMALE	14	163	19	29,20,-1,34,-1,0	cavern	23065	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	137	MAGMA_CRAB	MALE	19	161	21	29,20,-1,34,-1,0	cavern	22752	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	138	MAGMA_CRAB	MALE	20	160	20	29,20,-1,34,-1,0	cavern	19315	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	139	GROUNDHOG	MALE	34	18	104	29,20,-1,-1,-1,80	surface	19695	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	140	GROUNDHOG	FEMALE	31	17	104	29,20,-1,-1,-1,80	surface	24483	0	0	0	0	0	-1	0	1	-1
