run	arm	rep	tick	abs_tick	subject	metric	value
20260917-225807	v57	1	16800	823200	clock	year	2
20260917-225807	v57	1	16800	823200	clock	tick	16800
20260917-225807	v57	1	16800	823200	clock	season	0
20260917-225807	v57	1	16800	823200	clock	paused	1
20260917-225807	v57	1	16800	823200	clock	fps_cap	1000.0
20260917-225807	v57	1	16800	823200	clock	fps_achieved	101
20260917-225807	v57	1	16800	823200	clock	gfps_cap	10.0
20260917-225807	v57	1	16800	823200	clock	units_active	31
20260917-225807	v57	1	16800	823200	clock	popups	0
20260917-225807	v57	1	16800	823200	clock	map	1
20260917-225807	v57	1	17914	824314	clock	fps_achieved	210
20260917-225807	v57	1	17914	824314	clock	units_active	54
20260917-225807	v57	1	17914	824314	clock	popups	0
20260917-225807	v57	1	17914	824314	clock	paused	1
20260917-225807	v57	1	17914	824314	clock	ticks_per_wall_s	57.3
20260917-225807	v57	1	17914	824314	139	arrival_species	BIRD_RAVEN
20260917-225807	v57	1	17914	824314	139	arrival_countdown	28673
20260917-225807	v57	1	17914	824314	140	arrival_species	BIRD_RAVEN
20260917-225807	v57	1	17914	824314	140	arrival_countdown	26540
20260917-225807	v57	1	17914	824314	141	arrival_species	BIRD_RAVEN
20260917-225807	v57	1	17914	824314	141	arrival_countdown	22483
20260917-225807	v57	1	17914	824314	142	arrival_species	BIRD_RAVEN
20260917-225807	v57	1	17914	824314	142	arrival_countdown	23940
20260917-225807	v57	1	17914	824314	143	arrival_species	BIRD_RAVEN
20260917-225807	v57	1	17914	824314	143	arrival_countdown	23973
20260917-225807	v57	1	17914	824314	144	arrival_species	CROCODILE_CAVE
20260917-225807	v57	1	17914	824314	144	arrival_countdown	23936
20260917-225807	v57	1	17914	824314	145	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	145	arrival_countdown	24072
20260917-225807	v57	1	17914	824314	146	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	146	arrival_countdown	26492
20260917-225807	v57	1	17914	824314	147	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	147	arrival_countdown	19095
20260917-225807	v57	1	17914	824314	148	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	148	arrival_countdown	27004
20260917-225807	v57	1	17914	824314	149	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	149	arrival_countdown	21796
20260917-225807	v57	1	17914	824314	150	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	150	arrival_countdown	24575
20260917-225807	v57	1	17914	824314	151	arrival_species	TROGLODYTE
20260917-225807	v57	1	17914	824314	151	arrival_countdown	22932
20260917-225807	v57	1	17914	824314	152	arrival_species	DEMON_18
20260917-225807	v57	1	17914	824314	152	arrival_countdown	19008
20260917-225807	v57	1	17914	824314	153	arrival_species	DEMON_18
20260917-225807	v57	1	17914	824314	153	arrival_countdown	25023
20260917-225807	v57	1	17914	824314	154	arrival_species	DEMON_18
20260917-225807	v57	1	17914	824314	154	arrival_countdown	19032
20260917-225807	v57	1	17914	824314	155	arrival_species	OLM_GIANT
20260917-225807	v57	1	17914	824314	155	arrival_countdown	29004
20260917-225807	v57	1	17914	824314	156	arrival_species	KANGAROO
20260917-225807	v57	1	17914	824314	156	arrival_countdown	22537
20260917-225807	v57	1	17914	824314	157	arrival_species	KANGAROO
20260917-225807	v57	1	17914	824314	157	arrival_countdown	24895
20260917-225807	v57	1	17914	824314	158	arrival_species	KANGAROO
20260917-225807	v57	1	17914	824314	158	arrival_countdown	25635
20260917-225807	v57	1	17914	824314	159	arrival_species	KANGAROO
20260917-225807	v57	1	17914	824314	159	arrival_countdown	25909
20260917-225807	v57	1	17914	824314	160	arrival_species	GROUNDHOG
20260917-225807	v57	1	17914	824314	160	arrival_countdown	29036
