arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
v57	1	1052	1052	BIRD_RAVEN	29,20,-1,-1,-1,53	surface	9	22310	29006	9	0	0	26006	30382	True
v57	1	1052	1052	GORLAK	29,20,-1,8,-1,28	cavern	1	27808	27808	1	0	0	33703	33703	True
v57	1	1052	1052	CRUNDLE	29,20,-1,13,-1,9	cavern	17	19851	28548	17	0	0	30382	36860	True
v57	1	1052	1052	DEMON_16	29,20,-1,43,-1,3	cavern	4	24231	27260	4	0	0	26006	31563	True
v57	1	1052	1052	ELK_BIRD	29,20,-1,8,-1,21	cavern	5	21385	25791	5	0	0	27141	28205	True
v57	1	1052	1052	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	2	21764	25163	2	0	0	22658	26006	True
v57	1	15000	15000	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	24136	24136	1	0	0	25106	25106	True
v57	1	15000	15000	SKUNK	29,20,-1,-1,-1,92	surface	1	26828	26828	0	1	0			True
v57	1	16089	16089	COUGAR	29,20,-1,-1,-1,79	surface	7	23443	29152	5	0	2	28449	29518	True
v57	1	29257	29257	ELK_BIRD	29,20,-1,8,-1,21	cavern	7	22079	28733	0	0	7			True
v57	1	29257	29257	ELK_BIRD	29,20,-1,25,-1,21	cavern	6	20374	28933	0	0	6			True
v57	1	31434	31434	DEMON_3	29,20,-1,43,-1,0	cavern	2	21229	24898	0	0	2			True
v57	1	37912	37912	JABBERER	29,20,-1,13,-1,21	cavern	1	26100	26100	0	0	1			True
v57	1	37912	37912	OLM_GIANT	29,21,-1,13,-1,13	cavern	1	26837	26837	0	0	1			True
v57	1	41270	41270	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	23924	23924	0	0	1			True
v57	1	41270	41270	SKUNK	29,20,-1,-1,-1,92	surface	1	26664	26664	0	1	0			True
v57	1	41270	41270	COUGAR	29,20,-1,-1,-1,79	surface	7	20856	27827	0	0	7			True
v57	2	1121	1121	BIRD_EMU	29,20,-1,-1,-1,56	surface	5	19274	28544	2	3	0	31170	32225	True
v57	2	1121	1121	TOAD_GIANT_CAVE	29,20,-1,8,-1,12	cavern	1	27252	27252	1	0	0	27679	27679	True
v57	2	1121	1121	OLM_GIANT	29,20,-1,13,-1,13	cavern	1	19121	19121	1	0	0	23335	23335	True
v57	2	1121	1121	DEMON_2	28,20,-1,44,-1,1	cavern	3	20777	26786	3	0	0	27679	32225	True
v57	2	1121	1121	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	20839	24344	9	0	0	23335	31170	True
v57	2	1121	1121	PLUMP_HELMET_MAN	29,20,-1,13,-1,11	cavern	4	19215	28902	4	0	0	30022	36632	True
v57	2	1121	1121	WOLF	28,19,-1,-1,-1,101	surface	7	20692	29345	5	2	0	23335	30022	True
v57	2	29887	29887	JABBERER	29,20,-1,25,-1,18	cavern	2	25420	28971	0	0	2			True
v57	2	29887	29887	BIRD_KESTREL	28,19,-1,-1,-1,60	surface	1	28920	28920	0	0	1			True
v57	2	31143	31143	ELK_BIRD	29,20,-1,8,-1,21	cavern	6	20530	29790	0	0	6			True
v57	2	31143	32291	BIRD_KESTREL	29,20,-1,-1,-1,60	surface	1	19473	19473	0	0	1			True
v57	2	32291	32291	DEMON_3	29,20,-1,43,-1,0	cavern	5	24435	25864	0	0	5			True
v57	2	32291	32291	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	28378	28378	0	0	1			True
v57	2	33346	33346	BIRD_EMU	29,20,-1,-1,-1,56	surface	4	19598	29415	0	0	4			True
v57	2	33346	33346	DINGO	29,20,-1,-1,-1,100	surface	7	20095	26274	0	2	5			True
v57	2	37753	37753	TROLL	29,20,-1,13,-1,32	cavern	1	29223	29223	0	0	1			True
